new_td,判断食物能否吃、属凉属热及食用影响,判读个人检测数值或检查结论,寻求疾病的常规治疗方法,怀孕、避孕与生育相关自我判断,查询就医、购药或问诊入口,查询指标或生理参数正常范围,查询检查/手术/就诊的费用、准备与恢复安排,查询疾病或状态有哪些症状表现,查询禁忌、副作用与危害,查询药/材/食物/保健品功效与主治,核实健康声称或传言是否属实,求症状/皮损图片进行自我比对或自测,求速效根治或特效方案,索取具体用法用量与服药时间,获取可自行操作的中医/康复操作步骤,裸词或缺少动作的健康实体查询,解释医学术语或检查项目含义,解释症状或身体异常的原因,评估疾病严重程度、预后与干预必要性,非健康领域的离域查询
仅给出名称的裸实体查询,3,3,0,0,17,2,0,0,0,4,1,154,0,2,12,2701,30,1,0,58
在两个或几个选项之间给出裁决,114,2,2,3,0,0,0,0,4,6,90,0,1,54,1,0,21,0,1,3
处理非健康或无法归入上述意图的残余,29,13,23,42,5,58,50,3,49,65,22,53,9,5,71,108,74,7,8,199
对具体行为、搭配或说法给出是否可行的裁决,151,8,4,20,0,0,12,0,129,18,284,0,2,6,1,1,3,1,28,1
对正在发生的具体不适做分诊与处置判断,0,5,53,0,0,0,0,0,6,0,1,0,10,0,0,0,0,6,0,0
寻找疾病的治疗或缓解方案,13,7,329,0,0,0,6,1,7,6,8,0,1118,3,9,1,1,25,33,4
查询中医方剂组成、经络穴位与中医理论,0,0,0,0,0,0,1,0,0,58,0,31,0,5,228,25,11,0,0,0
查询中药材/食材/茶饮的功效与作用,55,1,3,0,1,0,4,0,91,3138,14,14,2,2,19,2,6,3,0,0
查询就医科室、医院/医生导航与挂号入口,0,0,2,0,309,0,4,0,0,0,1,3,0,0,3,0,2,0,0,4
查询指标的正常值或参考范围,0,5,0,1,0,251,3,0,0,0,0,1,0,0,2,0,0,0,0,0
查询疾病或医学术语的定义、病因与传染性,0,45,0,7,0,4,120,23,4,9,88,7,0,7,3,2,444,312,41,0
查询疾病的症状与早期征兆,0,1,0,14,0,0,0,1179,8,0,0,142,0,0,0,0,0,5,0,0
查询药品用法用量与服用时机,2,0,0,16,0,0,0,0,1,0,3,0,2,215,15,0,0,0,0,0
查询药品的功效与作用,0,0,3,0,0,0,0,0,270,2584,17,0,2,10,3,6,1,0,0,2
查询诊疗项目的费用、时长与恢复参数,0,1,0,75,0,14,203,0,5,0,0,0,1,22,25,0,0,1,5,3
由自述症状直接索取药品或药膏,0,0,31,0,0,0,0,1,0,0,0,0,98,0,0,0,0,0,0,0
获取食疗/养生方的做法与搭配,39,0,11,0,0,0,0,0,1,15,8,0,35,3,29,0,0,0,0,0
解读用户本人的检查数值或报告分级,8,616,1,4,0,14,8,0,15,1,6,0,0,0,2,0,16,96,11,2
解释自身症状的原因,0,1,48,3,2,0,3,29,10,0,8,7,5,0,0,20,6,1749,13,0
评估疾病的严重程度、预后或时间预期,1,2,0,5,0,0,6,2,23,0,13,0,0,5,0,0,0,0,183,0
