label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
仅给出名称的裸实体查询,2025search,2026search,1856,1132,9998,9998,0.1856371274254851,0.11322264452890578,-7.241448289657932,-8.224776356018154,-6.25806705765126,stable,True,时间（搜索内部，2025→2026）
解释自身症状的原因,2025search,2026search,993,911,9998,9998,0.09931986397279456,0.09111822364472895,-0.8201640328065612,-1.6343777358013505,-0.006351397393752033,stable,True,时间（搜索内部，2025→2026）
解读用户本人的检查数值或报告分级,2025search,2026search,428,372,9998,9998,0.04280856171234247,0.03720744148829766,-0.5601120224044811,-1.10505141487003,-0.01654029292183284,stable,True,时间（搜索内部，2025→2026）
查询诊疗项目的费用、时长与恢复参数,2025search,2026search,187,168,9998,9998,0.01870374074814963,0.016803360672134428,-0.19003800760152012,-0.5585252082063894,0.17718600661618492,stable,False,时间（搜索内部，2025→2026）
寻找疾病的治疗或缓解方案,2025search,2026search,794,777,9998,9998,0.07941588317663532,0.07771554310862172,-0.17003400680136033,-0.9165127451880153,0.57631086104452,stable,False,时间（搜索内部，2025→2026）
对正在发生的具体不适做分诊与处置判断,2025search,2026search,41,40,9998,9998,0.004100820164032806,0.004000800160032006,-0.010002000400079984,-0.19027464473177524,0.16995613313187516,stable,False,时间（搜索内部，2025→2026）
在两个或几个选项之间给出裁决,2025search,2026search,151,151,9998,9998,0.015103020604120825,0.015103020604120825,0.0,-0.3400722107804906,0.3400722107804906,stable,False,时间（搜索内部，2025→2026）
由自述症状直接索取药品或药膏,2025search,2026search,65,65,9998,9998,0.00650130026005201,0.00650130026005201,0.0,-0.22594714235122035,0.22594714235122035,stable,False,时间（搜索内部，2025→2026）
查询就医科室、医院/医生导航与挂号入口,2025search,2026search,162,166,9998,9998,0.016203240648129627,0.016603320664132826,0.040008001600319934,-0.3138447474041908,0.3941513490616082,stable,False,时间（搜索内部，2025→2026）
获取食疗/养生方的做法与搭配,2025search,2026search,68,73,9998,9998,0.0068013602720544105,0.007301460292058411,0.050010002000400094,-0.18452364821332548,0.28544073631272965,stable,False,时间（搜索内部，2025→2026）
查询指标的正常值或参考范围,2025search,2026search,128,135,9998,9998,0.01280256051210242,0.013502700540108022,0.07001400280056014,-0.24762470467401973,0.388301838789796,stable,False,时间（搜索内部，2025→2026）
查询疾病或医学术语的定义、病因与传染性,2025search,2026search,552,564,9998,9998,0.05521104220844169,0.05641128225645129,0.12002400480096015,-0.5170273516847513,0.7572536946512712,stable,False,时间（搜索内部，2025→2026）
评估疾病的严重程度、预后或时间预期,2025search,2026search,113,127,9998,9998,0.011302260452090419,0.01270254050810162,0.1400280056011201,-0.16337781587522743,0.44486815042868133,stable,False,时间（搜索内部，2025→2026）
查询疾病的症状与早期征兆,2025search,2026search,666,683,9998,9998,0.0666133226645329,0.0683136627325465,0.17003400680136033,-0.52583372413474,0.8660835172729194,stable,False,时间（搜索内部，2025→2026）
处理非健康或无法归入上述意图的残余,2025search,2026search,438,455,9998,9998,0.04380876175235047,0.04550910182036407,0.17003400680136033,-0.4033260321765261,0.7437492019360317,stable,False,时间（搜索内部，2025→2026）
查询药品用法用量与服用时机,2025search,2026search,102,152,9998,9998,0.010202040408081616,0.015203040608121624,0.5001000200040008,0.1899796996908614,0.8150635097000272,stable,True,时间（搜索内部，2025→2026）
对具体行为、搭配或说法给出是否可行的裁决,2025search,2026search,295,374,9998,9998,0.029505901180236046,0.03740748149629926,0.7901580316063213,0.29182317514683026,1.2909476063293508,stable,True,时间（搜索内部，2025→2026）
查询中医方剂组成、经络穴位与中医理论,2025search,2026search,133,226,9998,9998,0.01330266053210642,0.022604520904180837,0.9301860372074416,0.5636354434523146,1.3029057112087639,stable,True,时间（搜索内部，2025→2026）
查询中药材/食材/茶饮的功效与作用,2025search,2026search,1587,1768,9998,9998,0.15873174634926984,0.17683536707341468,1.8103620724144842,0.774591413990554,2.8459270044750338,stable,True,时间（搜索内部，2025→2026）
查询药品的功效与作用,2025search,2026search,1239,1659,9998,9998,0.1239247849569914,0.16593318663732748,4.200840168033608,3.226555030840058,5.175179820173857,stable,True,时间（搜索内部，2025→2026）
查询药品的功效与作用,2026search,assistant_top,1659,34,9998,958,0.16593318663732748,0.03549060542797495,-13.044258120935254,-14.288167706767263,-11.4988104892964,stable,True,界面（同为头部流量）
解释自身症状的原因,2026search,assistant_top,911,48,9998,958,0.09111822364472895,0.05010438413361169,-4.101383951111726,-5.443787137819303,-2.4382842519278345,stable,True,界面（同为头部流量）
查询疾病或医学术语的定义、病因与传染性,2026search,assistant_top,564,21,9998,958,0.05641128225645129,0.021920668058455117,-3.4490614197996177,-4.337219621580818,-2.232663687801417,stable,True,界面（同为头部流量）
解读用户本人的检查数值或报告分级,2026search,assistant_top,372,15,9998,958,0.03720744148829766,0.015657620041753653,-2.154982144654401,-2.8824341727185243,-1.0928940128033187,stable,True,界面（同为头部流量）
查询中医方剂组成、经络穴位与中医理论,2026search,assistant_top,226,6,9998,958,0.022604520904180837,0.006263048016701462,-1.6341472887479378,-2.093629051222329,-0.8514516958397346,stable,True,界面（同为头部流量）
查询中药材/食材/茶饮的功效与作用,2026search,assistant_top,1768,157,9998,958,0.17683536707341468,0.1638830897703549,-1.2952277303059785,-3.6313540359849066,1.2890653311607942,stable,False,界面（同为头部流量）
查询药品用法用量与服用时机,2026search,assistant_top,152,3,9998,958,0.015203040608121624,0.003131524008350731,-1.2071516599770893,-1.5385664482321835,-0.5641671533736726,stable,True,界面（同为头部流量）
在两个或几个选项之间给出裁决,2026search,assistant_top,151,3,9998,958,0.015103020604120825,0.003131524008350731,-1.1971496595770095,-1.5279615500574284,-0.5544336388552649,stable,True,界面（同为头部流量）
查询疾病的症状与早期征兆,2026search,assistant_top,683,54,9998,958,0.0683136627325465,0.05636743215031315,-1.1946230582233355,-2.5832351185732674,0.518855954904222,stable,False,界面（同为头部流量）
对具体行为、搭配或说法给出是否可行的裁决,2026search,assistant_top,374,30,9998,958,0.03740748149629926,0.031315240083507306,-0.6092241412791952,-1.617079874138546,0.74180605591769,stable,False,界面（同为头部流量）
评估疾病的严重程度、预后或时间预期,2026search,assistant_top,127,8,9998,958,0.01270254050810162,0.008350730688935281,-0.4351809819166339,-0.9108990831355506,0.39374400954172806,stable,False,界面（同为头部流量）
