td_l1_name,2025search,2026search,assistant_random,assistant_top,assistant_voice
仅给出名称的裸实体查询,1667.7284002828594,816.6820492921145,452.6046114432109,2318.5017971253633,840.0
在两个或几个选项之间给出裁决,111.2060166526844,102.93654863805683,239.11187019641332,27.806743135210287,330.0
处理非健康或无法归入上述意图的残余,369.0433223294761,416.61922597137584,1810.4184457728436,1948.992960463242,1470.0
对具体行为、搭配或说法给出是否可行的裁决,213.47578964660153,258.30330569324826,1972.67292912041,373.4048363871096,2600.0
对正在发生的具体不适做分诊与处置判断,29.786793541520844,27.629204933627506,418.4457728437233,21.504390638905758,160.0
寻找疾病的治疗或缓解方案,751.7012323751277,706.9812415170757,922.2886421861657,812.6979034174029,610.0
查询中医方剂组成、经络穴位与中医理论,103.19290043042615,168.8107940909982,93.93680614859095,226.12076835225946,70.0
查询中药材/食材/茶饮的功效与作用,2036.8734927862936,2347.551205710471,435.5251921434671,1241.4106574690516,810.0
查询就医科室、医院/医生导航与挂号入口,98.90518936396828,91.5930223873361,367.2075149444919,1051.2705924593308,310.0
查询指标的正常值或参考范围,182.66101454994813,179.3709488606265,76.85738684884714,113.59512923642225,40.0
查询疾病或医学术语的定义、病因与传染性,503.02529831767737,502.53280512079186,213.4927412467976,228.03057213901843,210.0
查询疾病的症状与早期征兆,854.8190901520293,830.104966018382,153.71477369769428,405.718716459071,180.0
查询药品用法用量与服用时机,80.69860804101565,111.90308005154124,204.9530315969257,16.691685096273208,140.0
查询药品的功效与作用,1293.4773233950818,1924.6976483687345,503.8428693424423,257.21237400069515,390.0
查询诊疗项目的费用、时长与恢复参数,135.0449089162083,114.75816189562074,350.12809564474804,236.051748043406,120.0
由自述症状直接索取药品或药膏,58.02441887945693,55.94193988507096,51.23825789923143,55.384309816009505,80.0
获取食疗/养生方的做法与搭配,54.10678117284677,58.76438125077161,111.01622544833475,100.34109095631516,60.0
解读用户本人的检查数值或报告分级,445.06769823930404,372.8829049718553,503.8428693424423,100.79944386513729,360.0
解释自身症状的原因,926.7305118597718,828.6745450541323,853.9709649871904,383.5649925326672,1120.0
评估疾病的严重程度、预后或时间预期,84.43120906770194,83.26202028816934,264.73099914602903,80.89928840710905,100.0
