domain,source,frame,label,share
医疗,2026search,统一13类,解释与介绍,0.6073
医疗,2026search,统一13类,裸实体,0.123
医疗,2026search,统一13类,个案判断与建议,0.0809
医疗,2026search,统一13类,办事与操作,0.0593
医疗,2026search,统一13类,事实与数值,0.0471
医疗,2026search,统一13类,获取现成内容,0.028
医疗,2026search,统一13类,核实与动态,0.0258
医疗,2026search,统一13类,清单与推荐,0.0225
医疗,2026search,统一13类,导航直达,0.003
医疗,2026search,统一13类,无法判定,0.0024
医疗,2026search,统一13类,违规或灰色内容,0.0006
医疗,2026search,本次挖掘,查询中药材/食材/茶饮的功效与作用,0.1768
医疗,2026search,本次挖掘,查询药品的功效与作用,0.1659
医疗,2026search,本次挖掘,仅给出名称的裸实体查询,0.1132
医疗,2026search,本次挖掘,解释自身症状的原因,0.0911
医疗,2026search,本次挖掘,寻找疾病的治疗或缓解方案,0.0777
医疗,2026search,本次挖掘,查询疾病的症状与早期征兆,0.0683
医疗,2026search,本次挖掘,查询疾病或医学术语的定义、病因与传染性,0.0564
医疗,2026search,本次挖掘,处理非健康或无法归入上述意图的残余,0.0455
医疗,2026search,本次挖掘,对具体行为、搭配或说法给出是否可行的裁决,0.0374
医疗,2026search,本次挖掘,解读用户本人的检查数值或报告分级,0.0372
医疗,2026search,本次挖掘,查询中医方剂组成、经络穴位与中医理论,0.0226
医疗,2026search,本次挖掘,查询诊疗项目的费用、时长与恢复参数,0.0168
医疗,2026search,本次挖掘,查询就医科室、医院/医生导航与挂号入口,0.0166
医疗,2026search,本次挖掘,查询药品用法用量与服用时机,0.0152
医疗,2026search,本次挖掘,在两个或几个选项之间给出裁决,0.0151
医疗,2026search,本次挖掘,查询指标的正常值或参考范围,0.0135
医疗,2026search,本次挖掘,评估疾病的严重程度、预后或时间预期,0.0127
医疗,2026search,本次挖掘,获取食疗/养生方的做法与搭配,0.0073
医疗,2026search,本次挖掘,由自述症状直接索取药品或药膏,0.0065
医疗,2026search,本次挖掘,对正在发生的具体不适做分诊与处置判断,0.004
医疗,assistant_random,统一13类,个案判断与建议,0.3367
医疗,assistant_random,统一13类,解释与介绍,0.2255
医疗,assistant_random,统一13类,无法判定,0.1122
医疗,assistant_random,统一13类,核实与动态,0.0942
医疗,assistant_random,统一13类,事实与数值,0.0872
医疗,assistant_random,统一13类,办事与操作,0.0511
医疗,assistant_random,统一13类,清单与推荐,0.0451
医疗,assistant_random,统一13类,裸实体,0.019
医疗,assistant_random,统一13类,生成与编辑,0.01
医疗,assistant_random,统一13类,获取现成内容,0.009
医疗,assistant_random,统一13类,会话与系统指令,0.008
医疗,assistant_random,统一13类,导航直达,0.001
医疗,assistant_random,统一13类,违规或灰色内容,0.001
医疗,assistant_random,本次挖掘,处理非健康或无法归入上述意图的残余,0.1954
医疗,assistant_random,本次挖掘,对具体行为、搭配或说法给出是否可行的裁决,0.1884
医疗,assistant_random,本次挖掘,解释自身症状的原因,0.0872
医疗,assistant_random,本次挖掘,寻找疾病的治疗或缓解方案,0.0782
医疗,assistant_random,本次挖掘,解读用户本人的检查数值或报告分级,0.0581
医疗,assistant_random,本次挖掘,对正在发生的具体不适做分诊与处置判断,0.0471
医疗,assistant_random,本次挖掘,查询中药材/食材/茶饮的功效与作用,0.0421
医疗,assistant_random,本次挖掘,查询就医科室、医院/医生导航与挂号入口,0.0421
医疗,assistant_random,本次挖掘,仅给出名称的裸实体查询,0.0401
医疗,assistant_random,本次挖掘,查询诊疗项目的费用、时长与恢复参数,0.0381
