td_l1_name,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,share%_assistant_voice,index_2025search,index_2026search,index_assistant_random,index_assistant_top,index_assistant_voice
仅给出名称的裸实体查询,18.56,11.32,4.01,22.13,8.4,1.2818,0.7818,0.2768,1.528,0.58
在两个或几个选项之间给出裁决,1.51,1.51,2.51,0.31,3.3,0.9549,0.9549,1.5839,0.198,2.0865
处理非健康或无法归入上述意图的残余,4.38,4.55,19.54,17.75,14.7,0.7157,0.7434,3.1919,2.8989,2.4014
对具体行为、搭配或说法给出是否可行的裁决,2.95,3.74,18.84,3.13,26.0,0.5904,0.7485,3.7695,0.6266,5.2027
对正在发生的具体不适做分诊与处置判断,0.41,0.4,4.71,0.21,1.6,0.6447,0.6289,7.4035,0.3282,2.5153
寻找疾病的治疗或缓解方案,7.94,7.77,7.82,8.25,6.1,1.0189,0.9971,1.0027,1.058,0.7826
查询中医方剂组成、经络穴位与中医理论,1.33,2.26,0.9,0.63,0.7,0.8014,1.3617,0.5433,0.3773,0.4217
查询中药材/食材/茶饮的功效与作用,15.87,17.68,4.21,16.39,8.1,1.0023,1.1166,0.2657,1.0348,0.5114
查询就医科室、医院/医生导航与挂号入口,1.62,1.66,4.21,7.62,3.1,0.7846,0.804,2.0378,3.6898,1.5011
查询指标的正常值或参考范围,1.28,1.35,0.7,1.36,0.4,1.0238,1.0798,0.5609,1.0852,0.3199
查询疾病或医学术语的定义、病因与传染性,5.52,5.64,2.51,2.19,2.1,1.0712,1.0945,0.486,0.4253,0.4074
查询疾病的症状与早期征兆,6.66,6.83,1.8,5.64,1.8,1.0625,1.0896,0.2877,0.8991,0.2871
查询药品用法用量与服用时机,1.02,1.52,2.2,0.31,1.4,0.7992,1.1909,1.7268,0.2453,1.0967
查询药品的功效与作用,12.39,16.59,3.21,3.55,3.9,0.9472,1.2682,0.2451,0.2713,0.2981
查询诊疗项目的费用、时长与恢复参数,1.87,1.68,3.81,1.88,1.2,1.0149,0.9118,2.066,1.0195,0.6511
由自述症状直接索取药品或药膏,0.65,0.65,0.6,0.84,0.8,0.9817,0.9817,0.9078,1.261,1.208
获取食疗/养生方的做法与搭配,0.68,0.73,1.2,0.42,0.6,0.9577,1.0281,1.6931,0.5879,0.8449
解读用户本人的检查数值或报告分级,4.28,3.72,5.81,1.57,3.6,1.0809,0.9395,1.4674,0.3954,0.909
解释自身症状的原因,9.93,9.11,8.72,5.01,11.2,1.0598,0.9723,0.9302,0.5346,1.1951
评估疾病的严重程度、预后或时间预期,1.13,1.27,2.71,0.84,1.0,0.9102,1.023,2.1788,0.6725,0.8053
