code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,用户以“X的功效与作用/作用与功效/主治”等模板查询已知药品名称（西药、中成药、疫苗等）的适应症、功效与不良反应说明。,收到与对象语域匹配的药品说明书口径答案（西药适应症与不良反应、中成药中医功效与禁忌）后即满足。,False,0.09,依折麦布片的功效和作用 / 甲钴胺片的功效和作用 / 布洛芬缓释胶囊的功效与作用 / 知柏地黄丸的作用与功效,川芎的功效作用与主治 → HERB_FOOD_EFFICACY_LOOKUP / 阿莫西林胶囊一次吃几粒 → DOSAGE_USAGE / 阿莫西林能喝酒吗 → FEASIBILITY_CLAIM_VERDICT,1
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,用户以“X的功效与作用/主治/性味”模板查询中药材、食材、茶饮等非药品物质，期望获得药性或营养功效说明。,收到区分传统用途与循证证据的功效说明（药材含性味归经与主治，食材含营养价值与食用禁忌）后即满足。,True,0.19,川芎的功效作用与主治 / 猕猴桃的功效与作用 / 黑苦荞茶的作用与功效 / 荔枝的功效作用与主治,依折麦布片的功效和作用 → DRUG_EFFICACY_LOOKUP / 乌鸡汤怎么炖好喝又营养补气血 → FOOD_THERAPY_PREPARATION / 氯虫苯甲酰胺的作用与功效 → OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,1
DOSAGE_USAGE,查询药品用法用量与服用时机,用户点名某药，索要一次几片/一天几次/最多几天/饭前或饭后/最佳时间等说明书级用法用量。,收到按适应症和人群限制的剂量区间或服用时机，并提示以说明书和医嘱为准后即满足。,True,0.03,左氧氟沙星片尿路感染一次吃几片 / 螺内酯片一天吃几粒 / 龙胆泻肝丸最多吃几天 / 盐酸西替利嗪滴剂的用法与用量,阿托伐他汀钙片早上吃还是晚上吃 → OPTION_ADJUDICATION / 阿莫西林能喝酒吗 → FEASIBILITY_CLAIM_VERDICT / 阿莫西林的作用和功效 → DRUG_EFFICACY_LOOKUP,2
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,用户已把问题收敛为两个或更多具体选项（饭前还是饭后、早上还是晚上、左手还是右手、A和B区别），要求系统明确选定一项并给理由，而不是并排列举。,收到明确的单选结论和可执行理由后即满足。,False,0.03,阿托伐他汀钙片早上吃还是晚上吃 / 蒙脱石散饭前吃还是饭后吃 / 参苓白术散饭前吃还是饭后吃 / 量血压左手还是右手比较准确,左氧氟沙星片尿路感染一次吃几片 → DOSAGE_USAGE / 陈皮和什么一起泡水是最佳搭配对甲状腺结节 → FOOD_THERAPY_PREPARATION / 藿香正气水滴到肚脐眼里有啥功效和作用 → DRUG_EFFICACY_LOOKUP,1
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,用户询问某一生理或检验指标的正常数值/标准范围，用于把自己的数值对号入座。,收到带单位、人群差异和时效标注的权威数值范围后即满足。,False,0.01,眼压正常是多少 / 血压多少才算正常 / 血压正常是多少标准 / 血压正常值是多少范围,糖化血红蛋白6.5是什么程度? → PERSONAL_RESULT_INTERPRETATION / 尿潜血3个加号是什么意思 → PERSONAL_RESULT_INTERPRETATION / 谷丙转氨酶高多少才是肝炎 → PERSONAL_RESULT_INTERPRETATION,1
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,用户携带自己的具体数值、阴阳性、分级或检查所见（如6.5、3个加号、2级、st-t改变）询问说明什么、是否严重、下一步怎么办。,收到针对该结果的正常/异常判定、常见原因和下一步复查或就医门槛后即满足。,True,0.04,糖化血红蛋白6.5是什么程度? / 乙肝核心抗体阳性说明什么 / 谷丙转氨酶高多少才是肝炎 / 尿潜血3个加号是什么意思,眼压正常是多少 → NORMAL_RANGE_LOOKUP / hpv是什么东西 → DISEASE_DEFINITION_CAUSE / 血压多少才算正常 → NORMAL_RANGE_LOOKUP,1
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,用户报告一个或多个症状（多为第一人称），询问是什么原因/怎么回事，期望获得可能原因而非病名清单。,收到按常见度排列的可能原因与何时就医的提示后即满足。,True,0.1,心慌心悸胸闷焦虑不安是怎么回事 / 胸口闷感觉喘不过气是怎么回事 / 吃了火龙果小便尿出淡红色是怎么回事 / 左边下腹隐隐作痛什么原因女性,糖尿病的症状有哪些表现 → DISEASE_SYMPTOM_LIST / 腺肌症是什么病 → DISEASE_DEFINITION_CAUSE / 12岁的孩子起床之后说脖子疼 → EPISODE_TRIAGE,2
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,用户以已知疾病或急症名称为输入，要求列出其症状、前兆、早期表现等对照清单。,收到该病常见/少见症状分层清单及何时需要就医的提示后即满足。,False,0.06,糖尿病的症状有哪些表现 / 骨癌的前兆是什么症状 / 猝死前的征兆 / 宫颈癌早期症状,左边下腹隐隐作痛什么原因女性 → SYMPTOM_CAUSE_EXPLANATION / 肺炎会不会传染 → DISEASE_DEFINITION_CAUSE / 糖尿病寿命一般能活多久 → PROGNOSIS_SEVERITY,1
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,用户询问某病名/医学术语/检查名是什么、怎么引起、是否传染，要通俗解释而非个人化建议。,收到该病的通俗定义、常见病因/诱因、是否传染及传播途径说明后即满足。,False,0.05,腺肌症是什么病 / 慢阻肺是一种什么病 / 多囊是什么原因引起的 / 尖锐湿疣是什么原因造成的,乙肝核心抗体阳性说明什么 → PERSONAL_RESULT_INTERPRETATION / 心慌心悸胸闷焦虑不安是怎么回事 → SYMPTOM_CAUSE_EXPLANATION / 脂肪肝是什么意思严重吗 → PROGNOSIS_SEVERITY,1
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,用户以已知病名或明确健康问题为输入，询问怎么治/吃什么药/最快缓解方法，要求可执行的方案。,收到分层治疗路径（就医指征、规范治疗、安全自助措施）而非单一药名或未证实的根治承诺后即满足。,True,0.06,静脉曲张的最快消除方法怎么治疗 / 失眠吃什么药效果最好 / 咽喉炎吃什么药最好得快能根治 / 高血糖怎么调理才能彻底根除,硬度不够中途疲软是什么原因引起的吃什么药 → SYMPTOM_TO_PRODUCT / 左氧氟沙星片尿路感染一次吃几片 → DOSAGE_USAGE / 糖尿病寿命一般能活多久 → PROGNOSIS_SEVERITY,1
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,用户以自述症状为入口，跳过诊断，直接询问可以用什么药/药膏/眼药水，期待购买级产品推荐。,收到可购买具体产品的推荐及使用边界（何时必须就医或凭处方）后即满足。,True,0.05,硬度不够中途疲软是什么原因引起的吃什么药 / 女性外面痒是怎么回事?用什么药 / 细菌性阴炎症状表现用什么药 / 脚痒是什么原因.越抓越痒用什么药,咽喉炎吃什么药最好得快能根治 → TREATMENT_SEEKING / 左氧氟沙星片尿路感染一次吃几片 → DOSAGE_USAGE / 阿莫西林能喝酒吗 → FEASIBILITY_CLAIM_VERDICT,1
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,用户询问某病/分级/检查结果严重吗、能活多久、能治好吗、能怀孕吗、复发率等预后后果。,收到分层预后信息、影响预后的关键因素和需面诊的提示后即满足。,True,0.02,糖尿病寿命一般能活多久 / 直肠癌中晚期手术后能活多久 / 脂肪肝是什么意思严重吗 / 管状腺瘤伴低级别上皮内瘤变严重吗,糖尿病的症状有哪些表现 → DISEASE_SYMPTOM_LIST / 静脉曲张的最快消除方法怎么治疗 → TREATMENT_SEEKING / 腺肌症是什么病 → DISEASE_DEFINITION_CAUSE,1
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,用户就具体行为/搭配/传闻（药与酒、食物搭配、某物能不能吃、X能治Y、偏方是否有效）要求一个明确的能/不能/真/假判定及理由。,收到明确结论、简短理由和安全条件后即满足；泛泛功效介绍不满足。,True,0.08,阿莫西林能喝酒吗 / 吃布洛芬可以喝酒吗 / 蛋糕和海带可以一起吃 / 肠梗阻出院以后可以吃豌豆糕吗,阿莫西林胶囊一次吃几粒 → DOSAGE_USAGE / 阿莫西林的作用和功效 → DRUG_EFFICACY_LOOKUP / 猕猴桃的功效与作用 → HERB_FOOD_EFFICACY_LOOKUP,1
