bucket,n,label,share
助手行·在搜索里也出现,272,仅给出名称的裸实体查询,0.4963
助手行·在搜索里也出现,272,寻找疾病的治疗或缓解方案,0.1066
助手行·在搜索里也出现,272,查询疾病的症状与早期征兆,0.0735
助手行·在搜索里也出现,272,处理非健康或无法归入上述意图的残余,0.0662
助手行·在搜索里也出现,272,查询中药材/食材/茶饮的功效与作用,0.0662
助手行·在搜索里也出现,272,解释自身症状的原因,0.0551
助手行·在搜索里也出现,272,查询疾病或医学术语的定义、病因与传染性,0.0331
助手行·在搜索里也出现,272,查询药品的功效与作用,0.0331
助手行·在搜索里也出现,272,解读用户本人的检查数值或报告分级,0.0184
助手行·在搜索里也出现,272,查询指标的正常值或参考范围,0.0147
助手行·在搜索里也出现,272,查询诊疗项目的费用、时长与恢复参数,0.011
助手行·在搜索里也出现,272,对具体行为、搭配或说法给出是否可行的裁决,0.0074
助手行·在搜索里也出现,272,查询中医方剂组成、经络穴位与中医理论,0.0074
助手行·在搜索里也出现,272,评估疾病的严重程度、预后或时间预期,0.0037
助手行·在搜索里也出现,272,获取食疗/养生方的做法与搭配,0.0037
助手行·在搜索里也出现,272,查询就医科室、医院/医生导航与挂号入口,0.0037
助手行·搜索里没有,1684,处理非健康或无法归入上述意图的残余,0.2061
助手行·搜索里没有,1684,对具体行为、搭配或说法给出是否可行的裁决,0.1283
助手行·搜索里没有,1684,查询中药材/食材/茶饮的功效与作用,0.1075
助手行·搜索里没有,1684,寻找疾病的治疗或缓解方案,0.076
助手行·搜索里没有,1684,解释自身症状的原因,0.0713
助手行·搜索里没有,1684,仅给出名称的裸实体查询,0.0695
助手行·搜索里没有,1684,查询就医科室、医院/医生导航与挂号入口,0.0677
助手行·搜索里没有,1684,解读用户本人的检查数值或报告分级,0.0404
助手行·搜索里没有,1684,查询药品的功效与作用,0.0338
助手行·搜索里没有,1684,查询诊疗项目的费用、时长与恢复参数,0.0315
助手行·搜索里没有,1684,查询疾病的症状与早期征兆,0.0309
助手行·搜索里没有,1684,对正在发生的具体不适做分诊与处置判断,0.0291
助手行·搜索里没有,1684,查询疾病或医学术语的定义、病因与传染性,0.022
助手行·搜索里没有,1684,评估疾病的严重程度、预后或时间预期,0.0202
助手行·搜索里没有,1684,在两个或几个选项之间给出裁决,0.0166
助手行·搜索里没有,1684,查询药品用法用量与服用时机,0.0148
助手行·搜索里没有,1684,查询指标的正常值或参考范围,0.0095
助手行·搜索里没有,1684,获取食疗/养生方的做法与搭配,0.0089
助手行·搜索里没有,1684,由自述症状直接索取药品或药膏,0.0083
助手行·搜索里没有,1684,查询中医方剂组成、经络穴位与中医理论,0.0077
