query,source,td_l1_name,pv_raw
艾滋病初期有哪些症状,2025search,查询疾病的症状与早期征兆,9818.0
舌苔厚白是什么原因引起的,2025search,解释自身症状的原因,8600.0
"荨麻疹是什么原因引起的,怎么根治",2025search,查询疾病或医学术语的定义、病因与传染性,8231.0
梅毒的症状和图片,2025search,查询疾病的症状与早期征兆,7849.0
芒果的功效与作用禁忌,2025search,查询中药材/食材/茶饮的功效与作用,6474.0
"口臭是什么原因引起的,怎样去除",2025search,解释自身症状的原因,5590.0
艾滋病皮肤症状图片,2025search,查询疾病的症状与早期征兆,5466.0
"手麻是什么原因引起的,怎么解决",2025search,解释自身症状的原因,5154.0
"肝囊肿是什么病,需要治疗吗",2025search,查询疾病或医学术语的定义、病因与传染性,4983.0
乳腺结节3类严重吗需要治疗吗,2025search,解读用户本人的检查数值或报告分级,4924.0
脚浮肿是什么原因引起的,2025search,解释自身症状的原因,4555.0
艾滋病初期症状,2025search,查询疾病的症状与早期征兆,4462.0
hiv病毒是什么病毒,2025search,查询疾病或医学术语的定义、病因与传染性,4407.0
甲状腺结节4a严重吗?需要手术吗怎么治疗,2025search,寻找疾病的治疗或缓解方案,4306.0
"肛门瘙痒是什么原因引起的,怎么治疗",2025search,解释自身症状的原因,4281.0
血小板低是什么原因引起的,2025search,解释自身症状的原因,4223.0
"脂肪肝是什么原因引起的,该怎么治疗",2025search,解释自身症状的原因,3937.0
胆固醇高是什么原因引起,2025search,查询疾病或医学术语的定义、病因与传染性,3743.0
痛风忌口不能吃什么东西,2025search,对具体行为、搭配或说法给出是否可行的裁决,3680.0
"盆腔积液是什么原因引起的,该怎么治疗",2025search,解释自身症状的原因,3546.0
艾滋病,2025search,仅给出名称的裸实体查询,3451.0
头晕晕的是什么病的征兆,2025search,解释自身症状的原因,3400.0
梅毒,2025search,仅给出名称的裸实体查询,3249.0
紧急避孕药的危害和副作用,2025search,查询药品的功效与作用,3185.0
艾滋病传播方式有几种,2025search,查询疾病或医学术语的定义、病因与传染性,3163.0
hpv病毒是什么病毒,2025search,查询疾病或医学术语的定义、病因与传染性,3161.0
后背疼痛什么原因引起的,2025search,解释自身症状的原因,3149.0
朱砂手链的功效与作用佩戴禁忌,2025search,处理非健康或无法归入上述意图的残余,3142.0
脚气用什么药最有效最好能根治,2025search,寻找疾病的治疗或缓解方案,3015.0
紧急避孕药的最佳服用时间,2025search,查询药品用法用量与服用时机,2664.0
口苦是什么原因引起的怎么解决,2025search,解释自身症状的原因,2632.0
"甲亢病是什么原因引起的,能治好吗",2025search,解释自身症状的原因,2549.0
耳朵嗡嗡响是什么原因引起的,2025search,解释自身症状的原因,2542.0
头晕是什么原因引起的怎么办,2025search,解释自身症状的原因,2527.0
胸部疼痛什么原因引起的,2025search,解释自身症状的原因,2448.0
hpv是什么病毒?,2025search,查询疾病或医学术语的定义、病因与传染性,2430.0
膝盖疼是怎么回事什么原因引起的,2025search,解释自身症状的原因,2414.0
hpv是什么病毒,2025search,查询疾病或医学术语的定义、病因与传染性,2412.0
脚肿是怎么回事什么原因引起的,2025search,解释自身症状的原因,2405.0
"血管瘤是什么病,怎样治疗,严重吗?",2025search,查询疾病或医学术语的定义、病因与传染性,2325.0
艾滋病潜伏期一般是多长时间,2025search,查询疾病或医学术语的定义、病因与传染性,2316.0
hpv是艾滋病吗,2025search,查询疾病或医学术语的定义、病因与传染性,2296.0
eb病毒是什么病,2025search,查询疾病或医学术语的定义、病因与传染性,2294.0
头晕晕乎乎的是什么病的征兆,2025search,解释自身症状的原因,2241.0
避孕药什么时候吃最好最有效,2025search,查询药品用法用量与服用时机,2202.0
面瘫是什么原因引起的,2025search,查询疾病或医学术语的定义、病因与传染性,2180.0
湿疹是什么原因引起的起的,2025search,查询疾病或医学术语的定义、病因与传染性,2131.0
白血病是什么原因引起的,2025search,查询疾病或医学术语的定义、病因与传染性,2112.0
艾滋病初期症状及表现,2025search,查询疾病的症状与早期征兆,2109.0
屁多是怎么回事什么原因引起的,2025search,解释自身症状的原因,2072.0
梅毒是怎么传染的,2025search,查询疾病或医学术语的定义、病因与传染性,2023.0
霍香正气水的功效作用与禁忌霍香正气水能治气脚吗,2025search,对具体行为、搭配或说法给出是否可行的裁决,1998.0
脑梗是什么原因引起的?,2025search,查询疾病或医学术语的定义、病因与传染性,1951.0
尿素偏高是什么病,2025search,解读用户本人的检查数值或报告分级,1902.0
腺肌症是什么病,2025search,查询疾病或医学术语的定义、病因与传染性,1896.0
手指关节疼痛什么原因引起的,2025search,解释自身症状的原因,1871.0
带状疱疹是什么原因引起造成的,2025search,查询疾病或医学术语的定义、病因与传染性,1845.0
手指麻木是什么病的前兆怎么治疗,2025search,解释自身症状的原因,1815.0
头疼是什么原因引起的该怎么去治,2025search,解释自身症状的原因,1813.0
地中海贫血是什么病,2025search,查询疾病或医学术语的定义、病因与传染性,1794.0
转安氨酶高是什么原因引起的,2025search,解读用户本人的检查数值或报告分级,1737.0
艾灸的最佳时间和禁忌,2025search,查询诊疗项目的费用、时长与恢复参数,1721.0
眼睛充血是什么原因引起的,2025search,解释自身症状的原因,1718.0
咽喉炎吃什么药最好得快能根治,2025search,寻找疾病的治疗或缓解方案,1712.0
眼屎多是什么原因引起的,2025search,解释自身症状的原因,1693.0
hpv52阳性严重吗,2025search,解读用户本人的检查数值或报告分级,1673.0
毛囊炎怎么彻底根治,2025search,寻找疾病的治疗或缓解方案,1671.0
血压偏低是什么原因引起的,2025search,解释自身症状的原因,1553.0
性病的主要症状和表现,2025search,查询疾病的症状与早期征兆,1530.0
背部痛疼什么原因引起的,2025search,解释自身症状的原因,1528.0
手麻是什么原因引起的,2025search,解释自身症状的原因,1523.0
流鼻血是什么原因引起的怎么处理,2025search,解释自身症状的原因,1507.0
睡觉流口水是什么原因引起的,2025search,解释自身症状的原因,1507.0
中耳炎用什么药好得快 特效药,2025search,寻找疾病的治疗或缓解方案,1498.0
带状疱疹后遗神经痛如何彻底根治,2025search,寻找疾病的治疗或缓解方案,1448.0
hpv病毒感染是什么原因引起的,2025search,查询疾病或医学术语的定义、病因与传染性,1438.0
马齿笕的功效与禁忌,2025search,查询中药材/食材/茶饮的功效与作用,1414.0
尿酸高是什么原因引起的怎么治疗,2025search,寻找疾病的治疗或缓解方案,1412.0
梅毒能彻底治愈吗,2025search,评估疾病的严重程度、预后或时间预期,1409.0
喝中药忌口哪些食物,2025search,对具体行为、搭配或说法给出是否可行的裁决,1405.0
偏头疼是什么原因引起,2025search,解释自身症状的原因,1401.0
"肝血管瘤是什么病,需要治疗吗",2025search,查询疾病或医学术语的定义、病因与传染性,1396.0
避孕药的副作用和危害,2025search,查询药品的功效与作用,1391.0
腿抽筋是什么原因引起的怎么解决,2025search,解释自身症状的原因,1360.0
龟 头上有小红点是什么病,2025search,查询疾病或医学术语的定义、病因与传染性,1359.0
adhd是什么病的简称,2025search,查询疾病或医学术语的定义、病因与传染性,1344.0
过敏性紫癜是什么原因引起的,2025search,查询疾病或医学术语的定义、病因与传染性,1339.0
早泄怎么恢复,2025search,寻找疾病的治疗或缓解方案,1325.0
安眠药,2025search,仅给出名称的裸实体查询,1323.0
肾结石是怎么来的什么原因引起的,2025search,查询疾病或医学术语的定义、病因与传染性,1312.0
呼吸性碱中毒是什么原因引起的,2025search,解释自身症状的原因,1310.0
"手抖是什么原因引起的,怎么解决方法",2025search,解释自身症状的原因,1310.0
多囊是什么原因引起的,2025search,查询疾病或医学术语的定义、病因与传染性,1301.0
吃避孕药会对身体造成什么影响,2025search,处理非健康或无法归入上述意图的残余,1259.0
肺结节是什么病情况严重吗,2025search,评估疾病的严重程度、预后或时间预期,1258.0
耳鸣是什么原因引起的嗡嗡的响,2025search,解释自身症状的原因,1256.0
早泄,2025search,仅给出名称的裸实体查询,1251.0
脸浮肿是什么原因引起?,2025search,解释自身症状的原因,1248.0
"红斑狼疮是什么病,能治好吗",2025search,评估疾病的严重程度、预后或时间预期,1225.0
"手脚麻木是什么原因引起的,怎么治疗",2025search,解释自身症状的原因,1225.0
精液发黄是什么原因引起的,2025search,解释自身症状的原因,1206.0
嘴唇上长疱疹是什么原因引起的,2025search,解释自身症状的原因,1192.0
紧急避孕药一年可以吃几次,2025search,查询药品用法用量与服用时机,1189.0
艾滋病有什么症状,2025search,查询疾病的症状与早期征兆,1189.0
静脉曲张是什么原因引起的,2025search,查询疾病或医学术语的定义、病因与传染性,1188.0
肺大泡是什么病严重吗能治好吗,2025search,评估疾病的严重程度、预后或时间预期,1187.0
艾滋病能活多久,2025search,评估疾病的严重程度、预后或时间预期,1184.0
慢性萎缩性胃炎严重吗,2025search,评估疾病的严重程度、预后或时间预期,1167.0
乙肝是什么病,2025search,查询疾病或医学术语的定义、病因与传染性,1161.0
"冠心病是什么病严重吗,怎么治疗",2025search,评估疾病的严重程度、预后或时间预期,1149.0
hiv,2025search,仅给出名称的裸实体查询,1148.0
抗生素药有哪些药,2025search,查询药品的功效与作用,1148.0
脱发严重是什么原因引起的,2025search,解释自身症状的原因,1136.0
"腿抽筋是什么原因引起的,怎么治疗",2025search,解释自身症状的原因,1133.0
眼皮浮肿是什么原因引起的,2025search,解释自身症状的原因,1127.0
口腔溃疡是什么原因引起的怎么治疗,2025search,解释自身症状的原因,1126.0
肾积水是什么病严重吗,2025search,评估疾病的严重程度、预后或时间预期,1104.0
偏头痛什么原因引起的怎么治疗,2025search,解释自身症状的原因,1092.0
甲状腺结节3类算严重吗,2025search,解读用户本人的检查数值或报告分级,1073.0
梅毒早期症状,2025search,查询疾病的症状与早期征兆,1073.0
紧急避孕药,2025search,仅给出名称的裸实体查询,1064.0
