source,label,rank,query,pv_raw,tier
2025search,0,top_pv,荔枝的功效作用与主治,27253.0,user
2025search,0,top_pv,马齿苋的作用和功效,16334.0,user
2025search,0,top_pv,紫苏叶的功效与作用与主治,15233.0,user
2025search,0,top_pv,甲钴胺片的功效和作用,13890.0,user
2025search,0,top_pv,六味地黄丸的作用和功效,12882.0,user
2025search,0,top_pv,黄精药材有什么功效,12734.0,user
2025search,0,sample,维生素b族的功效与作用有哪些,450.0,user
2025search,0,sample,黄芪泡水能提高性功能吗,693.0,user
2025search,0,sample,广生堂,402.0,user
2025search,0,sample,酸奶的作用与功效,1334.0,user
2025search,0,sample,鹿茸有什么功效和作用,539.0,user
2025search,0,sample,丹红注射功效与作用,1055.0,user
2025search,5,top_pv,hpv是什么东西,20147.0,user
2025search,5,top_pv,人体结构器官位置图,8604.0,user
2025search,5,top_pv,乙肝表面抗体阳性是什么意思,6524.0,user
2025search,5,top_pv,足三里的准确位置图,5843.0,user
2025search,5,top_pv,人体器官结构示意图,5643.0,user
2025search,5,top_pv,窦性心律是什么意思?,5423.0,user
2025search,5,sample,bnp医学上是什么意思,626.0,user
2025search,5,sample,甲钴胺和维生素b12有什么区别,494.0,user
2025search,5,sample,淋巴结肿瘤能治好吗,736.0,user
2025search,5,sample,散瞳检查对眼睛有伤害吗,491.0,user
2025search,5,sample,aed是什么意思,417.0,user
2025search,5,sample,颈动脉斑块多少mm算严重,543.0,user
2025search,29,top_pv,血压正常是多少标准,19181.0,user
2025search,29,top_pv,血糖正常值范围 最新标准2025,15763.0,user
2025search,29,top_pv,bmi体重指数怎么计算,9216.0,user
2025search,29,top_pv,bmi计算器,6220.0,user
2025search,29,top_pv,血压正常值是多少范围,5989.0,user
2025search,29,top_pv,餐后2小时血糖正常值范围是多少,5417.0,user
2025search,29,sample,人一天要喝多少毫升水,443.0,user
2025search,29,sample,一碗米饭的热量是多少大卡,785.0,user
2025search,29,sample,男孩身高标准对照表2025,812.0,user
2025search,29,sample,肌力分级,423.0,user
2025search,29,sample,餐后血糖多少属于正常范围,420.0,user
2025search,29,sample,血糖值多少正常最新标准,462.0,user
2025search,1,top_pv,中暑的症状表现,10812.0,user
2025search,1,top_pv,艾滋病初期有哪些症状,9818.0,user
2025search,1,top_pv,甲状腺的症状有哪些表现,9810.0,user
2025search,1,top_pv,抑郁症的症状有哪些表现,9081.0,user
2025search,1,top_pv,糖尿病的症状有哪些表现,9007.0,user
2025search,1,top_pv,甲亢有哪些症状和表现,8174.0,user
2025search,1,sample,早孕有些什么症状表现,478.0,user
2025search,1,sample,腰肌劳损的主要症状有哪些,2694.0,user
2025search,1,sample,戒断反应是什么,396.0,user
2025search,1,sample,肠癌的早期症状,458.0,user
2025search,1,sample,内分泌失调有哪些症状,2596.0,user
2025search,1,sample,中暑的症状,2434.0,user
2025search,15,top_pv,牙疼怎么止疼最快,10593.0,user
2025search,15,top_pv,牙龈肿痛怎么消炎最快最有效,9828.0,user
2025search,15,top_pv,口腔溃疡怎么治最快有效药,9779.0,user
2025search,15,top_pv,湿气重怎么排湿最快最有效方法,5976.0,user
2025search,15,top_pv,腰椎间盘突出最好的治疗方法,5518.0,user
2025search,15,top_pv,痔疮肉球突出怎么消除,5228.0,user
2025search,15,sample,腰椎间盘突出最有效的恢复方法,1034.0,user
2025search,15,sample,落枕脖子疼怎么办最快最有效,1448.0,user
2025search,15,sample,腰疼的治疗方法怎么治最快最有效,508.0,user
2025search,15,sample,"被蜈蚣咬了怎么办,要怎么处理",853.0,user
2025search,15,sample,痔疮疼痛怎么快速止痛消肿,708.0,user
2025search,15,sample,肩周炎怎么治疗最快最好方法,439.0,user
2025search,8,top_pv,舌苔厚白是什么原因引起的,8600.0,user
2025search,8,top_pv,"口臭是什么原因引起的,怎样去除",5590.0,user
2025search,8,top_pv,口腔溃疡,3832.0,user
2025search,8,top_pv,"喉咙有异物感,咽部好像有东西堵塞",3453.0,user
2025search,8,top_pv,嘴唇发紫黑是什么原因,2957.0,user
2025search,8,top_pv,舌苔发黄厚腻是什么原因怎么调理,2801.0,user
2025search,8,sample,咳嗽咳出血是什么原因,340.0,user
2025search,8,sample,早晨起来口苦什么原因,386.0,user
2025search,8,sample,口腔溃疡是什么原因引起的,537.0,user
2025search,8,sample,口干口苦是什么原因 怎么解决,868.0,user
2025search,8,sample,一直咳嗽不停的咳嗽是什么原因,359.0,user
2025search,8,sample,耳鸣是什么原因造成的怎么解决,884.0,user
2025search,19,top_pv,西洋参的功效与作用、三种人不宜吃、和什么搭配泡水好,8579.0,user
2025search,19,top_pv,鸽子汤怎么炖最营养补气补血,3072.0,user
2025search,19,top_pv,绿豆和什么搭配一起煮最好,2316.0,user
