key,类目,搜索占比%,助手条数_全部,助手占比%_全部,助手条数_去掉裸词,助手占比%_去掉裸词,该类助手行里裸词占比%,差_pp_全部,低_pp_全部,高_pp_全部,差_pp_去掉裸词,低_pp_去掉裸词,高_pp_去掉裸词,显著_全部,显著_去掉裸词,结论翻转
FOOD_HERB_EFFICACY_LOOKUP,查询食材、药材与保健品的功效,14.714,0,0.0,0,0.0,,-14.714,-16.243,-12.523,-14.714,-16.243,-6.032,True,True,False
PROVIDER_NAVIGATION,定位特定机构、品牌或医生,8.766,0,0.0,0,0.0,,-8.766,-10.01,-6.757,-8.766,-10.01,-0.128,True,True,False
DISEASE_SYMPTOM_LIST,查询具名疾病的症状与前兆,9.347,5,2.222,3,7.317,40.0,-7.125,-8.926,-4.034,-2.03,-6.994,10.134,True,False,True
NON_HEALTH_QUERY,非健康内容查询,9.615,9,4.0,6,14.634,33.3,-5.615,-7.898,-2.0,5.019,-2.838,18.876,True,False,True
TREATMENT_SEEKING,寻求规范治疗与用药方案,6.395,5,2.222,5,12.195,0.0,-4.173,-5.847,-1.149,5.8,-1.158,19.182,True,False,True
DRUG_INFO_LOOKUP,查询药品或药方信息,8.9,11,4.889,2,4.878,81.8,-4.011,-6.488,-0.194,-4.022,-7.767,7.294,True,False,True
CARE_SERVICE_ACCESS,接通在线咨询与预约服务,3.801,0,0.0,0,0.0,,-3.801,-4.677,-1.976,-3.801,-4.677,4.795,True,False,True
PROVIDER_LEGITIMACY_CHECK,核验医疗机构资质与口碑,2.504,0,0.0,0,0.0,,-2.504,-3.238,-0.731,-2.504,-3.238,6.081,True,False,True
HOSPITAL_SELECTION,比较选择就诊医院与排名,2.46,0,0.0,0,0.0,,-2.46,-3.188,-0.689,-2.46,-3.188,6.126,True,False,True
COST_INQUIRY,查询医疗费用与购买渠道,2.191,0,0.0,0,0.0,,-2.191,-2.885,-0.431,-2.191,-2.885,6.392,True,False,True
NORMALITY_REFERENCE_CHECK,判断自身数值或生理现象是否正常,2.549,1,0.444,1,2.439,0.0,-2.105,-2.93,0.005,-0.11,-2.249,10.062,False,False,False
IMAGE_LOOKUP,查找医学对比图片,1.073,0,0.0,0,0.0,,-1.073,-1.592,0.642,-1.073,-1.592,7.501,False,False,False
DIET_PERMISSION_LOOKUP,查询疾病饮食宜忌与许可,1.342,1,0.444,1,2.439,0.0,-0.897,-1.572,1.172,1.097,-0.988,11.261,False,False,False
PROGNOSIS_INQUIRY,询问疾病转归与恢复预期,2.191,3,1.333,3,7.317,0.0,-0.858,-1.978,1.71,5.126,0.278,17.248,False,True,True
CLAIM_FACTCHECK,核验健康说法与养生观点,2.549,4,1.778,4,9.756,0.0,-0.771,-2.084,1.993,7.207,1.264,20.011,False,True,True
ACUTE_INCIDENT_ACTION,请求急性事件即时处置,0.626,0,0.0,0,0.0,,-0.626,-1.048,1.071,-0.626,-1.048,7.944,False,False,False
TRANSMISSION_INQUIRY,查询疾病传染与感染可能,0.939,1,0.444,1,2.439,0.0,-0.495,-1.108,1.561,1.5,-0.567,11.661,False,False,False
QUICK_REMEDY_SEEKING,寻求速效偏方与根治土法,1.386,3,1.333,3,7.317,0.0,-0.053,-1.103,2.493,5.931,1.099,18.048,False,True,True
MEDICAL_TERM_INTERPRETATION,解读医学名词、检查报告与指标,8.989,31,13.778,3,7.317,90.3,4.789,0.692,10.024,-1.672,-6.631,10.49,True,False,True
SYMPTOM_CAUSE_SELF_CHECK,由自身症状反查原因或可能疾病,9.66,151,67.111,9,21.951,94.0,57.451,50.94,63.372,12.291,2.259,27.09,True,True,False
