key,类目,定义,全语料条数,全语料占比%,健康搜索周榜_条数,健康搜索周榜_占比%,健康搜索周榜_95CI低%,健康搜索周榜_95CI高%,健康搜索周榜_流量占比%,健康AI管家周榜_条数,健康AI管家周榜_占比%,健康AI管家周榜_95CI低%,健康AI管家周榜_95CI高%,健康AI管家周榜_流量占比%,健康搜索周榜_均衡归属%,健康搜索周榜_指数,健康搜索周榜_均衡指数,健康AI管家周榜_均衡归属%,健康AI管家周榜_指数,健康AI管家周榜_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,健康搜索周榜_排名,健康AI管家周榜_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
SYMPTOM_CAUSE_SELF_CHECK,由自身症状反查原因或可能疾病,用户描述自己或他人的具体症状、异常体征或生理现象，想知道可能是什么原因、是什么病、是否正常或要不要就医。,367,14.913,216,9.66,8.504,10.955,10.012,151,67.111,60.73,72.918,69.373,12.58,0.6478,0.2517,87.42,4.5003,1.7483,2,,,健康AI管家周榜,健康搜索周榜,57.451,6.95,2,1,健康症状查询,28.9,是,,得到针对该症状的可能原因或疾病谱，以及常见无害与需就医的区分，用户即满足；确定性诊断不是满足条件。
FOOD_HERB_EFFICACY_LOOKUP,查询食材、药材与保健品的功效,用户给出食物、单味中药材或保健品名称，想了解它有什么功效、作用、副作用或怎么吃，并非针对某疾病的饮食许可。,329,13.369,329,14.714,13.306,16.243,13.151,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,14.714,inf,1,13,功效与作用查询,66.3,否,,收到该物质的功效、适宜人群、食用方式与副作用说明，且不含根治或治愈式断言，用户即满足。
MEDICAL_TERM_INTERPRETATION,解读医学名词、检查报告与指标,用户给出一个医学名词、缩写、检查项目、诊断术语或化验指标，想知道它是什么意思、提示什么问题或为什么异常。,232,9.427,201,8.989,7.873,10.246,6.583,31,13.778,9.879,18.893,12.675,39.48,0.9536,0.7897,60.52,1.4615,1.2103,2,,,健康AI管家周榜,健康搜索周榜,4.789,1.53,5,2,查询健康指标正常值与调理方法,21.1,否,,收到该术语、报告所见或指标含义的白话解释，以及异常可能提示的问题，用户即满足。
NON_HEALTH_QUERY,非健康内容查询,用户查询的是小说、成人或情色标签、情节片段、检索词或其他与医疗健康无关的内容，不应按健康问题作答。,224,9.102,215,9.615,8.462,10.907,8.808,9,4.0,2.118,7.426,7.505,70.62,1.0564,1.4124,29.38,0.4395,0.5876,2,,,健康搜索周榜,健康AI管家周榜,5.615,2.4,3,4,查询女性生殖健康与怀孕问题,28.6,是,,被识别并转出健康分类或按内容政策一致处理，用户即满足；被误当成症状或治疗查询而作答是失败。
DISEASE_SYMPTOM_LIST,查询具名疾病的症状与前兆,用户已给出明确疾病或病名，想要该病有哪些症状、前兆或早期表现清单。,214,8.696,209,9.347,8.209,10.624,6.923,5,2.222,0.953,5.096,4.575,80.79,1.0749,1.6158,19.21,0.2556,0.3842,2,,,健康搜索周榜,健康AI管家周榜,7.125,4.21,4,5,查询疾病症状,78.5,否,,拿到该病的典型、早期或前兆症状清单，急症病种附有就医警示，用户即满足。
DRUG_INFO_LOOKUP,查询药品或药方信息,用户给出药品、中成药、方剂或保健药品名称，想了解其功效、主治、副作用、用法或说明书信息。,210,8.533,199,8.9,7.789,10.152,6.887,11,4.889,2.752,8.541,2.883,64.54,1.043,1.2909,35.46,0.5729,0.7091,2,,,健康搜索周榜,健康AI管家周榜,4.011,1.82,6,3,药品信息查询,52.9,是,,收到说明书级的功效主治、适用人群和注意事项，且不包含针对其病情的个体化剂量推荐，用户即满足。
PROVIDER_NAVIGATION,定位特定机构、品牌或医生,用户输入医院、企业、药店、品牌或医生名，想到达其官网、电话、地址或主页。,196,7.964,196,8.766,7.663,10.01,8.64,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,8.766,inf,7,13,查询医院正规性与基本信息,63.3,否,,到达目标机构、品牌或医生的官方信息或准确入口，用户即满足。
TREATMENT_SEEKING,寻求规范治疗与用药方案,用户针对已点明的疾病或症状，想知道规范怎么治、用什么药、怎么调理或如何管理，但不要求快速或断根偏方。,148,6.014,143,6.395,5.454,7.486,6.284,5,2.222,0.953,5.096,0.945,74.21,1.0634,1.4843,25.79,0.3695,0.5157,2,,,健康搜索周榜,健康AI管家周榜,4.173,2.88,8,5,查询疾病症状与用药信息,37.2,是,,收到分级处理选项，包括规范治疗路径、可自主处理和需就医的情形，且不含确定性诊断或偏方承诺，用户即满足。
CARE_SERVICE_ACCESS,接通在线咨询与预约服务,用户想要直接进入在线问诊、免费咨询、心理热线、预约或留下联系方式等服务流程。,85,3.454,85,3.801,3.085,4.677,4.835,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,3.801,inf,9,13,在线医疗咨询查询,82.4,是,,成功获得可用的咨询入口、预约流程或登记路径，用户即满足。
CLAIM_FACTCHECK,核验健康说法与养生观点,用户带来一个听来的健康、养生或治疗说法或行为建议，想求该说法的真伪或依据，而不是要全面科普。,61,2.479,57,2.549,1.973,3.288,1.471,4,1.778,0.693,4.481,0.367,58.91,1.0285,1.1783,41.09,0.7172,0.8217,2,,,健康搜索周榜,健康AI管家周榜,0.771,1.43,10,7,查询特定状况下的饮食宜忌与食疗建议,63.9,否,,收到围绕该命题的裁决结果，即属实、不实或部分属实，并附一句可信依据，用户即满足。
