key,类目,搜索占比%,助手条数_全部,助手占比%_全部,助手条数_去掉裸词,助手占比%_去掉裸词,该类助手行里裸词占比%,差_pp_全部,低_pp_全部,高_pp_全部,差_pp_去掉裸词,低_pp_去掉裸词,高_pp_去掉裸词,显著_全部,显著_去掉裸词,结论翻转
2,功效与作用查询,13.417,0,0.0,0,0.0,,-13.417,-14.892,-11.263,-13.417,-14.892,-4.744,True,True,False
12,查询医院正规性与基本信息,10.242,0,0.0,0,0.0,,-10.242,-11.567,-8.184,-10.242,-11.567,-1.593,True,True,False
1,查询疾病症状,7.782,4,1.778,4,9.756,0.0,-6.004,-7.61,-3.108,1.974,-4.04,14.808,True,False,True
9,查询女性生殖健康与怀孕问题,8.945,8,3.556,1,2.439,87.5,-5.389,-7.537,-1.904,-6.506,-8.872,3.711,True,False,True
14,药品信息查询,9.258,11,4.889,1,2.439,90.9,-4.369,-6.856,-0.545,-6.819,-9.195,3.4,True,False,True
10,在线医疗咨询查询,3.309,0,0.0,0,0.0,,-3.309,-4.135,-1.504,-3.309,-4.135,5.283,True,False,True
7,查询疾病症状与用药信息,11.628,19,8.444,13,31.707,31.6,-3.183,-6.466,1.363,20.079,7.857,35.408,False,True,True
3,查询物品功效作用,2.326,0,0.0,0,0.0,,-2.326,-3.037,-0.56,-2.326,-3.037,6.259,True,False,True
11,查询健康医疗养生信息,2.639,2,0.889,2,4.878,0.0,-1.75,-2.739,0.618,2.239,-1.369,13.516,False,False,False
15,医疗资源查询与预约,3.846,5,2.222,1,2.439,80.0,-1.624,-3.168,1.339,-1.407,-3.599,8.774,False,False,False
8,查询助听器价格、品牌与门店信息,1.968,4,1.778,0,0.0,100.0,-0.19,-1.461,2.559,-1.968,-2.631,6.613,False,False,False
0,查询健康指标正常值与调理方法,5.322,14,6.222,4,9.756,71.4,0.9,-1.777,4.942,4.434,-1.548,17.254,False,False,False
6,查询特定状况下的饮食宜忌与食疗建议,6.887,18,8.0,7,17.073,61.1,1.113,-1.979,5.513,10.186,1.564,24.409,False,True,True
13,心血管疾病症状与防治查询,3.354,11,4.889,3,7.317,72.7,1.535,-0.758,5.248,3.963,-0.906,16.092,False,False,False
4,身体疼痛与不适查询,5.59,39,17.333,5,12.195,87.2,11.743,7.237,17.296,6.605,-0.344,19.983,True,False,True
5,健康症状查询,3.488,90,40.0,0,0.0,100.0,36.512,30.273,43.065,-3.488,-4.332,5.106,True,False,True
