key,类目,定义,全语料条数,全语料占比%,健康搜索周榜_条数,健康搜索周榜_占比%,健康搜索周榜_95CI低%,健康搜索周榜_95CI高%,健康搜索周榜_流量占比%,健康AI管家周榜_条数,健康AI管家周榜_占比%,健康AI管家周榜_95CI低%,健康AI管家周榜_95CI高%,健康AI管家周榜_流量占比%,健康搜索周榜_均衡归属%,健康搜索周榜_指数,健康搜索周榜_均衡指数,健康AI管家周榜_均衡归属%,健康AI管家周榜_指数,健康AI管家周榜_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,健康搜索周榜_排名,健康AI管家周榜_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
FOOD_HERB_EFFICACY_LOOKUP__2,FOOD_HERB_EFFICACY_LOOKUP__2,,253,10.28,253,11.315,10.068,12.695,9.8,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,11.315,inf,1,15,功效与作用查询,83.4,黄精药材有什么功效 / 海参的营养价值和功效 / 石榴功效和作用
MEDICAL_TERM_INTERPRETATION__1,MEDICAL_TERM_INTERPRETATION__1,,232,9.427,201,8.989,7.873,10.246,6.583,31,13.778,9.879,18.893,12.675,39.48,0.9536,0.7897,60.52,1.4615,1.2103,2,,,健康AI管家周榜,健康搜索周榜,4.789,1.53,4,3,查询健康指标正常值与调理方法,21.1,慢性肾病几期最严重 / 糖尿病 / 2型糖尿病
NON_HEALTH_QUERY__1,NON_HEALTH_QUERY__1,,224,9.102,215,9.615,8.462,10.907,8.808,9,4.0,2.118,7.426,7.505,70.62,1.0564,1.4124,29.38,0.4395,0.5876,2,,,健康搜索周榜,健康AI管家周榜,5.615,2.4,2,6,查询女性生殖健康与怀孕问题,28.6,怎么锻炼大脑 / 足底按摩的好处 / 中医养生科普
DISEASE_SYMPTOM_LIST__1,DISEASE_SYMPTOM_LIST__1,,214,8.696,209,9.347,8.209,10.624,6.923,5,2.222,0.953,5.096,4.575,80.79,1.0749,1.6158,19.21,0.2556,0.3842,2,,,健康搜索周榜,健康AI管家周榜,7.125,4.21,3,7,查询疾病症状,78.5,高血压 / 高血压防治指南 / 低血压昏迷前兆
DRUG_INFO_LOOKUP__1,DRUG_INFO_LOOKUP__1,,210,8.533,199,8.9,7.789,10.152,6.887,11,4.889,2.752,8.541,2.883,64.54,1.043,1.2909,35.46,0.5729,0.7091,2,,,健康搜索周榜,健康AI管家周榜,4.011,1.82,5,5,药品信息查询,52.9,降压药 / 无创呼吸机 / 阿司匹林
PROVIDER_NAVIGATION__1,PROVIDER_NAVIGATION__1,,196,7.964,196,8.766,7.663,10.01,8.64,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,8.766,inf,6,15,查询医院正规性与基本信息,63.3,普瑞眼科医院 / 生修堂中医院 / 自然之声助听器
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,,148,6.014,143,6.395,5.454,7.486,6.284,5,2.222,0.953,5.096,0.945,74.21,1.0634,1.4843,25.79,0.3695,0.5157,2,,,健康搜索周榜,健康AI管家周榜,4.173,2.88,7,7,查询疾病症状与用药信息,37.2,脱发养护指南 / 失眠一周了怎么办 / 血糖高调理指南
SYMPTOM_CAUSE_SELF_CHECK__3,SYMPTOM_CAUSE_SELF_CHECK__3,,142,5.77,69,3.086,2.446,3.887,3.377,73,32.444,26.666,38.812,36.128,8.69,0.5348,0.1737,91.31,5.6229,1.8263,2,,,健康AI管家周榜,健康搜索周榜,29.359,10.51,11,1,身体疼痛与不适查询,31.7,入睡困难 / 头晕 / 乏力
SYMPTOM_CAUSE_SELF_CHECK__1,SYMPTOM_CAUSE_SELF_CHECK__1,,136,5.526,121,5.411,4.548,6.428,5.786,15,6.667,4.081,10.707,4.919,44.8,0.9792,0.8961,55.2,1.2064,1.1039,2,,,健康AI管家周榜,健康搜索周榜,1.255,1.23,8,4,查询疾病症状与用药信息,47.1,瘙痒 / 私密有白斑是怎么回事 / 皮肤瘙痒
SYMPTOM_CAUSE_SELF_CHECK__2,SYMPTOM_CAUSE_SELF_CHECK__2,,89,3.616,26,1.163,0.795,1.698,0.849,63,28.0,22.54,34.198,28.326,3.99,0.3215,0.0797,96.01,7.7425,1.9203,2,,,健康AI管家周榜,健康搜索周榜,26.837,24.08,20,2,健康症状查询,92.1,咳嗽 / 恶心呕吐 / 腹胀
CARE_SERVICE_ACCESS__1,CARE_SERVICE_ACCESS__1,,85,3.454,85,3.801,3.085,4.677,4.835,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,3.801,inf,9,15,在线医疗咨询查询,82.4,妇科询问 / 不孕不育电话咨询 / 男科咨询填写号码
FOOD_HERB_EFFICACY_LOOKUP__1,FOOD_HERB_EFFICACY_LOOKUP__1,,76,3.088,76,3.399,2.724,4.234,3.351,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,3.399,inf,10,15,查询特定状况下的饮食宜忌与食疗建议,43.4,黄精片 / 乳香含服 / 冬虫夏草
CLAIM_FACTCHECK__1,CLAIM_FACTCHECK__1,,61,2.479,57,2.549,1.973,3.288,1.471,4,1.778,0.693,4.481,0.367,58.91,1.0285,1.1783,41.09,0.7172,0.8217,2,,,健康搜索周榜,健康AI管家周榜,0.771,1.43,12,9,查询特定状况下的饮食宜忌与食疗建议,63.9,中药治疗肿瘤有效吗 / 外卖保温袋有没有毒 / 多吃水果有益健康
