来源,source,tier,串数,周PV,串数占该来源%,周PV占该来源%
健康AI管家周榜,hai_2609w,C1_content_free,11,348672,0.583,2.375
健康AI管家周榜,hai_2609w,H1_intake_answer,1219,8860606,64.6,60.353
健康AI管家周榜,hai_2609w,H2_feature_or_facet,69,3457229,3.657,23.549
健康AI管家周榜,hai_2609w,H3_pushed_suggestion,243,1203100,12.878,8.195
健康AI管家周榜,hai_2609w,H4_template_wrapper,118,108548,6.253,0.739
健康AI管家周榜,hai_2609w,H5_doctor_card,2,752,0.106,0.005
健康AI管家周榜,hai_2609w,user,225,702368,11.924,4.784
健康搜索周榜,hsearch_2609w,S5_headline,8,100008,0.354,0.136
健康搜索周榜,hsearch_2609w,S6_doctor_card_uniform,16,2717624,0.708,3.708
健康搜索周榜,hsearch_2609w,user,2236,70479484,98.938,96.156
