key,类目,定义,全语料条数,全语料占比%,健康搜索周榜_条数,健康搜索周榜_占比%,健康搜索周榜_95CI低%,健康搜索周榜_95CI高%,健康搜索周榜_流量占比%,健康AI管家周榜_条数,健康AI管家周榜_占比%,健康AI管家周榜_95CI低%,健康AI管家周榜_95CI高%,健康AI管家周榜_流量占比%,健康搜索周榜_均衡归属%,健康搜索周榜_指数,健康搜索周榜_均衡指数,健康AI管家周榜_均衡归属%,健康AI管家周榜_指数,健康AI管家周榜_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,健康搜索周榜_排名,健康AI管家周榜_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
16,功效与作用查询,用户查询某一种食物、药材、药品或保健品的具体功效、作用或功能主治说明。,300,12.19,300,13.417,12.067,14.892,10.423,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,13.417,inf,1,13,查询食材、药材与保健品的功效,72.7,是,
12,疾病症状与用药信息查询,用户提出某个身体症状或健康问题后，希望获得该症状的病因、治疗方法、用药建议或就医指导。,279,11.337,260,11.628,10.365,13.023,11.879,19,8.444,5.473,12.811,5.441,57.93,1.0257,1.1586,42.07,0.7449,0.8414,2,,,健康搜索周榜,健康AI管家周榜,3.183,1.38,2,3,由自身症状反查原因或可能疾病,30.5,是,
15,查询医院正规性与基本信息,用户想核实某家医院是否正规、公立还是私立、地址电话等基本信息，或按疾病/科室找到可信赖的医院。,229,9.305,229,10.242,9.052,11.567,12.532,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,10.242,inf,3,13,定位特定机构、品牌或医生,54.1,是,
2,药品信息查询,用户输入药品名称或药物相关关键词，查询该药品的说明书信息（适应症、用法用量、副作用等）或相关健康解答。,218,8.858,207,9.258,8.125,10.53,11.523,11,4.889,2.752,8.541,2.692,65.44,1.0451,1.3088,34.56,0.5519,0.6912,2,,,健康搜索周榜,健康AI管家周榜,4.369,1.89,4,6,查询药品或药方信息,50.9,是,
6,查询女性生殖健康与怀孕问题,用户希望就女性生殖器官、怀孕、妇科症状、HPV或性行为健康影响获得医学解释、风险评估或就医/处理建议。,208,8.452,200,8.945,7.831,10.199,11.639,8,3.556,1.812,6.858,1.426,71.56,1.0583,1.4311,28.44,0.4207,0.5689,2,,,健康搜索周榜,健康AI管家周榜,5.389,2.52,5,8,非健康内容查询,30.8,是,
9,查询疾病症状,用户给出某种疾病或病症名称后，获取该病的常见症状、早期症状及症状表现即可满足。,178,7.233,174,7.782,6.742,8.966,4.986,4,1.778,0.693,4.481,4.274,81.4,1.0759,1.6281,18.6,0.2458,0.3719,2,,,健康搜索周榜,健康AI管家周榜,6.004,4.38,6,10,查询具名疾病的症状与前兆,94.4,是,
11,饮食宜忌与食疗建议查询,用户想知道在特定节气、疾病或身体状况下应该吃什么、不宜吃什么以及如何通过饮食调理。,172,6.989,154,6.887,5.91,8.013,5.89,18,8.0,5.12,12.29,5.034,46.26,0.9854,0.9253,53.74,1.1447,1.0747,2,,,健康AI管家周榜,健康搜索周榜,1.113,1.16,7,4,核验健康说法与养生观点,22.7,是,
18,健康症状原因与就诊指引查询,用户试图获得所查询健康症状或疾病的可能原因、缓解方法与就诊指引等可靠健康信息。,168,6.826,78,3.488,2.804,4.332,3.26,90,40.0,33.818,46.517,43.263,8.02,0.511,0.1604,91.98,5.8595,1.8396,2,,,健康AI管家周榜,健康搜索周榜,36.512,11.47,11,1,由自身症状反查原因或可能疾病,63.1,是,
5,身体疼痛与不适查询,用户描述身体疼痛、肿胀、麻木等不适症状，查询其可能原因、治疗或康复方法。,164,6.664,125,5.59,4.712,6.621,5.386,39,17.333,12.947,22.817,23.015,24.39,0.8389,0.4877,75.61,2.6011,1.5123,2,,,健康AI管家周榜,健康搜索周榜,11.743,3.1,8,2,由自身症状反查原因或可能疾病,45.7,是,
8,查询健康指标正常值与调理方法,用户查询某项常见健康指标（如血糖、血压、血脂、尿酸等）的正常值、异常症状或日常调理方法后，获得该指标的具体标准范围及可操作的饮食、生活方式建议即为满足。,133,5.404,119,5.322,4.466,6.331,4.721,14,6.222,3.742,10.172,9.276,46.1,0.9848,0.922,53.9,1.1513,1.078,2,,,健康AI管家周榜,健康搜索周榜,0.9,1.17,9,5,解读医学名词、检查报告与指标,36.8,是,
3,医疗资源查询与预约,用户希望获取医院、科室、医生、手术、药品或医疗器械的预约方式、价格或基本介绍。,91,3.698,86,3.846,3.125,4.726,3.554,5,2.222,0.953,5.096,0.896,63.38,1.0402,1.2676,36.62,0.601,0.7324,2,,,健康搜索周榜,健康AI管家周榜,1.624,1.73,10,9,解读医学名词、检查报告与指标,23.1,是,
0,心血管疾病症状与防治查询,用户查询心血管疾病（如心梗、心绞痛、冠心病、心律失常等）的症状、病因、检查、治疗、预防或就诊科室信息。,86,3.495,75,3.354,2.684,4.184,3.317,11,4.889,2.752,8.541,2.52,40.69,0.9598,0.8138,59.31,1.399,1.1862,2,,,健康AI管家周榜,健康搜索周榜,1.535,1.46,12,6,寻求规范治疗与用药方案,33.7,是,
14,在线医疗咨询查询,用户输入科室、性别或“免费/在线”等条件后，查找可提供对应线上咨询、问诊或预约服务的医生、医院或心理服务渠道。,74,3.007,74,3.309,2.644,4.135,3.859,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,3.309,inf,13,13,接通在线咨询与预约服务,94.6,是,
7,查询健康医疗养生信息,用户希望查询心理健康、医疗健康、养生保健和老年护理相关的机构、知识与调理建议，获得能对应其具体问题的可靠答案后即满足。,61,2.479,59,2.639,2.051,3.389,2.638,2,0.889,0.244,3.182,0.322,74.8,1.0645,1.496,25.2,0.3586,0.504,2,,,健康搜索周榜,健康AI管家周榜,1.75,2.97,14,12,非健康内容查询,41.0,是,
17,查询物品功效作用,用户想了解某类食材、药材、保健品或药品的具体功效、作用或适用情况。,52,2.113,52,2.326,1.778,3.037,2.04,0,0.0,0.0,1.679,0.0,100.0,1.1006,2.0,0.0,0.0,0.0,1,健康AI管家周榜,健康搜索周榜,健康搜索周榜,健康AI管家周榜,2.326,inf,15,13,查询食材、药材与保健品的功效,96.2,是,
