key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
2,药品信息查询,健康搜索周榜,显著高于其余全部,207,2236,9.258,4.889,0.545,1
2,药品信息查询,健康AI管家周榜,显著低于其余全部,11,225,4.889,9.258,-0.545,1
15,查询医院正规性与基本信息,健康搜索周榜,显著高于其余全部,229,2236,10.242,0.0,8.184,1
15,查询医院正规性与基本信息,健康AI管家周榜,显著低于其余全部,0,225,0.0,10.242,-8.184,1
6,查询女性生殖健康与怀孕问题,健康搜索周榜,显著高于其余全部,200,2236,8.945,3.556,1.904,1
6,查询女性生殖健康与怀孕问题,健康AI管家周榜,显著低于其余全部,8,225,3.556,8.945,-1.904,1
18,健康症状原因与就诊指引查询,健康搜索周榜,显著低于其余全部,78,2236,3.488,40.0,-30.273,1
18,健康症状原因与就诊指引查询,健康AI管家周榜,显著高于其余全部,90,225,40.0,3.488,30.273,1
14,在线医疗咨询查询,健康搜索周榜,显著高于其余全部,74,2236,3.309,0.0,1.504,1
14,在线医疗咨询查询,健康AI管家周榜,显著低于其余全部,0,225,0.0,3.309,-1.504,1
5,身体疼痛与不适查询,健康搜索周榜,显著低于其余全部,125,2236,5.59,17.333,-7.237,1
5,身体疼痛与不适查询,健康AI管家周榜,显著高于其余全部,39,225,17.333,5.59,7.237,1
9,查询疾病症状,健康搜索周榜,显著高于其余全部,174,2236,7.782,1.778,3.108,1
9,查询疾病症状,健康AI管家周榜,显著低于其余全部,4,225,1.778,7.782,-3.108,1
17,查询物品功效作用,健康搜索周榜,显著高于其余全部,52,2236,2.326,0.0,0.56,1
17,查询物品功效作用,健康AI管家周榜,显著低于其余全部,0,225,0.0,2.326,-0.56,1
16,功效与作用查询,健康搜索周榜,显著高于其余全部,300,2236,13.417,0.0,11.263,1
16,功效与作用查询,健康AI管家周榜,显著低于其余全部,0,225,0.0,13.417,-11.263,1
