key,类目,全语料条数,健康搜索周榜_n,健康搜索周榜_置信度均值,健康搜索周榜_意图歧义%,健康搜索周榜_聚类歧义%,健康AI管家周榜_n,健康AI管家周榜_置信度均值,健康AI管家周榜_意图歧义%,健康AI管家周榜_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
ACUTE_INCIDENT_ACTION,请求急性事件即时处置,14,14,0.5982,7.14,35.71,0,,,,,,0.5982
IMAGE_LOOKUP,查找医学对比图片,24,24,0.6019,4.17,12.5,0,,,,健康搜索周榜,,0.6019
NON_HEALTH_QUERY,非健康内容查询,224,215,0.6136,3.26,10.7,9,0.495,11.11,0.0,健康搜索周榜,,0.6089
DIET_PERMISSION_LOOKUP,查询疾病饮食宜忌与许可,31,30,0.6348,3.33,6.67,1,0.4219,0.0,100.0,健康搜索周榜,,0.6279
CLAIM_FACTCHECK,核验健康说法与养生观点,61,57,0.6187,3.51,12.28,4,0.7809,0.0,0.0,健康搜索周榜,,0.6294
TRANSMISSION_INQUIRY,查询疾病传染与感染可能,22,21,0.6304,4.76,9.52,1,0.8178,0.0,0.0,健康搜索周榜,,0.6389
QUICK_REMEDY_SEEKING,寻求速效偏方与根治土法,34,31,0.67,0.0,29.03,3,0.5807,33.33,0.0,健康搜索周榜,,0.6621
TREATMENT_SEEKING,寻求规范治疗与用药方案,148,143,0.68,0.0,8.39,5,0.7264,0.0,20.0,健康搜索周榜,,0.6816
MEDICAL_TERM_INTERPRETATION,解读医学名词、检查报告与指标,232,201,0.6889,1.0,11.94,31,0.6788,0.0,9.68,健康AI管家周榜,0.0101,0.6875
HOSPITAL_SELECTION,比较选择就诊医院与排名,55,55,0.7077,0.0,10.91,0,,,,健康搜索周榜,,0.7077
PROGNOSIS_INQUIRY,询问疾病转归与恢复预期,52,49,0.727,0.0,12.24,3,0.6368,0.0,0.0,健康搜索周榜,,0.7218
NORMALITY_REFERENCE_CHECK,判断自身数值或生理现象是否正常,58,57,0.7432,1.75,12.28,1,0.882,0.0,0.0,健康搜索周榜,,0.7456
COST_INQUIRY,查询医疗费用与购买渠道,49,49,0.7478,0.0,12.24,0,,,,健康搜索周榜,,0.7478
PROVIDER_NAVIGATION,定位特定机构、品牌或医生,196,196,0.7906,2.04,6.12,0,,,,健康搜索周榜,,0.7906
SYMPTOM_CAUSE_SELF_CHECK,由自身症状反查原因或可能疾病,367,216,0.7617,1.39,12.5,151,0.8793,1.32,8.61,健康搜索周榜,0.1176,0.8101
PROVIDER_LEGITIMACY_CHECK,核验医疗机构资质与口碑,56,56,0.8146,0.0,0.0,0,,,,健康搜索周榜,,0.8146
DRUG_INFO_LOOKUP,查询药品或药方信息,210,199,0.8225,0.5,14.57,11,0.773,0.0,0.0,健康搜索周榜,,0.8199
CARE_SERVICE_ACCESS,接通在线咨询与预约服务,85,85,0.8608,0.0,7.06,0,,,,健康搜索周榜,,0.8608
FOOD_HERB_EFFICACY_LOOKUP,查询食材、药材与保健品的功效,329,329,0.9058,0.61,4.56,0,,,,健康搜索周榜,,0.9058
DISEASE_SYMPTOM_LIST,查询具名疾病的症状与前兆,214,209,0.9182,1.44,1.91,5,0.6867,0.0,40.0,健康搜索周榜,,0.9128
