来源,tier,名次,串,周PV,周PV占该来源%,在榜天数,决定方式
健康AI管家周榜,C1_content_free,1,"""""",303748,2.069,7,audit_unanimous
健康AI管家周榜,C1_content_free,2,谢谢,15094,0.103,7,audit_unanimous
健康AI管家周榜,C1_content_free,3,好的,8638,0.059,7,audit_unanimous
健康AI管家周榜,C1_content_free,4,好的谢谢,5561,0.038,7,audit_unanimous
健康AI管家周榜,C1_content_free,5,好的，谢谢,4103,0.028,7,audit_unanimous
健康AI管家周榜,C1_content_free,6,好,3933,0.027,7,audit_unanimous
健康AI管家周榜,C1_content_free,7,谢谢！,3020,0.021,7,audit_unanimous
健康AI管家周榜,C1_content_free,8,好的，谢谢！,1668,0.011,7,audit_unanimous
健康AI管家周榜,C1_content_free,9,你好,1585,0.011,7,audit_unanimous
健康AI管家周榜,C1_content_free,10,谢谢你,1095,0.007,5,audit_unanimous
健康AI管家周榜,C1_content_free,11,你好好,227,0.002,1,audit_unanimous
健康AI管家周榜,H1_intake_answer,1,都没有,1318046,8.978,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,2,不确定,394954,2.69,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,3,1周内,328926,2.24,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,4,没有,283721,1.933,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,5,3个月以上,228768,1.558,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,6,是,227891,1.552,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,7,不清楚,209069,1.424,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,8,否,207405,1.413,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,9,1-4周,178290,1.214,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,10,1-3个月,158330,1.078,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,11,有,154582,1.053,7,audit_unanimous
健康AI管家周榜,H1_intake_answer,12,1-3天,93971,0.64,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,1,报告单解读,820048,5.586,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,2,皮肤病检测,735790,5.012,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,3,BMI计算器,727741,4.957,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,4,直接出结论,474351,3.231,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,5,今日健康运势,191512,1.304,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,6,我想免费问医生,77359,0.527,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,7,用法用量,61016,0.416,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,8,饮食营养解读,38704,0.264,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,9,副作用,37483,0.255,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,10,我要问真人医生,23404,0.159,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,11,我想在线问医生,19224,0.131,7,audit_unanimous
健康AI管家周榜,H2_feature_or_facet,12,功效作用,17266,0.118,7,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,1,请帮我出几道开学焦虑相关的题目,210950,1.437,6,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,2,如何辨别甲醛白菜,158713,1.081,6,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,3,新冠又反弹了现在感染症状有变化吗,95419,0.65,7,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,4,暴雨天出门淋雨后怎么防止感冒,94055,0.641,7,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,5,开学要做好哪些防护,56313,0.384,2,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,6,检查异常但没明显感觉先怎么办,32327,0.22,7,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,7,怎么判断自己有艾滋病,24933,0.17,7,rule
健康AI管家周榜,H3_pushed_suggestion,8,DNA的全称是什么,21760,0.148,7,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,9,秋季过敏如何防护,21514,0.147,2,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,10,老人洗澡后容易头晕眼黑正常吗,18421,0.125,7,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,11,爸爸晚上腿抽筋是缺钙还是血管问题,16818,0.115,7,audit_unanimous
健康AI管家周榜,H3_pushed_suggestion,12,老年人食欲差不想吃饭怎么办,16058,0.109,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,1,我想咨询牙疼一招三秒止疼,8532,0.058,6,audit_unanimous
健康AI管家周榜,H4_template_wrapper,2,我想咨询骨折是什么原因引起的,5854,0.04,2,audit_unanimous
健康AI管家周榜,H4_template_wrapper,3,我想了解糖尿病,3335,0.023,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,4,我想咨询中药（黄精）什么功效,2536,0.017,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,5,我想咨询胃癌早期症状,2496,0.017,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,6,我想了解对乙酰氨基酚,2350,0.016,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,7,我想了解胃食管反流,2283,0.016,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,8,我想了解莫匹罗星软膏,2205,0.015,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,9,我想咨询西梅有什么功效,2123,0.014,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,10,我想了解便秘,2090,0.014,7,audit_unanimous
健康AI管家周榜,H4_template_wrapper,11,我想咨询始基子宫有二次发育的机会吗,2065,0.014,2,audit_unanimous
健康AI管家周榜,H4_template_wrapper,12,我想咨询紫苏籽油有什么副作用？,2041,0.014,7,audit_unanimous
健康AI管家周榜,H5_doctor_card,1,（不引原文）,550,0.004,1,audit_unanimous
健康AI管家周榜,H5_doctor_card,2,（不引原文）,202,0.001,1,audit_unanimous
健康搜索周榜,S5_headline,1,"“好紧张,,放松”",29736,0.041,4,rule
健康搜索周榜,S5_headline,2,河南一医院现“丁义珍窗口”,19382,0.026,2,rule
健康搜索周榜,S5_headline,3,入秋后常吃这四种“根”,16724,0.023,1,rule
健康搜索周榜,S5_headline,4,全球首款慢性乙肝新药要来了,11728,0.016,1,rule
健康搜索周榜,S5_headline,5,“喂了一晚上还没喂饱”,9582,0.013,1,rule
健康搜索周榜,S5_headline,6,老年人控制血脂要会吃“好脂肪”,5056,0.007,1,rule
健康搜索周榜,S5_headline,7,"公共场合“3不碰”,远离艾滋!",4716,0.006,1,rule
健康搜索周榜,S5_headline,8,秋天常吃“天然钙片”,3084,0.004,1,rule
健康搜索周榜,S6_doctor_card_uniform,1,（不引原文）,179330,0.245,7,rule
健康搜索周榜,S6_doctor_card_uniform,2,（不引原文）,175902,0.24,7,rule
健康搜索周榜,S6_doctor_card_uniform,3,（不引原文）,175684,0.24,7,rule
健康搜索周榜,S6_doctor_card_uniform,4,（不引原文）,173134,0.236,7,rule
健康搜索周榜,S6_doctor_card_uniform,5,（不引原文）,173016,0.236,7,rule
健康搜索周榜,S6_doctor_card_uniform,6,（不引原文）,172762,0.236,7,rule
健康搜索周榜,S6_doctor_card_uniform,7,（不引原文）,170600,0.233,7,rule
健康搜索周榜,S6_doctor_card_uniform,8,（不引原文）,169318,0.231,7,rule
健康搜索周榜,S6_doctor_card_uniform,9,（不引原文）,168272,0.23,7,rule
健康搜索周榜,S6_doctor_card_uniform,10,（不引原文）,167226,0.228,7,rule
健康搜索周榜,S6_doctor_card_uniform,11,（不引原文）,166192,0.227,7,rule
健康搜索周榜,S6_doctor_card_uniform,12,（不引原文）,165706,0.226,7,rule
