叶名,加权行数,样本行数,类别/身份辨析,决策建议（该不该做）,资格准入/承保范围,后果影响核实,安全/质量评估,事后补救/撤销,业务规则/操作可行性,功能无法判定,事实状态/时事走势
查询转账与账户业务可行性,430,111,3.8,3.3,8.0,5.9,8.0,9.0,55.7,1.9,4.3
银行卡业务查询与办理指导,212,56,3.3,0.0,18.4,3.4,10.7,20.7,43.5,0.0,0.0
银行信息查询,181,43,19.1,0.6,0.0,4.0,18.7,0.0,39.1,3.3,15.2
支付宝相关操作查询,157,31,1.9,4.6,9.2,4.6,9.5,12.9,57.2,0.0,0.0
查询贷款信息,155,30,9.4,0.6,34.2,7.7,4.5,0.0,38.9,4.7,0.0
查询保险相关业务,123,34,13.2,7.5,24.2,0.0,9.0,13.4,26.7,5.9,0.0
车险购买与理赔咨询,123,35,4.9,19.8,22.0,5.7,8.2,3.3,36.1,0.0,0.0
查询定期存款利率,98,23,21.9,1.0,0.0,13.5,12.2,1.0,49.2,0.0,1.0
查询办理信用卡业务,95,24,8.4,0.0,16.3,16.0,7.6,24.9,25.7,0.0,1.0
股票行情与选股建议查询,84,34,3.6,1.2,7.1,0.0,15.5,0.0,41.4,2.4,28.9
贷款提前还款查询,72,14,0.0,0.0,8.4,16.8,1.4,8.4,65.0,0.0,0.0
个人征信报告查询与影响咨询,53,12,0.0,0.0,29.1,30.5,0.0,0.0,40.4,0.0,0.0
农业银行及农村信用社服务信息查询,49,11,18.6,0.0,0.0,0.0,12.4,27.3,41.8,0.0,0.0
查询科技股与科创板信息,36,10,72.4,2.8,2.8,0.0,5.5,0.0,0.0,0.0,16.6
支付方式使用与设置查询,36,11,0.0,0.0,0.0,20.1,2.8,20.1,56.9,0.0,0.0
下载安装金融类App,33,7,0.0,0.0,0.0,0.0,36.1,0.0,63.9,0.0,0.0
查询保险公司信息,33,13,18.2,0.0,45.5,0.0,15.2,0.0,3.0,0.0,18.2
中国银行服务信息查询,33,8,24.2,0.0,3.0,0.0,0.0,0.0,36.4,0.0,36.4
查询交强险保费、赔偿与投保规定,28,4,0.0,0.0,52.3,0.0,0.0,0.0,47.7,0.0,0.0
查询股份公司及股票信息,27,7,48.1,22.2,0.0,0.0,3.7,0.0,3.7,0.0,22.2
查询人寿保险相关业务信息,23,7,4.3,25.8,25.8,0.0,12.9,0.0,31.2,0.0,0.0
花呗操作查询,23,7,25.8,0.0,0.0,4.3,0.0,31.2,38.7,0.0,0.0
人民币及货币信息查询,23,8,34.8,0.0,0.0,0.0,8.7,0.0,52.2,0.0,4.3
贷款月供计算,21,3,0.0,35.4,0.0,0.0,29.3,0.0,0.0,0.0,35.4
查询借款平台正规性,17,4,43.9,0.0,43.9,0.0,6.1,6.1,0.0,0.0,0.0
建设银行网点与服务查询,14,3,0.0,0.0,50.9,0.0,0.0,0.0,42.1,0.0,7.0
查询股票信息,13,2,54.7,0.0,0.0,0.0,45.3,0.0,0.0,0.0,0.0
基金净值查询,13,2,54.7,0.0,0.0,0.0,45.3,0.0,0.0,0.0,0.0
证券股票信息查询,12,2,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
查询财经门户与市场行情,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
金融代码查询,7,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
计算存贷款利息,7,2,0.0,0.0,0.0,0.0,14.3,0.0,85.7,0.0,0.0
科技类股票信息查询,7,2,14.3,0.0,0.0,0.0,0.0,85.7,0.0,0.0,0.0
股指行情查询,6,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
金融行情数据查询,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
查询市场行情,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
查询300开头股票代码与行情,2,2,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
查询个股股票行情与股吧讨论,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
蚂蚁庄园今日答案查询,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
查询电话号码归属,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
股票代码查询,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
查询金融术语含义,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
查询股票代码与指数信息,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
保险公司电话查询,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
查询人民币兑外币汇率,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
银行客服电话查询,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
