意图,快照,source,样本n,该快照该意图总行数,子功能,子功能名,条数,占比%,95CI低%,95CI高%
INVEST_ADVICE,2025搜索,2025search,57,57,SCREEN,关联/指标标的清单（无评价标准）,28,49.1,36.6,61.7
INVEST_ADVICE,2025搜索,2025search,57,57,RULE,通用规律/投资方法,11,19.3,11.1,31.3
INVEST_ADVICE,2025搜索,2025search,57,57,DECIDE,买卖持有决策,7,12.3,6.1,23.2
INVEST_ADVICE,2025搜索,2025search,57,57,FORECAST,走势/价格/事件预测,4,7.0,2.8,16.7
INVEST_ADVICE,2025搜索,2025search,57,57,SELECT,荐股/择优（按评价或前瞻标准点名标的）,3,5.3,1.8,14.4
INVEST_ADVICE,2025搜索,2025search,57,57,APPRAISE,估值/质量/前景评价,2,3.5,1.0,11.9
INVEST_ADVICE,2025搜索,2025search,57,57,INFO,事实/制度/操作信息（无判断）,2,3.5,1.0,11.9
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,RULE,通用规律/投资方法,26,17.3,12.1,24.2
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,SCREEN,关联/指标标的清单（无评价标准）,25,16.7,11.6,23.4
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,INFO,事实/制度/操作信息（无判断）,25,16.7,11.6,23.4
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,FORECAST,走势/价格/事件预测,23,15.3,10.4,22.0
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,SELECT,荐股/择优（按评价或前瞻标准点名标的）,20,13.3,8.8,19.7
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,DECIDE,买卖持有决策,16,10.7,6.7,16.6
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,APPRAISE,估值/质量/前景评价,11,7.3,4.1,12.7
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,UNSURE,功能不可判定,3,2.0,0.7,5.7
INVEST_ADVICE,2025搜索随机1w,2025search_rand,150,186,RISK,风险与安全评估,1,0.7,0.1,3.7
INVEST_ADVICE,2026搜索,2026search,54,54,SCREEN,关联/指标标的清单（无评价标准）,28,51.9,38.9,64.6
INVEST_ADVICE,2026搜索,2026search,54,54,FORECAST,走势/价格/事件预测,9,16.7,9.0,28.7
INVEST_ADVICE,2026搜索,2026search,54,54,INFO,事实/制度/操作信息（无判断）,4,7.4,2.9,17.6
INVEST_ADVICE,2026搜索,2026search,54,54,DECIDE,买卖持有决策,4,7.4,2.9,17.6
INVEST_ADVICE,2026搜索,2026search,54,54,SELECT,荐股/择优（按评价或前瞻标准点名标的）,3,5.6,1.9,15.1
INVEST_ADVICE,2026搜索,2026search,54,54,APPRAISE,估值/质量/前景评价,3,5.6,1.9,15.1
INVEST_ADVICE,2026搜索,2026search,54,54,RULE,通用规律/投资方法,2,3.7,1.0,12.5
INVEST_ADVICE,2026搜索,2026search,54,54,RISK,风险与安全评估,1,1.9,0.3,9.8
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,SCREEN,关联/指标标的清单（无评价标准）,30,20.0,14.4,27.1
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,INFO,事实/制度/操作信息（无判断）,27,18.0,12.7,24.9
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,FORECAST,走势/价格/事件预测,25,16.7,11.6,23.4
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,APPRAISE,估值/质量/前景评价,20,13.3,8.8,19.7
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,SELECT,荐股/择优（按评价或前瞻标准点名标的）,17,11.3,7.2,17.4
INVEST_ADVICE,2026搜索随机1w,2026search_rand,150,421,DECIDE,买卖持有决策,15,10.0,6.2,15.8
