意图,快照,source,样本n,该快照该意图总行数,子功能,子功能名,条数,占比%,95CI低%,95CI高%
VERDICT_QUESTION,2025搜索,2025search,80,80,MERIT_SAFETY,安全/质量评估,18,22.5,14.7,32.8
VERDICT_QUESTION,2025搜索,2025search,80,80,SERVICE_RULE,业务规则/操作可行性,16,20.0,12.7,30.0
VERDICT_QUESTION,2025搜索,2025search,80,80,CATEGORY_CHECK,类别/身份辨析,15,18.8,11.7,28.7
VERDICT_QUESTION,2025搜索,2025search,80,80,WORLD_STATE,事实状态/时事走势,10,12.5,6.9,21.5
VERDICT_QUESTION,2025搜索,2025search,80,80,REMEDY_UNDO,事后补救/撤销,9,11.2,6.0,20.0
VERDICT_QUESTION,2025搜索,2025search,80,80,ELIGIBILITY_COVER,资格准入/承保范围,7,8.8,4.3,17.0
VERDICT_QUESTION,2025搜索,2025search,80,80,DECISION_ADVICE,决策建议（该不该做）,4,5.0,2.0,12.2
VERDICT_QUESTION,2025搜索,2025search,80,80,IMPACT_EXPOSURE,后果影响核实,1,1.2,0.2,6.7
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,SERVICE_RULE,业务规则/操作可行性,65,43.3,35.7,51.3
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,ELIGIBILITY_COVER,资格准入/承保范围,23,15.3,10.4,22.0
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,REMEDY_UNDO,事后补救/撤销,16,10.7,6.7,16.6
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,CATEGORY_CHECK,类别/身份辨析,13,8.7,5.1,14.3
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,MERIT_SAFETY,安全/质量评估,10,6.7,3.7,11.8
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,IMPACT_EXPOSURE,后果影响核实,8,5.3,2.7,10.2
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,WORLD_STATE,事实状态/时事走势,7,4.7,2.3,9.3
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,DECISION_ADVICE,决策建议（该不该做）,5,3.3,1.4,7.6
VERDICT_QUESTION,2025搜索随机1w,2025search_rand,150,1088,UNSURE_FUNCTION,功能无法判定,3,2.0,0.7,5.7
VERDICT_QUESTION,2026搜索,2026search,27,27,WORLD_STATE,事实状态/时事走势,8,29.6,15.9,48.5
VERDICT_QUESTION,2026搜索,2026search,27,27,MERIT_SAFETY,安全/质量评估,7,25.9,13.2,44.7
VERDICT_QUESTION,2026搜索,2026search,27,27,CATEGORY_CHECK,类别/身份辨析,5,18.5,8.2,36.7
VERDICT_QUESTION,2026搜索,2026search,27,27,SERVICE_RULE,业务规则/操作可行性,3,11.1,3.9,28.1
VERDICT_QUESTION,2026搜索,2026search,27,27,REMEDY_UNDO,事后补救/撤销,3,11.1,3.9,28.1
VERDICT_QUESTION,2026搜索,2026search,27,27,DECISION_ADVICE,决策建议（该不该做）,1,3.7,0.7,18.3
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,SERVICE_RULE,业务规则/操作可行性,65,43.3,35.7,51.3
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,ELIGIBILITY_COVER,资格准入/承保范围,18,12.0,7.7,18.2
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,MERIT_SAFETY,安全/质量评估,18,12.0,7.7,18.2
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,CATEGORY_CHECK,类别/身份辨析,17,11.3,7.2,17.4
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,IMPACT_EXPOSURE,后果影响核实,11,7.3,4.1,12.7
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,REMEDY_UNDO,事后补救/撤销,8,5.3,2.7,10.2
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,WORLD_STATE,事实状态/时事走势,7,4.7,2.3,9.3
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,DECISION_ADVICE,决策建议（该不该做）,5,3.3,1.4,7.6
VERDICT_QUESTION,2026搜索随机1w,2026search_rand,150,900,UNSURE_FUNCTION,功能无法判定,1,0.7,0.1,3.7
VERDICT_QUESTION,助手头部1k,assistant_top,8,8,SERVICE_RULE,业务规则/操作可行性,3,37.5,13.7,69.4
VERDICT_QUESTION,助手头部1k,assistant_top,8,8,MERIT_SAFETY,安全/质量评估,3,37.5,13.7,69.4
VERDICT_QUESTION,助手头部1k,assistant_top,8,8,DECISION_ADVICE,决策建议（该不该做）,2,25.0,7.1,59.1
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,SERVICE_RULE,业务规则/操作可行性,26,34.2,24.5,45.4
VERDICT_QUESTION,助手随机1k,assistant_random,76,76,WORLD_STATE,事实状态/时事走势,15,19.7,12.3,30.0
