意图,对比,a,b,n_a,n_b,子功能,子功能名,a%,b%,差pp(b-a),95CI低pp,95CI高pp,显著
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,DECISION_ADVICE,决策建议（该不该做）,3.3,9.2,5.9,-0.4,14.7,False
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,MERIT_SAFETY,安全/质量评估,12.0,14.5,2.5,-6.3,13.0,False
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,REMEDY_UNDO,事后补救/撤销,5.3,3.9,-1.4,-6.9,6.1,False
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,ELIGIBILITY_COVER,资格准入/承保范围,12.0,6.6,-5.4,-12.6,3.6,False
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,IMPACT_EXPOSURE,后果影响核实,7.3,2.6,-4.7,-10.4,2.5,False
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,CATEGORY_CHECK,类别/身份辨析,11.3,6.6,-4.8,-11.9,4.2,False
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,WORLD_STATE,事实状态/时事走势,4.7,19.7,15.1,6.3,25.7,True
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,SERVICE_RULE,业务规则/操作可行性,43.3,34.2,-9.1,-21.7,4.4,False
VERDICT_QUESTION,界面·随机层,2026搜索随机1w,助手随机1k,150,76,UNSURE_FUNCTION,功能无法判定,0.7,2.6,2.0,-1.6,8.5,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,DECISION_ADVICE,决策建议（该不该做）,3.3,3.3,0.0,-4.6,4.6,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,MERIT_SAFETY,安全/质量评估,6.7,12.0,5.3,-1.4,12.2,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,REMEDY_UNDO,事后补救/撤销,10.7,5.3,-5.3,-11.8,0.9,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,ELIGIBILITY_COVER,资格准入/承保范围,15.3,12.0,-3.3,-11.2,4.5,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,IMPACT_EXPOSURE,后果影响核实,5.3,7.3,2.0,-3.8,7.9,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,CATEGORY_CHECK,类别/身份辨析,8.7,11.3,2.7,-4.3,9.7,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,WORLD_STATE,事实状态/时事走势,4.7,4.7,0.0,-5.2,5.2,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,SERVICE_RULE,业务规则/操作可行性,43.3,43.3,0.0,-11.1,11.1,False
VERDICT_QUESTION,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,UNSURE_FUNCTION,功能无法判定,2.0,0.7,-1.3,-5.1,2.0,False
