意图,对比,a,b,n_a,n_b,子功能,子功能名,a%,b%,差pp(b-a),95CI低pp,95CI高pp,显著
INVEST_ADVICE,界面·头部层,2026搜索,助手头部1k,54,62,DECIDE,买卖持有决策,7.4,16.1,8.7,-3.7,20.7,False
INVEST_ADVICE,界面·头部层,2026搜索,助手头部1k,54,62,FORECAST,走势/价格/事件预测,16.7,53.2,36.6,19.4,50.7,True
INVEST_ADVICE,界面·头部层,2026搜索,助手头部1k,54,62,APPRAISE,估值/质量/前景评价,5.6,0.0,-5.6,-15.1,1.3,False
INVEST_ADVICE,界面·头部层,2026搜索,助手头部1k,54,62,SELECT,荐股/择优（按评价或前瞻标准点名标的）,5.6,19.4,13.8,1.4,25.9,True
INVEST_ADVICE,界面·头部层,2026搜索,助手头部1k,54,62,RISK,风险与安全评估,1.9,1.6,-0.2,-8.3,6.9,False
INVEST_ADVICE,界面·头部层,2026搜索,助手头部1k,54,62,SCREEN,关联/指标标的清单（无评价标准）,51.9,6.5,-45.4,-58.7,-29.6,True
INVEST_ADVICE,界面·头部层,2026搜索,助手头部1k,54,62,RULE,通用规律/投资方法,3.7,1.6,-2.1,-11.0,5.4,False
INVEST_ADVICE,界面·头部层,2026搜索,助手头部1k,54,62,INFO,事实/制度/操作信息（无判断）,7.4,1.6,-5.8,-16.0,2.5,False
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,DECIDE,买卖持有决策,10.0,18.7,8.7,0.7,16.6,True
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,FORECAST,走势/价格/事件预测,16.7,28.7,12.0,2.5,21.2,True
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,APPRAISE,估值/质量/前景评价,13.3,7.3,-6.0,-13.1,1.0,False
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,SELECT,荐股/择优（按评价或前瞻标准点名标的）,11.3,18.0,6.7,-1.4,14.7,False
INVEST_ADVICE,界面·随机层,2026搜索随机1w,助手随机1k,150,150,RISK,风险与安全评估,0.7,2.0,1.3,-2.0,5.1,False
