意图,对比,a,b,n_a,n_b,子功能,子功能名,a%,b%,差pp(b-a),95CI低pp,95CI高pp,显著
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,LATEST_NEWS,浏览最新消息,18.7,7.6,-11.1,-19.2,-1.4,True
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,STATUS_TIMING,事件进度与时点,17.3,17.7,0.4,-9.3,11.5,False
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,FACT_DETAIL,事件内容与数据,39.3,25.3,-14.0,-25.5,-1.1,True
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,RULE_CONCEPT,规则与一般机制,4.0,2.5,-1.5,-6.3,5.1,False
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,EXPLAIN_CAUSE,原因解释,4.0,8.9,4.9,-1.5,13.5,False
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,ASSESS_JUDGE,评估判断与建议,3.3,8.9,5.5,-0.7,14.1,False
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,FORECAST,预测与可能性,9.3,27.8,18.5,8.1,29.9,True
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,SERVICE_HELP,个人业务求助,2.0,0.0,-2.0,-5.7,2.8,False
NEWS_EVENT,界面·随机层,2026搜索随机1w,助手随机1k,150,79,UNSURE,功能无法判定,2.0,1.3,-0.7,-4.6,5.0,False
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,LATEST_NEWS,浏览最新消息,44.3,18.7,-25.6,-39.2,-11.9,True
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,STATUS_TIMING,事件进度与时点,36.1,17.3,-18.7,-32.3,-5.9,True
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,FACT_DETAIL,事件内容与数据,3.3,39.3,36.1,25.2,44.4,True
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,RULE_CONCEPT,规则与一般机制,3.3,4.0,0.7,-7.5,5.8,False
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,EXPLAIN_CAUSE,原因解释,0.0,4.0,4.0,-2.3,8.5,False
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,ASSESS_JUDGE,评估判断与建议,4.9,3.3,-1.6,-10.4,3.7,False
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,FORECAST,预测与可能性,6.6,9.3,2.8,-7.1,9.7,False
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,SERVICE_HELP,个人业务求助,0.0,2.0,2.0,-4.1,5.7,False
NEWS_EVENT,深度·搜索内,2026搜索,2026搜索随机1w,61,150,UNSURE,功能无法判定,1.6,2.0,0.4,-6.8,4.3,False
NEWS_EVENT,时间·头部层,2025搜索,2026搜索,40,61,LATEST_NEWS,浏览最新消息,67.5,44.3,-23.2,-40.3,-3.4,True
NEWS_EVENT,时间·头部层,2025搜索,2026搜索,40,61,STATUS_TIMING,事件进度与时点,2.5,36.1,33.6,18.5,46.3,True
NEWS_EVENT,时间·头部层,2025搜索,2026搜索,40,61,FACT_DETAIL,事件内容与数据,10.0,3.3,-6.7,-20.0,3.2,False
NEWS_EVENT,时间·头部层,2025搜索,2026搜索,40,61,RULE_CONCEPT,规则与一般机制,10.0,3.3,-6.7,-20.0,3.2,False
NEWS_EVENT,时间·头部层,2025搜索,2026搜索,40,61,ASSESS_JUDGE,评估判断与建议,2.5,4.9,2.4,-8.5,11.2,False
NEWS_EVENT,时间·头部层,2025搜索,2026搜索,40,61,FORECAST,预测与可能性,2.5,6.6,4.1,-7.1,13.4,False
NEWS_EVENT,时间·头部层,2025搜索,2026搜索,40,61,UNSURE,功能无法判定,5.0,1.6,-3.4,-14.9,4.6,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,LATEST_NEWS,浏览最新消息,26.0,18.7,-7.3,-16.6,2.1,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,STATUS_TIMING,事件进度与时点,16.7,17.3,0.7,-7.9,9.2,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,FACT_DETAIL,事件内容与数据,32.7,39.3,6.7,-4.2,17.3,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,RULE_CONCEPT,规则与一般机制,7.3,4.0,-3.3,-9.1,2.1,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,EXPLAIN_CAUSE,原因解释,1.3,4.0,2.7,-1.4,7.2,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,ASSESS_JUDGE,评估判断与建议,2.0,3.3,1.3,-2.8,5.8,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,FORECAST,预测与可能性,7.3,9.3,2.0,-4.5,8.6,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,SERVICE_HELP,个人业务求助,1.3,2.0,0.7,-3.0,4.5,False
NEWS_EVENT,时间·随机层,2025搜索随机1w,2026搜索随机1w,150,150,UNSURE,功能无法判定,5.3,2.0,-3.3,-8.3,1.2,False
