叶名,加权行数,样本行数,估值/质量/前景评价,买卖持有决策,走势/价格/事件预测,事实/制度/操作信息（无判断）,风险与安全评估,通用规律/投资方法,关联/指标标的清单（无评价标准）,荐股/择优（按评价或前瞻标准点名标的）,功能不可判定
股票行情与选股建议查询,460,324,3.6,10.0,17.3,8.2,1.1,9.5,33.7,14.4,2.4
查询股票信息,55,36,10.0,11.2,0.0,13.3,0.0,4.5,42.5,13.5,5.1
查询科技股与科创板信息,42,28,2.9,20.8,19.7,26.0,2.5,0.0,0.0,28.0,0.0
金融行情数据查询,37,27,0.0,6.1,64.7,2.9,0.0,6.1,6.3,13.8,0.0
基金净值查询,36,21,15.5,12.4,0.0,25.4,2.8,18.1,3.4,19.0,3.4
查询股份公司及股票信息,34,20,16.3,8.9,17.8,30.3,0.0,3.6,0.0,23.1,0.0
查询价格与金额,27,15,21.0,4.6,19.2,24.8,0.0,30.3,0.0,0.0,0.0
查询转账与账户业务可行性,26,16,8.5,19.1,10.6,23.1,4.0,19.3,10.6,0.0,4.7
查询黄金价格,26,20,0.0,12.3,64.4,10.7,0.0,8.8,0.0,3.8,0.0
查询价格走势图,25,22,0.0,0.0,92.1,0.0,0.0,7.9,0.0,0.0,0.0
查询金价,21,19,0.0,0.0,90.2,9.8,0.0,0.0,0.0,0.0,0.0
科技类股票信息查询,21,15,31.8,24.8,18.5,10.7,0.0,4.8,9.5,0.0,0.0
查询保险公司信息,19,15,0.0,0.0,0.0,13.3,0.0,5.4,63.2,18.1,0.0
金融业务操作与问题处理方法查询,17,12,59.5,0.0,7.1,7.1,0.0,26.2,0.0,0.0,0.0
查询个股股票行情与股吧讨论,15,9,33.0,33.5,14.5,0.0,0.0,0.0,0.0,19.0,0.0
查询300开头股票代码与行情,15,7,19.3,33.5,0.0,47.2,0.0,0.0,0.0,0.0,0.0
市场价格行情查询,13,7,0.0,0.0,38.9,52.7,0.0,8.4,0.0,0.0,0.0
车险购买与理赔咨询,12,8,22.6,50.7,0.0,10.0,0.0,8.1,0.0,8.6,0.0
股票代码查询,12,5,68.5,22.8,8.7,0.0,0.0,0.0,0.0,0.0,0.0
查询股份股票及股吧信息,12,6,24.3,32.9,18.5,24.3,0.0,0.0,0.0,0.0,0.0
查询财经门户与市场行情,10,7,41.2,12.6,0.0,10.2,12.6,0.0,0.0,10.8,12.6
查询市场行情,10,4,0.0,0.0,41.9,29.1,0.0,0.0,0.0,29.1,0.0
查询金融业务数值与代码,9,7,0.0,21.9,11.7,66.3,0.0,0.0,0.0,0.0,0.0
花呗操作查询,8,4,0.0,35.4,0.0,48.9,0.0,15.7,0.0,0.0,0.0
证券股票信息查询,7,5,0.0,0.0,0.0,16.9,0.0,38.2,0.0,31.4,13.6
股指行情查询,6,4,0.0,0.0,16.4,17.4,0.0,0.0,45.9,20.3,0.0
金融代码查询,6,4,17.4,36.6,0.0,45.9,0.0,0.0,0.0,0.0,0.0
查询保险相关业务,3,3,32.3,0.0,0.0,30.2,0.0,0.0,37.5,0.0,0.0
计算存贷款利息,3,3,0.0,0.0,34.0,34.0,0.0,31.9,0.0,0.0,0.0
证券代码信息查询,2,2,46.2,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
银行信息查询,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
查询金融术语含义,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
查询股票代码与指数信息,1,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
查询人寿保险相关业务信息,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
农业银行及农村信用社服务信息查询,1,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
查询定期存款利率,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
中国银行服务信息查询,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
