key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
13,免费电视剧全集在线观看查询,用户想要在线免费观看指定电视剧的全集或完整版，获得可直接播放或跳转的免费全集入口。,3401,15.506,1838,18.384,17.637,19.155,21.885,1475,14.751,14.07,15.46,18.005,75,7.853,6.311,9.733,9.145,13,1.324,0.775,2.252,1.367,43.45,1.1856,1.7379,34.86,0.9514,1.3945,18.56,0.5065,0.7424,3.13,0.0854,0.1251,4,,,2025搜索,助手随机1k,17.06,13.89,1,1,5,11,获取作品的在线播放入口,89.7,是,
9,影视文学动漫作品名称查询,用户输入影视、小说、动漫或游戏作品的名称，以获取该作品的基本信息、剧情介绍或正规观看/阅读渠道。,2916,13.294,1506,15.063,14.375,15.778,12.283,1268,12.681,12.043,13.348,10.586,79,8.272,6.688,10.191,6.795,63,6.415,5.046,8.124,6.109,35.5,1.133,1.42,29.89,0.9539,1.1954,19.5,0.6222,0.7798,15.12,0.4826,0.6048,4,,,2025搜索,助手随机1k,8.648,2.35,2,2,4,5,裸片名或仅带实体类型词的作品查询,96.1,是,
8,影视视频资源查询,用户提供影视或视频作品名称或情节描述，查询对应作品的观看、下载资源、播放入口或剧情介绍。,2606,11.881,1196,11.962,11.341,12.613,8.431,1197,11.971,11.349,12.622,10.759,131,13.717,11.68,16.045,13.496,82,8.35,6.778,10.247,8.039,26.0,1.0068,1.0402,26.02,1.0076,1.0409,29.82,1.1545,1.1928,18.15,0.7028,0.7261,4,,,助手头部1k,助手随机1k,5.367,1.64,3,3,2,4,裸片名或仅带实体类型词的作品查询,91.6,是,
14,免费影视完整版在线观看查询,用户输入影视名称或“在线观看免费完整版”类查询，希望找到该影视可免费在线播放完整版的页面、链接或网站。,1817,8.284,903,9.032,8.486,9.61,6.464,863,8.631,8.096,9.197,6.468,38,3.979,2.913,5.414,3.545,13,1.324,0.775,2.252,1.688,39.33,1.0903,1.5731,37.58,1.0419,1.5033,17.33,0.4803,0.693,5.76,0.1598,0.2306,4,,,2025搜索,助手随机1k,7.708,6.82,4,4,10,11,获取作品的在线播放入口,84.3,是,
11,动漫资源与剧情查询,用户输入动漫或动画名称及关联关键词后，获得对应作品的观看渠道、剧集更新信息或情节角色解答。,1492,6.802,650,6.501,6.035,7.001,5.088,680,6.801,6.324,7.311,4.994,60,6.283,4.912,8.004,5.682,102,10.387,8.631,12.452,8.36,21.69,0.9558,0.8677,22.69,0.9998,0.9076,20.96,0.9236,0.8385,34.66,1.527,1.3862,4,,,助手随机1k,助手头部1k,4.104,1.65,5,8,8,3,裸片名或仅带实体类型词的作品查询,81.2,是,
7,电影资源查询,用户试图查找电影片单、免费或完整版在线观看入口，或特定影片的名称、拍摄地等资料。,1375,6.269,518,5.181,4.764,5.633,4.034,734,7.341,6.846,7.868,6.03,70,7.33,5.842,9.159,7.615,53,5.397,4.15,6.992,5.225,20.52,0.8265,0.8208,29.07,1.171,1.1629,29.03,1.1693,1.1612,21.38,0.861,0.855,4,,,2026搜索,2025搜索,2.16,1.42,7,6,6,6,裸片名或仅带实体类型词的作品查询,53.1,是,
4,影视动漫剧情与演员表查询,用户查询某部电视剧、电影、动漫、综艺或小说等作品的剧情介绍、分集剧情、结局、角色或演员表等相关信息。,1372,6.255,443,4.431,4.045,4.852,3.019,349,3.49,3.148,3.868,2.75,179,18.743,16.395,21.342,18.394,401,40.835,37.802,43.939,38.585,6.56,0.7084,0.2626,5.17,0.558,0.2068,27.77,2.9965,1.1107,60.5,6.5282,2.4199,4,,,助手随机1k,2026搜索,37.345,11.7,8,11,1,1,查询作品演员表与角色信息,23.9,否,「短剧免费观看查询」寻求的是免费观看、全集或在线播放资源，与剧情、演员表等信息查询意图不一致。
6,动漫全集在线观看查询,用户希望在线免费观看或播放指定动漫的完整剧集，得到可播放的高清或完整资源或观看入口即可满足。,1359,6.196,642,6.421,5.957,6.919,5.572,682,6.821,6.343,7.332,5.115,20,2.094,1.36,3.213,1.325,15,1.527,0.928,2.505,1.688,38.08,1.0364,1.5231,40.45,1.1008,1.6178,12.42,0.338,0.4967,9.06,0.2465,0.3623,4,,,2026搜索,助手随机1k,5.293,4.47,6,7,13,10,获取作品的在线播放入口,77.1,是,
10,电视剧与短剧查询推荐,用户想要获取符合其偏好的电视剧或短剧，包括列表、排行、推荐、分集剧情、演员作品或免费全集观看入口。,1186,5.407,340,3.401,3.063,3.774,2.726,749,7.491,6.991,8.023,6.818,68,7.12,5.655,8.929,9.655,29,2.953,2.064,4.209,3.296,16.22,0.6289,0.6488,35.73,1.3853,1.4292,33.96,1.3169,1.3585,14.09,0.5462,0.5634,4,,,2026搜索,助手随机1k,4.538,2.54,11,5,7,8,裸片名或仅带实体类型词的作品查询,72.3,是,
16,日韩泰剧在线观看,用户希望获得韩剧、日剧、泰剧等亚洲电视剧的在线播放入口，并能免费观看高清完整版视频。,936,4.267,209,2.09,1.828,2.39,1.438,663,6.631,6.159,7.135,6.162,55,5.759,4.451,7.422,6.003,9,0.916,0.483,1.733,0.804,13.58,0.4899,0.5431,43.07,1.5538,1.7226,37.41,1.3496,1.4962,5.95,0.2148,0.2381,4,,,2026搜索,助手随机1k,5.714,7.23,15,9,9,14,获取作品的在线播放入口,69.7,是,
2,视频内容查询与生成,用户围绕“视频”或具体视频主题进行查询，希望获得可观看的视频内容或生成的视频。,893,4.071,370,3.701,3.348,4.089,3.04,285,2.85,2.542,3.195,2.388,116,12.147,10.225,14.371,12.506,122,12.424,10.506,14.634,17.685,11.89,0.909,0.4757,9.16,0.7001,0.3663,39.03,2.9835,1.5612,39.92,3.0515,1.5968,4,,,助手随机1k,2026搜索,9.573,4.36,9,13,3,2,获取片段、台词或混剪等衍生内容,38.7,是,
5,电视频道直播与节目表查询,用户查询某个电视频道的当前直播观看入口或该频道特定日期的节目播出安排，以获得直播页面或节目表。,623,2.84,190,1.9,1.651,2.187,2.041,413,4.13,3.758,4.538,12.614,10,1.047,0.57,1.917,0.84,10,1.018,0.554,1.864,0.965,23.47,0.6691,0.9389,51.02,1.4542,2.0407,12.93,0.3687,0.5173,12.58,0.3585,0.5031,4,,,2026搜索,助手随机1k,3.112,4.06,16,10,14,13,收看电视频道直播或查询节目表,86.0,是,
17,影视节目观看入口查询,用户查询某个电视节目、综艺、影视或视频平台名称，期望获得该内容可用的观看入口、官网或播放资源。,623,2.84,289,2.891,2.58,3.238,2.29,292,2.92,2.608,3.269,2.508,24,2.513,1.695,3.712,2.37,18,1.833,1.163,2.879,1.527,28.46,1.0177,1.1384,28.75,1.0281,1.1501,24.74,0.8848,0.9897,18.05,0.6453,0.7219,4,,,2026搜索,助手随机1k,1.087,1.59,13,12,11,9,裸片名或仅带实体类型词的作品查询,58.3,是,
15,视频平台官方应用下载与官网入口查询,用户想要获取抖音、快手、哔哩哔哩、YouTube等视频或短视频平台的官方下载安装包、极速版或官网入口，以便安装或访问对应应用。,489,2.229,239,2.39,2.109,2.709,3.049,184,1.84,1.595,2.123,2.358,23,2.408,1.61,3.588,2.241,43,4.379,3.267,5.846,3.859,21.7,1.0722,0.8679,16.7,0.8254,0.6681,21.86,1.0803,0.8744,39.74,1.9641,1.5897,4,,,助手随机1k,2026搜索,2.539,2.38,14,14,12,7,导航到指定影视站点或平台,36.6,是,
12,影视剧免费在线观看查询,用户输入特定影视剧名称，希望获取该剧可播放的免费在线观看、全集或完整版资源链接或入口。,477,2.175,324,3.241,2.911,3.606,10.071,143,1.43,1.215,1.682,2.244,4,0.419,0.163,1.072,0.211,6,0.611,0.28,1.327,0.563,56.85,1.4902,2.2739,25.09,0.6576,1.0035,7.35,0.1926,0.2939,10.72,0.281,0.4287,4,,,2025搜索,助手头部1k,2.822,7.74,12,15,15,15,获取作品的在线播放入口,40.9,是,
1,查询《逆爱》电视剧在线观看资源,用户查询《逆爱》电视剧后，希望获得该剧的免费全集在线观看入口、完整版播放平台或更新集数信息。,369,1.682,341,3.411,3.072,3.785,8.57,22,0.22,0.145,0.333,0.201,3,0.314,0.107,0.919,0.178,3,0.305,0.104,0.894,0.241,80.24,2.0274,3.2098,5.18,0.1308,0.2071,7.39,0.1867,0.2956,7.19,0.1816,0.2875,4,,,2025搜索,2026搜索,3.191,15.5,10,16,16,16,获取作品的在线播放入口,54.7,是,
