key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
BARE_TITLE_LOOKUP__6,BARE_TITLE_LOOKUP__6,助手随机1k,显著低于其余全部,54,982,5.499,11.335,-2.766,3
ACCESS_WATCH__2,ACCESS_WATCH__2,2025搜索,显著高于其余全部,2024,9998,20.244,14.578,2.973,3
ACCESS_WATCH__2,ACCESS_WATCH__2,助手随机1k,显著低于其余全部,19,982,1.935,17.874,-6.553,3
BARE_TITLE_LOOKUP__2,BARE_TITLE_LOOKUP__2,助手随机1k,显著低于其余全部,45,982,4.582,8.729,-1.706,3
SITE_PORTAL_NAV__1,SITE_PORTAL_NAV__1,助手随机1k,显著低于其余全部,8,982,0.815,2.525,-0.83,3
BARE_TITLE_LOOKUP__3,BARE_TITLE_LOOKUP__3,助手随机1k,显著低于其余全部,33,982,3.36,6.305,-0.157,3
LIVE_TV_SCHEDULE__1,LIVE_TV_SCHEDULE__1,2026搜索,显著高于其余全部,298,9999,2.98,1.064,1.142,3
BARE_TITLE_LOOKUP__5,BARE_TITLE_LOOKUP__5,助手随机1k,显著低于其余全部,12,982,1.222,3.379,-0.322,3
BARE_TITLE_LOOKUP__1,BARE_TITLE_LOOKUP__1,2025搜索,显著高于其余全部,877,9998,8.772,7.172,0.145,3
LIVE_TV_SCHEDULE__2,LIVE_TV_SCHEDULE__2,2026搜索,显著高于其余全部,98,9999,0.98,0.478,0.06,3
ACCESS_SPECIFIC_EPISODE__3,ACCESS_SPECIFIC_EPISODE__3,2025搜索,显著高于其余全部,59,9998,0.59,0.017,0.168,3
SITE_PORTAL_NAV__3,SITE_PORTAL_NAV__3,助手随机1k,显著低于其余全部,3,982,0.305,2.105,-0.76,3
PLOT_SYNOPSIS_ENDING__1,PLOT_SYNOPSIS_ENDING__1,2026搜索,显著低于其余全部,76,9999,0.76,1.625,-0.055,3
PLOT_SYNOPSIS_ENDING__1,PLOT_SYNOPSIS_ENDING__1,助手头部1k,显著高于其余全部,60,955,6.283,1.001,1.811,3
BROADCAST_FACTS__1,BROADCAST_FACTS__1,助手随机1k,显著高于其余全部,43,982,4.379,1.06,1.31,3
CLIP_QUOTE_DERIVATIVE__1,CLIP_QUOTE_DERIVATIVE__1,2026搜索,显著低于其余全部,92,9999,0.92,1.793,-0.165,3
WORK_CAST_LOOKUP__2,WORK_CAST_LOOKUP__2,助手头部1k,显著高于其余全部,39,955,4.084,1.392,0.746,3
LORE_QA_DISCUSSION__1,LORE_QA_DISCUSSION__1,助手随机1k,显著高于其余全部,169,982,17.21,0.253,13.306,3
PLATFORM_ACCOUNT_SUPPORT__1,PLATFORM_ACCOUNT_SUPPORT__1,助手随机1k,显著高于其余全部,29,982,2.953,0.282,1.652,3
LORE_QA_DISCUSSION__2,LORE_QA_DISCUSSION__2,助手随机1k,显著高于其余全部,186,982,18.941,0.162,15.409,3
CHANNEL_RESOURCE_ACCESS__2,CHANNEL_RESOURCE_ACCESS__2,2025搜索,显著低于其余全部,3,9998,0.03,1.458,-0.379,3
CLIP_QUOTE_DERIVATIVE__3,CLIP_QUOTE_DERIVATIVE__3,助手随机1k,显著高于其余全部,86,982,8.758,0.253,1.365,3
