key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
4,影视剧免费在线观看查询,2025搜索,显著高于其余全部,324,9998,3.241,1.282,1.396,3
2,查询《逆爱》电视剧在线观看资源,2025搜索,显著高于其余全部,341,9998,3.411,0.235,2.403,3
3,免费电视剧全集在线观看查询,2025搜索,显著高于其余全部,1838,9998,18.384,13.095,2.603,3
3,免费电视剧全集在线观看查询,助手随机1k,显著低于其余全部,13,982,1.324,16.17,-4.73,3
7,影视文学动漫作品名称查询,2025搜索,显著高于其余全部,1506,9998,15.063,11.813,1.424,3
6,影视视频资源查询,助手随机1k,显著低于其余全部,82,982,8.35,12.047,-1.616,3
8,视频平台官方应用下载与官网入口查询,助手随机1k,显著高于其余全部,43,982,4.379,2.129,0.349,3
1,动漫资源与剧情查询,助手随机1k,显著高于其余全部,102,982,10.387,6.634,1.645,3
13,CCTV5在线直播观看查询,2026搜索,显著高于其余全部,320,9999,3.2,1.274,1.42,3
10,免费影视在线观看查询,助手随机1k,显著低于其余全部,13,982,1.324,8.61,-1.242,3
14,电视节目表查询,2026搜索,显著高于其余全部,93,9999,0.93,0.486,0.012,3
17,视频内容查询与生成,2026搜索,显著低于其余全部,285,9999,2.85,5.094,-0.357,3
18,短剧免费观看查询,2026搜索,显著低于其余全部,52,9999,0.52,1.047,-0.204,3
12,影视动漫剧情信息查询,助手随机1k,显著高于其余全部,367,982,37.373,2.329,20.86,3
5,日韩泰剧在线观看,助手随机1k,显著低于其余全部,9,982,0.916,4.424,-0.317,3
19,影视剧演员表查询,2026搜索,显著低于其余全部,121,9999,1.21,1.835,-0.035,3
19,影视剧演员表查询,助手头部1k,显著高于其余全部,41,955,4.293,1.425,0.584,3
