key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
IDENTIFY_TITLE_FROM_FRAGMENT,凭情节片段反查片名,106,19,0.3988,10.53,21.05,22,0.4634,0.0,31.82,25,0.5847,0.0,16.0,40,0.4715,7.5,22.5,2026搜索,0.1213,0.4835
UNCENSORED_VERSION,获取未删减或未遮挡版本,30,15,0.5609,6.67,53.33,14,0.5122,0.0,35.71,0,,,,1,0.2464,100.0,0.0,,,0.5277
ADULT_RESTRICTED_ACCESS,获取成人或限制级内容,214,102,0.5569,3.92,23.53,90,0.5816,2.22,15.56,13,0.4785,0.0,15.38,9,0.4273,11.11,55.56,2025搜索,0.0247,0.557
LORE_QA_DISCUSSION,剧情设定讨论与同人假设问答,442,33,0.4895,6.06,21.21,30,0.4454,10.0,6.67,24,0.5453,8.33,37.5,355,0.6562,1.13,24.51,2026搜索,0.2108,0.6234
PLATFORM_ACCOUNT_SUPPORT,处理平台账号或客服问题,88,40,0.6753,2.5,2.5,18,0.5882,0.0,5.56,1,0.8053,0.0,0.0,29,0.5957,3.45,6.9,助手随机1k,0.0796,0.6327
CLIP_QUOTE_DERIVATIVE,获取片段、台词或混剪等衍生内容,529,186,0.6614,2.15,19.89,123,0.6671,1.63,24.39,98,0.7108,1.02,10.2,122,0.6578,2.46,20.49,助手随机1k,0.053,0.6711
BROADCAST_FACTS,核实播出信息与集数,265,112,0.7288,1.79,5.36,95,0.7015,4.21,18.95,15,0.5352,0.0,13.33,43,0.5721,0.0,27.91,助手随机1k,0.1567,0.6826
PERSON_TO_WORKS,按演职人员反查作品列表,170,74,0.695,2.7,14.86,70,0.7504,0.0,5.71,11,0.5765,0.0,18.18,15,0.6489,13.33,6.67,2025搜索,0.0554,0.7061
ACCESS_SPECIFIC_EPISODE,直达指定集数的播放页,472,202,0.7347,2.97,19.31,245,0.6936,2.04,37.14,7,0.6179,0.0,14.29,18,0.6537,0.0,61.11,2026搜索,0.0411,0.7085
APP_INSTALL_SUPPORT,下载或安装影视App与排障,310,170,0.7598,0.59,17.06,119,0.755,0.0,18.49,12,0.7664,0.0,16.67,9,0.6855,0.0,0.0,2026搜索,0.0048,0.7561
SITE_PORTAL_NAV,导航到指定影视站点或平台,1086,524,0.7668,1.72,23.85,500,0.7748,2.0,24.6,50,0.6987,2.0,26.0,12,0.5961,0.0,16.67,助手头部1k,0.0761,0.7655
CHANNEL_RESOURCE_ACCESS,获取作品的网盘或资源下载渠道,335,11,0.535,9.09,18.18,297,0.7859,0.0,37.71,19,0.8104,0.0,52.63,8,0.511,0.0,37.5,2026搜索,,0.7725
PLOT_SYNOPSIS_ENDING,查询剧情梗概或结局剧透,270,108,0.8376,0.93,4.63,76,0.8742,0.0,10.53,60,0.8483,0.0,0.0,26,0.7179,0.0,0.0,助手随机1k,0.1563,0.8387
ACCESS_WATCH,获取作品的在线播放入口,7407,3819,0.8981,0.29,20.37,3362,0.8745,0.36,23.23,164,0.8366,0.61,23.78,62,0.6508,3.23,48.39,助手随机1k,0.2473,0.884
BARE_TITLE_LOOKUP,裸片名或仅带实体类型词的作品查询,9263,4240,0.8992,0.28,25.05,4415,0.8975,0.36,21.25,405,0.8444,0.49,21.23,203,0.6996,2.96,26.11,助手随机1k,0.1996,0.8916
WORK_CAST_LOOKUP,查询作品演员表与角色信息,367,179,0.9062,1.68,2.79,127,0.9154,0.0,3.94,40,0.9114,0.0,0.0,21,0.7341,0.0,14.29,助手随机1k,0.1813,0.9001
LIVE_TV_SCHEDULE,收看电视频道直播或查询节目表,580,164,0.9209,0.0,7.32,396,0.9431,0.0,5.56,11,0.8549,0.0,9.09,9,0.7675,11.11,0.0,2025搜索,0.0222,0.9324
