快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9998,17,4.48,1.5,0.3306,裸片名或仅带实体类型词的作品查询,42.41,85.85,89.73,97.06,98.23,0.0,98.23,98.23,410.9
2026搜索,自上而下 L1 意图,9999,17,4.82,1.5727,0.3143,裸片名或仅带实体类型词的作品查询,44.15,82.78,89.71,96.8,98.17,0.0,98.17,98.17,630.4
助手头部1k,自上而下 L1 意图,955,16,7.04,1.9518,0.2309,裸片名或仅带实体类型词的作品查询,42.41,69.84,81.36,94.24,95.61,0.0,95.61,95.61,297.0
助手随机1k,自上而下 L1 意图,982,17,7.72,2.0432,0.1995,剧情设定讨论与同人假设问答,36.15,69.25,79.94,93.58,94.05,0.0,94.05,94.05,177.4
2025搜索,自上而下 L2 子意图,9998,35,14.98,2.7068,0.0968,ACCESS_WATCH__2,20.24,42.66,60.08,83.15,86.55,0.0,86.55,86.55,410.9
2026搜索,自上而下 L2 子意图,9999,36,16.99,2.8329,0.0794,ACCESS_WATCH__2,16.2,35.35,52.43,80.76,82.09,0.0,82.09,82.09,630.4
助手头部1k,自上而下 L2 子意图,955,33,20.7,3.03,0.0616,BARE_TITLE_LOOKUP__6,11.94,30.99,45.55,69.01,71.82,0.0,71.82,71.82,297.0
助手随机1k,自上而下 L2 子意图,982,33,17.01,2.8339,0.0903,LORE_QA_DISCUSSION__2,18.94,44.91,54.99,73.63,72.75,0.0,72.75,72.75,177.4
2025搜索,自下而上 家族,9998,16,12.48,2.5243,0.0989,免费电视剧全集在线观看查询,18.38,45.41,60.94,84.09,78.38,0.0,78.38,78.38,410.9
2026搜索,自下而上 家族,9999,16,12.71,2.5425,0.0894,免费电视剧全集在线观看查询,14.75,39.4,55.53,87.25,87.55,0.0,87.55,87.55,630.4
助手头部1k,自下而上 家族,955,16,11.55,2.4466,0.1028,影视动漫剧情与演员表查询,18.74,44.61,60.73,91.2,92.84,0.0,92.84,92.84,297.0
助手随机1k,自下而上 家族,982,16,7.63,2.0324,0.2109,影视动漫剧情与演员表查询,40.84,63.65,78.41,94.5,94.37,0.0,94.37,94.37,177.4
2025搜索,自下而上 叶,9998,19,13.23,2.5826,0.0975,免费电视剧全集在线观看查询,18.38,45.41,60.94,83.06,78.09,0.0,78.09,78.09,410.9
2026搜索,自下而上 叶,9999,19,13.45,2.5993,0.0881,免费电视剧全集在线观看查询,14.75,39.4,55.53,86.32,86.02,0.0,86.02,86.02,630.4
助手头部1k,自下而上 叶,955,19,13.53,2.6046,0.0861,影视视频资源查询,13.72,38.64,54.76,85.55,87.51,0.0,87.51,87.51,297.0
助手随机1k,自下而上 叶,982,19,8.85,2.1802,0.1844,影视动漫剧情信息查询,37.37,60.18,74.95,91.65,91.08,0.0,91.08,91.08,177.4
