key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
BARE_TITLE_LOOKUP,裸片名或仅带实体类型词的作品查询,查询仅包含作品名，或作品名仅附带电视剧、电影、动漫、短剧、综艺等实体类型消歧词，没有任何访问、属性、事实或问答类修饰词，具体意图无法从文本判定。,9263,42.231,4240,42.408,41.443,43.38,37.998,4415,44.154,43.184,45.13,38.685,405,42.408,39.311,45.567,44.962,203,20.672,18.256,23.317,20.74,28.34,1.0042,1.1336,29.51,1.0455,1.1803,28.34,1.0042,1.1336,13.81,0.4895,0.5526,4,,,2026搜索,助手随机1k,23.482,2.14,1,1,1,2,影视文学动漫作品名称查询,30.2,否,,获得该作品的主入口或基础信息页后，用户即满足；其底层到底是看片、查资料还是消歧需行为数据判定。
ACCESS_WATCH,获取作品的在线播放入口,查询由作品名加访问类修饰词（免费观看/在线观看/完整版/全集/高清/免费播放等）构成，用户要求获得该作品的在线播放入口，而非指定集数、渠道、未删减版本或成人内容。,7407,33.769,3819,38.198,37.25,39.154,45.289,3362,33.623,32.704,34.555,32.35,164,17.173,14.914,19.695,16.624,62,6.314,4.956,8.012,6.27,40.08,1.1311,1.6031,35.28,0.9957,1.4112,18.02,0.5085,0.7207,6.62,0.187,0.265,4,,,2025搜索,助手随机1k,31.884,6.05,2,2,2,4,免费电视剧全集在线观看查询,41.2,是,0.32,获得一个可直接在线播放该作品并满足全集、完整版、高清等观看条件的入口后，用户即满足；正版免费渠道同样满足。
SITE_PORTAL_NAV,导航到指定影视站点或平台,查询本体为影视站点、聚合站或播放平台名称，用户要求导航到该站点入口或确认其可访问，而不点名具体作品。,1086,4.951,524,5.241,4.821,5.695,5.383,500,5.001,4.59,5.445,5.592,50,5.236,3.994,6.836,6.707,12,1.222,0.7,2.124,1.527,31.39,1.0585,1.2554,29.94,1.01,1.1978,31.35,1.0574,1.2541,7.32,0.2468,0.2927,4,,,2025搜索,助手随机1k,4.019,4.29,3,3,5,12,电影资源查询（合并后目标）,24.1,是,0.012,获得所命名站点的入口或确认该站点可访问、可观看后，用户即满足。
LIVE_TV_SCHEDULE,收看电视频道直播或查询节目表,查询指向广播电视或直播频道本身，用户要求实时直播流或当日节目单，与点播观看不同。,580,2.644,164,1.64,1.409,1.909,1.753,396,3.96,3.595,4.361,12.694,11,1.152,0.644,2.051,0.946,9,0.916,0.483,1.733,0.884,21.39,0.6203,0.8556,51.64,1.4977,2.0657,15.02,0.4356,0.6008,11.95,0.3466,0.478,4,,,2026搜索,助手随机1k,3.044,4.32,8,4,13,13,CCTV5直播观看（合并后目标）,67.1,是,,获得指定频道的实时直播流或当日节目单及其所包含节目信息后，用户即满足。
CLIP_QUOTE_DERIVATIVE,获取片段、台词或混剪等衍生内容,查询要求带走吻戏、MV、混剪、短视频、台词文本或片段截取等衍生内容，而不是整集或整部正片的播放入口。,529,2.412,186,1.86,1.613,2.144,1.329,123,1.23,1.032,1.466,0.877,98,10.262,8.494,12.348,9.825,122,12.424,10.506,14.634,17.926,7.22,0.7714,0.2887,4.77,0.51,0.1909,39.81,4.2549,1.5925,48.2,5.1512,1.9279,4,,,助手随机1k,2026搜索,11.194,10.1,5,8,3,3,视频内容查询与生成,65.4,否,,获得对应片段、剪辑、MV 或台词文本后，用户即满足。
ACCESS_SPECIFIC_EPISODE,直达指定集数的播放页,查询由作品名加具体集数、集数区间或大结局作为播放目标构成，用户要求直达该集的播放页面，而非全集入口、剧透说明或总集数事实。,472,2.152,202,2.02,1.762,2.315,1.753,245,2.45,2.165,2.772,2.244,7,0.733,0.356,1.505,0.382,18,1.833,1.163,2.879,2.733,28.71,0.9389,1.1485,34.82,1.1386,1.3929,10.42,0.3406,0.4167,26.05,0.8518,1.042,4,,,2026搜索,助手头部1k,1.717,3.34,4,6,15,10,免费电视剧全集在线观看查询,28.4,是,,获得可直接播放该作品指定集或大结局的入口后，用户即满足。
LORE_QA_DISCUSSION,剧情设定讨论与同人假设问答,查询对剧情设定、角色关系或作品间关系提出开放问题，或提交同人假设、观点争论与情绪宣泄，期望一段文字回答或讨论，而非事实性剧透、播放入口或片名识别。,442,2.015,33,0.33,0.235,0.463,0.194,30,0.3,0.21,0.428,0.169,24,2.513,1.695,3.712,2.565,355,36.151,33.205,39.204,30.064,0.84,0.1638,0.0336,0.76,0.1489,0.0305,6.4,1.2471,0.2558,92.0,17.9396,3.68,4,,,助手随机1k,2026搜索,35.851,120.49,14,14,8,1,影视动漫剧情信息查询,60.9,否,0.008,获得针对其剧情问题、假设或观点的一段文字回答后，用户即满足。
WORK_CAST_LOOKUP,查询作品演员表与角色信息,查询以作品为输入，要求获得该作品的演员表、导演、幕后人员或角色信息，查询起点是作品。,367,1.673,179,1.79,1.548,2.069,1.373,127,1.27,1.069,1.509,0.953,40,4.188,3.091,5.653,4.384,21,2.138,1.403,3.247,1.768,19.07,1.07,0.7629,13.53,0.7591,0.5412,44.62,2.5033,1.7847,22.78,1.2781,0.9112,4,,,助手头部1k,2026搜索,2.918,3.3,6,7,6,9,影视剧演员表查询,87.2,否,,获得该作品的演员表、幕后人员信息或角色说明后，用户即满足。
CHANNEL_RESOURCE_ACCESS,获取作品的网盘或资源下载渠道,查询以作品为对象并含百度云、网盘、夸克、迅雷、磁力、资源或作品下载等渠道词，用户要求可保存的获取路径，而不是在线播放器。,335,1.527,11,0.11,0.061,0.197,0.053,297,2.97,2.655,3.322,2.972,19,1.99,1.277,3.086,2.542,8,0.815,0.413,1.599,0.723,1.87,0.072,0.0748,50.48,1.9448,2.0191,33.81,1.3026,1.3524,13.84,0.5334,0.5538,4,,,2026搜索,2025搜索,2.86,27.0,17,5,9,16,免费电视剧全集在线观看查询,29.6,是,,获得该作品在网盘、资源站或下载渠道的可保存路径后，用户即满足。
APP_INSTALL_SUPPORT,下载或安装影视App与排障,查询要求下载、安装某个影视App、播放器或看片软件，或解决软件选择与播放故障，对象是应用而非具体作品。,310,1.413,170,1.7,1.465,1.973,1.611,119,1.19,0.996,1.422,1.152,12,1.257,0.72,2.183,0.914,9,0.916,0.483,1.733,0.723,33.58,1.2031,1.3432,23.5,0.8421,0.9402,24.82,0.8891,0.9926,18.1,0.6485,0.724,4,,,2025搜索,助手随机1k,0.784,1.86,7,9,12,13,视频平台官方应用下载与官网入口查询,56.1,是,0.01,获得所命名App或某类看片软件的官方安装包、可信任下载入口或可执行的排障步骤后，用户即满足。
PLOT_SYNOPSIS_ENDING,查询剧情梗概或结局剧透,查询要求一段文字型剧情介绍、分集剧情、结局说明或真凶等事实性剧透，而不是相关集的播放入口。,270,1.231,108,1.08,0.896,1.302,0.893,76,0.76,0.608,0.95,0.485,60,6.283,4.912,8.004,4.99,26,2.648,1.813,3.851,2.733,10.03,0.8775,0.4012,7.06,0.6175,0.2823,58.33,5.1039,2.3333,24.58,2.1509,0.9833,4,,,助手头部1k,2026搜索,5.523,8.27,10,12,4,8,影视动漫剧情信息查询,80.4,是,0.013,获得该作品或指定集的剧情梗概、结局说明或真凶等文字内容后，用户即满足。
BROADCAST_FACTS,核实播出信息与集数,查询以问句或事实核实形式询问作品的播出平台、播出时间、更新时间、总集数、观看顺序或作品异同，要求结论而不是播放器。,265,1.208,112,1.12,0.932,1.346,0.848,95,0.95,0.778,1.16,0.65,15,1.571,0.954,2.575,1.187,43,4.379,3.267,5.846,4.421,13.97,0.9272,0.5587,11.85,0.7864,0.4739,19.58,1.3,0.7834,54.6,3.6243,2.184,4,,,助手随机1k,2026搜索,3.429,4.61,9,10,10,5,影视动漫剧情信息查询,47.5,否,0.005,获得该作品的播出平台或时间、总集数、观看顺序或作品是否同一部的明确结论后，用户即满足。
ADULT_RESTRICTED_ACCESS,获取成人或限制级内容,查询以显式成人、色情、软色情、年龄门槛或规避拼写表达对成人或限制级影音内容的获取需求，优先级高于普通访问、渠道或站点导航类。,214,0.976,102,1.02,0.841,1.237,0.753,90,0.9,0.733,1.105,0.556,13,1.361,0.797,2.315,0.737,9,0.916,0.483,1.733,0.723,24.3,1.0457,0.9721,21.44,0.9226,0.8576,32.43,1.3952,1.297,21.83,0.9394,0.8733,4,,,助手头部1k,2026搜索,0.461,1.51,11,11,11,13,视频内容查询与生成,46.3,是,0.008,获得该类成人内容或其观看路径后，用户即满足——但该需求应受内容政策与法律约束，不可朴素满足。
PERSON_TO_WORKS,按演职人员反查作品列表,查询以演员、导演或主持等人物为输入，要求枚举其出演、执导或主持的作品列表，查询起点是人物。,170,0.775,74,0.74,0.59,0.928,0.372,70,0.7,0.555,0.883,0.324,11,1.152,0.644,2.051,1.373,15,1.527,0.928,2.505,1.286,17.97,0.955,0.7187,16.99,0.9033,0.6798,27.96,1.4861,1.1184,37.08,1.9708,1.4832,4,,,助手随机1k,2026搜索,0.827,2.18,12,13,13,11,电视剧与短剧查询推荐,52.4,是,,获得该人物按时间或热度排列的作品列表后，用户即满足。
IDENTIFY_TITLE_FROM_FRAGMENT,凭情节片段反查片名,查询只给出剧情片段、角色名或陈述式记忆，要求系统给出对应的作品名称或候选片名，答案目标是作品识别。,106,0.483,19,0.19,0.122,0.297,0.104,22,0.22,0.145,0.333,0.099,25,2.618,1.779,3.836,1.823,40,4.073,3.005,5.499,4.582,2.68,0.3932,0.107,3.1,0.4553,0.1239,36.86,5.4169,1.4746,57.36,8.4287,2.2944,4,,,助手随机1k,2025搜索,3.883,21.43,15,15,7,6,影视动漫剧情信息查询,37.7,否,0.01,获得候选片名并可点入该片的入口后，用户即满足。
PLATFORM_ACCOUNT_SUPPORT,处理平台账号或客服问题,查询以平台名为对象，要求取消续费、充值、客服电话或平台使用帮助等账号、支付与客户服务操作，而不是获取作品或下载App。,88,0.401,40,0.4,0.294,0.544,0.212,18,0.18,0.114,0.284,0.104,1,0.105,0.018,0.591,0.037,29,2.953,2.064,4.209,2.814,11.0,0.9972,0.4399,4.95,0.4487,0.1979,2.88,0.261,0.1151,81.18,7.3607,3.247,4,,,助手随机1k,助手头部1k,2.848,28.2,13,16,16,7,视频平台官方应用下载与官网入口查询,90.9,否,,获得账号、支付、客服或平台使用问题的解决方案后，用户即满足。
UNCENSORED_VERSION,获取未删减或未遮挡版本,查询点名要求未删减、无删减、没有删除版或未遮挡等原始版本，且不含网盘、资源等渠道词，用户要求的是版本而非普通完整版或在线播放。,30,0.137,15,0.15,0.091,0.247,0.082,14,0.14,0.083,0.235,0.095,0,0.0,0.0,0.401,0.0,1,0.102,0.018,0.575,0.08,38.28,1.0969,1.5314,35.73,1.0237,1.4292,0.0,0.0,0.0,25.99,0.7445,1.0394,3,助手头部1k,,2025搜索,助手头部1k,0.15,inf,16,17,17,17,在线观看动漫全集（合并后目标）,26.7,是,0.01,获得该片未删减版本或其可得方式后，用户即满足；但这类版本的境内授权供给常不可得。
