new_class,n_total,n_assistant,assistant_share,main_old_class,main_old_share,n_old_classes_feeding
剧情设定讨论与同人假设问答,442,379,0.8575,由描述或别名定位标准片名,0.4127,7
凭情节片段反查片名,106,65,0.6132,由描述或别名定位标准片名,0.3902,6
获取片段、台词或混剪等衍生内容,529,220,0.4159,非影视垂类或噪声,0.4531,9
处理平台账号或客服问题,88,30,0.3409,非影视垂类或噪声,0.9483,3
查询剧情梗概或结局剧透,270,86,0.3185,查询剧情简介或百科信息,0.8696,7
核实播出信息与集数,265,58,0.2189,查询播出时间平台或集数,0.4058,9
查询作品演员表与角色信息,367,61,0.1662,查询指定作品的演员表或角色信息,0.9216,8
按演职人员反查作品列表,170,26,0.1529,按影人列出其作品清单,0.6806,10
获取成人或限制级内容,214,22,0.1028,寻找成人或情色内容,0.3906,9
获取作品的网盘或资源下载渠道,335,27,0.0806,通过网盘或离线渠道获取片源,0.6429,12
下载或安装影视App与排障,310,21,0.0677,下载安装看片或娱乐应用,0.609,7
裸片名或仅带实体类型词的作品查询,9263,608,0.0656,返回裸片名作品枢纽页,0.8277,14
导航到指定影视站点或平台,1086,62,0.0571,导航到指定影视站点或平台,0.7168,11
直达指定集数的播放页,472,25,0.053,定位并播放指定集数或区间,0.774,10
收看电视频道直播或查询节目表,580,20,0.0345,观看电视频道直播或查节目单,0.9532,8
获取未删减或未遮挡版本,30,1,0.0333,获取指定作品的在线播放页,0.4138,6
获取作品的在线播放入口,7407,226,0.0305,获取指定作品的在线播放页,0.8121,15
