new_td,下载安装看片或娱乐应用,定位并播放指定集数或区间,寻找成人或情色内容,导航到指定影视站点或平台,按影人列出其作品清单,按条件浏览或求推荐片单,查询剧情简介或百科信息,查询指定作品的演员表或角色信息,查询播出时间平台或集数,由描述或别名定位标准片名,获取指定作品的在线播放页,观看电视频道直播或查节目单,返回裸片名作品枢纽页,通过网盘或离线渠道获取片源,非影视垂类或噪声
下载或安装影视App与排障,176,0,5,29,0,40,0,0,0,0,1,0,3,0,35
凭情节片段反查片名,0,1,6,0,0,0,1,0,0,16,0,0,9,0,8
剧情设定讨论与同人假设问答,0,0,8,0,0,9,3,0,2,26,5,0,10,0,0
处理平台账号或客服问题,0,0,0,1,0,0,0,0,0,0,0,0,2,0,55
导航到指定影视站点或平台,11,2,16,734,0,61,0,0,0,2,39,6,58,1,94
按演职人员反查作品列表,0,0,2,1,98,6,1,7,0,20,1,0,6,0,2
收看电视频道直播或查询节目表,2,0,2,9,0,2,0,0,0,0,2,529,2,0,7
查询作品演员表与角色信息,0,0,2,0,1,0,1,282,0,8,1,0,7,0,4
查询剧情梗概或结局剧透,0,2,1,0,0,0,160,0,3,6,0,0,11,0,1
核实播出信息与集数,0,20,3,0,0,9,15,0,84,6,14,0,13,0,43
直达指定集数的播放页,0,346,30,1,0,1,16,0,1,3,37,0,11,0,1
获取作品的在线播放入口,4,485,260,58,10,300,4,5,18,31,5832,6,122,5,41
获取作品的网盘或资源下载渠道,1,24,12,8,0,6,4,1,0,1,32,0,4,198,17
获取成人或限制级内容,0,2,75,15,0,4,0,0,0,13,21,0,24,1,37
获取未删减或未遮挡版本,0,7,4,0,0,0,0,0,0,3,12,0,2,0,1
获取片段、台词或混剪等衍生内容,4,8,78,11,0,31,0,0,0,4,19,0,14,0,140
裸片名或仅带实体类型词的作品查询,2,260,440,107,41,324,19,1,2,134,42,4,7164,0,115
