td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
下载或安装影视App与排障,92,2,0,1,1,3,0,15,17,0,0,6,3
凭情节片段反查片名,0,2,14,8,1,1,0,4,21,0,0,1,35
剧情设定讨论与同人假设问答,0,3,38,99,31,4,23,59,16,26,18,2,90
处理平台账号或客服问题,6,0,9,4,5,15,4,0,0,1,3,0,1
导航到指定影视站点或平台,383,40,4,2,0,1,0,24,74,0,0,11,23
按演职人员反查作品列表,0,3,0,1,1,0,0,86,2,0,0,3,0
收看电视频道直播或查询节目表,278,21,83,0,1,0,0,26,5,0,0,0,2
查询作品演员表与角色信息,0,4,7,4,0,0,0,168,2,0,1,1,1
查询剧情梗概或结局剧透,0,0,2,144,2,0,0,0,5,2,0,1,6
核实播出信息与集数,3,0,87,6,5,1,1,28,16,1,0,1,4
直达指定集数的播放页,0,11,2,15,2,0,0,0,214,2,0,21,3
获取作品的在线播放入口,17,23,3,4,2,0,0,28,3389,2,1,105,14
获取作品的网盘或资源下载渠道,5,1,1,0,0,1,0,1,270,0,0,40,5
获取成人或限制级内容,5,13,1,1,0,0,1,5,36,2,2,41,5
获取未删减或未遮挡版本,0,0,0,2,0,0,0,2,11,0,0,0,0
获取片段、台词或混剪等衍生内容,9,17,1,2,3,3,1,19,167,65,3,18,35
裸片名或仅带实体类型词的作品查询,68,4127,27,58,19,2,1,217,144,5,18,131,206
