source,td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
2026search,下载或安装影视App与排障,82,2,0,1,0,1,0,11,14,0,0,6,2
2026search,凭情节片段反查片名,0,0,6,2,1,0,0,2,7,0,0,0,4
2026search,剧情设定讨论与同人假设问答,0,2,4,3,3,0,0,16,1,0,0,0,1
2026search,处理平台账号或客服问题,6,0,6,1,0,5,0,0,0,0,0,0,0
2026search,导航到指定影视站点或平台,363,33,3,2,0,1,0,19,62,0,0,8,9
2026search,按演职人员反查作品列表,0,1,0,0,0,0,0,65,1,0,0,3,0
2026search,收看电视频道直播或查询节目表,268,20,77,0,0,0,0,25,5,0,0,0,1
2026search,查询作品演员表与角色信息,0,3,4,2,0,0,0,115,1,0,0,1,1
2026search,查询剧情梗概或结局剧透,0,0,1,73,1,0,0,0,0,0,0,1,0
2026search,核实播出信息与集数,3,0,69,3,1,0,0,10,8,0,0,1,0
2026search,直达指定集数的播放页,0,9,2,8,0,0,0,0,205,0,0,21,0
2026search,获取作品的在线播放入口,16,20,2,1,1,0,0,22,3191,0,0,102,7
2026search,获取作品的网盘或资源下载渠道,5,1,1,0,0,1,0,0,250,0,0,37,2
2026search,获取成人或限制级内容,5,12,0,0,0,0,0,4,26,0,0,39,4
2026search,获取未删减或未遮挡版本,0,0,0,1,0,0,0,2,11,0,0,0,0
2026search,获取片段、台词或混剪等衍生内容,7,12,1,1,1,0,0,3,73,0,0,14,11
2026search,裸片名或仅带实体类型词的作品查询,66,3796,17,37,5,1,0,166,107,2,3,129,86
assistant_random,下载或安装影视App与排障,1,0,0,0,1,2,0,2,2,0,0,0,1
assistant_random,凭情节片段反查片名,0,1,5,6,0,1,0,2,11,0,0,1,13
assistant_random,剧情设定讨论与同人假设问答,0,1,33,87,27,4,23,38,14,25,18,2,83
assistant_random,处理平台账号或客服问题,0,0,3,3,5,10,4,0,0,0,3,0,1
assistant_random,导航到指定影视站点或平台,2,1,1,0,0,0,0,2,4,0,0,1,1
assistant_random,按演职人员反查作品列表,0,1,0,1,0,0,0,13,0,0,0,0,0
assistant_random,收看电视频道直播或查询节目表,3,0,4,0,1,0,0,0,0,0,0,0,1
assistant_random,查询作品演员表与角色信息,0,1,3,1,0,0,0,15,0,0,1,0,0
assistant_random,查询剧情梗概或结局剧透,0,0,0,20,0,0,0,0,0,2,0,0,4
assistant_random,核实播出信息与集数,0,0,17,1,3,1,1,13,6,1,0,0,0
assistant_random,直达指定集数的播放页,0,2,0,4,1,0,0,0,6,2,0,0,3
assistant_random,获取作品的在线播放入口,0,2,0,3,0,0,0,3,47,2,1,2,2
assistant_random,获取作品的网盘或资源下载渠道,0,0,0,0,0,0,0,0,5,0,0,0,3
assistant_random,获取成人或限制级内容,0,0,1,1,0,0,1,1,3,1,0,0,1
assistant_random,获取未删减或未遮挡版本,0,0,0,1,0,0,0,0,0,0,0,0,0
assistant_random,获取片段、台词或混剪等衍生内容,1,0,0,1,1,2,1,12,60,33,2,3,6
assistant_random,裸片名或仅带实体类型词的作品查询,1,69,8,15,4,1,1,20,17,2,5,1,59
assistant_top,下载或安装影视App与排障,9,0,0,0,0,0,0,2,1,0,0,0,0
assistant_top,凭情节片段反查片名,0,1,3,0,0,0,0,0,3,0,0,0,18
assistant_top,剧情设定讨论与同人假设问答,0,0,1,9,1,0,0,5,1,1,0,0,6
assistant_top,处理平台账号或客服问题,0,0,0,0,0,0,0,0,0,1,0,0,0
assistant_top,导航到指定影视站点或平台,18,6,0,0,0,0,0,3,8,0,0,2,13
assistant_top,按演职人员反查作品列表,0,1,0,0,1,0,0,8,1,0,0,0,0
assistant_top,收看电视频道直播或查询节目表,7,1,2,0,0,0,0,1,0,0,0,0,0
assistant_top,查询作品演员表与角色信息,0,0,0,1,0,0,0,38,1,0,0,0,0
assistant_top,查询剧情梗概或结局剧透,0,0,1,51,1,0,0,0,5,0,0,0,2
assistant_top,核实播出信息与集数,0,0,1,2,1,0,0,5,2,0,0,0,4
assistant_top,直达指定集数的播放页,0,0,0,3,1,0,0,0,3,0,0,0,0
assistant_top,获取作品的在线播放入口,1,1,1,0,1,0,0,3,151,0,0,1,5
assistant_top,获取作品的网盘或资源下载渠道,0,0,0,0,0,0,0,1,15,0,0,3,0
assistant_top,获取成人或限制级内容,0,1,0,0,0,0,0,0,7,1,2,2,0
assistant_top,获取片段、台词或混剪等衍生内容,1,5,0,0,1,1,0,4,34,32,1,1,18
assistant_top,裸片名或仅带实体类型词的作品查询,1,262,2,6,10,0,0,31,20,1,10,1,61
