td_l1_name,2025search,2026search,assistant_random,assistant_top
下载或安装影视App与排障,161.05519803198928,115.19653048527996,72.34726688102894,91.3763773510036
凭情节片段反查片名,10.39867778079682,9.86043124883726,458.1993569131833,182.31185541442696
剧情设定讨论与同人假设问答,19.393804559322064,16.932288051338574,3006.430868167203,256.45641894250303
处理平台账号或客服问题,21.20279883509522,10.409344324930936,281.3504823151126,3.747643944431993
导航到指定影视站点或平台,538.2949377945466,559.1535856386415,152.73311897106112,670.7180412314317
按演职人员反查作品列表,37.151247361123524,32.44748418174144,128.61736334405145,137.34012808124305
收看电视频道直播或查询节目表,175.29130217802668,1269.381492587473,88.42443729903538,94.646380400557
查询作品演员表与角色信息,137.26047997918684,95.25402232859969,176.84887459807075,438.3641166766481
查询剧情梗概或结局剧透,89.33003386393518,48.47478580587601,273.3118971061093,498.9877687189304
核实播出信息与集数,84.82639186487494,64.97818550621427,442.1221864951769,118.74887478827648
直达指定集数的播放页,175.3374996124886,224.3910245510575,273.3118971061093,38.24801319758534
获取作品的在线播放入口,4528.911995710933,3234.987207364717,627.0096463022509,1662.4475054285724
获取作品的网盘或资源下载渠道,5.3418822901527125,297.18441999051805,72.34726688102894,254.17843929000517
获取成人或限制级内容,75.26352293125153,55.649063707123666,72.34726688102894,73.70366424049587
获取未删减或未遮挡版本,8.198221034056626,9.487554436213859,8.038585209003216,0.0
获取片段、台词或混剪等衍生内容,132.90211675428984,87.72447124107566,1792.604501607717,982.5073207652542
裸片名或仅带实体类型词的作品查询,3799.8398894179304,3868.488108550361,2073.95498392283,4496.217451528634
