td_l1_name,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,index_2025search,index_2026search,index_assistant_random,index_assistant_top
下载或安装影视App与排障,1.7,1.19,0.92,1.26,1.2031,0.8421,0.6485,0.8891
凭情节片段反查片名,0.19,0.22,4.07,2.62,0.3932,0.4553,8.4287,5.4169
剧情设定讨论与同人假设问答,0.33,0.3,36.15,2.51,0.1638,0.1489,17.9396,1.2471
处理平台账号或客服问题,0.4,0.18,2.95,0.1,0.9972,0.4487,7.3607,0.261
导航到指定影视站点或平台,5.24,5.0,1.22,5.24,1.0585,1.01,0.2468,1.0574
按演职人员反查作品列表,0.74,0.7,1.53,1.15,0.955,0.9033,1.9708,1.4861
收看电视频道直播或查询节目表,1.64,3.96,0.92,1.15,0.6203,1.4977,0.3466,0.4356
查询作品演员表与角色信息,1.79,1.27,2.14,4.19,1.07,0.7591,1.2781,2.5033
查询剧情梗概或结局剧透,1.08,0.76,2.65,6.28,0.8775,0.6175,2.1509,5.1039
核实播出信息与集数,1.12,0.95,4.38,1.57,0.9272,0.7864,3.6243,1.3
直达指定集数的播放页,2.02,2.45,1.83,0.73,0.9389,1.1386,0.8518,0.3406
获取作品的在线播放入口,38.2,33.62,6.31,17.17,1.1311,0.9957,0.187,0.5085
获取作品的网盘或资源下载渠道,0.11,2.97,0.81,1.99,0.072,1.9448,0.5334,1.3026
获取成人或限制级内容,1.02,0.9,0.92,1.36,1.0457,0.9226,0.9394,1.3952
获取未删减或未遮挡版本,0.15,0.14,0.1,0.0,1.0969,1.0237,0.7445,0.0
获取片段、台词或混剪等衍生内容,1.86,1.23,12.42,10.26,0.7714,0.51,5.1512,4.2549
裸片名或仅带实体类型词的作品查询,42.41,44.15,20.67,42.41,1.0042,1.0455,0.4895,1.0042
