bucket,n,label,share
留存(两年都在),2844,裸片名或仅带实体类型词的作品查询,0.699
留存(两年都在),2844,获取作品的在线播放入口,0.1034
留存(两年都在),2844,导航到指定影视站点或平台,0.09
留存(两年都在),2844,收看电视频道直播或查询节目表,0.0432
留存(两年都在),2844,下载或安装影视App与排障,0.0165
留存(两年都在),2844,获取片段、台词或混剪等衍生内容,0.0123
留存(两年都在),2844,获取成人或限制级内容,0.0123
留存(两年都在),2844,查询作品演员表与角色信息,0.0074
留存(两年都在),2844,按演职人员反查作品列表,0.0067
留存(两年都在),2844,处理平台账号或客服问题,0.0035
留存(两年都在),2844,核实播出信息与集数,0.0025
留存(两年都在),2844,直达指定集数的播放页,0.0014
留存(两年都在),2844,剧情设定讨论与同人假设问答,0.0007
留存(两年都在),2844,查询剧情梗概或结局剧透,0.0007
留存(两年都在),2844,获取未删减或未遮挡版本,0.0004
掉榜(只在2025),7155,获取作品的在线播放入口,0.4927
掉榜(只在2025),7155,裸片名或仅带实体类型词的作品查询,0.3147
掉榜(只在2025),7155,导航到指定影视站点或平台,0.0375
掉榜(只在2025),7155,直达指定集数的播放页,0.0277
掉榜(只在2025),7155,查询作品演员表与角色信息,0.0221
掉榜(只在2025),7155,获取片段、台词或混剪等衍生内容,0.0211
掉榜(只在2025),7155,下载或安装影视App与排障,0.0172
掉榜(只在2025),7155,查询剧情梗概或结局剧透,0.0148
掉榜(只在2025),7155,核实播出信息与集数,0.0147
掉榜(只在2025),7155,获取成人或限制级内容,0.0094
掉榜(只在2025),7155,按演职人员反查作品列表,0.0077
掉榜(只在2025),7155,收看电视频道直播或查询节目表,0.0059
掉榜(只在2025),7155,剧情设定讨论与同人假设问答,0.0043
掉榜(只在2025),7155,处理平台账号或客服问题,0.0042
掉榜(只在2025),7155,凭情节片段反查片名,0.0027
掉榜(只在2025),7155,获取未删减或未遮挡版本,0.002
掉榜(只在2025),7155,获取作品的网盘或资源下载渠道,0.0015
新进(只在2026),7155,获取作品的在线播放入口,0.4288
新进(只在2026),7155,裸片名或仅带实体类型词的作品查询,0.3392
新进(只在2026),7155,获取作品的网盘或资源下载渠道,0.0415
新进(只在2026),7155,收看电视频道直播或查询节目表,0.0382
新进(只在2026),7155,导航到指定影视站点或平台,0.0341
新进(只在2026),7155,直达指定集数的播放页,0.0337
新进(只在2026),7155,查询作品演员表与角色信息,0.0148
新进(只在2026),7155,核实播出信息与集数,0.0123
新进(只在2026),7155,获取片段、台词或混剪等衍生内容,0.0123
新进(只在2026),7155,查询剧情梗概或结局剧透,0.0103
新进(只在2026),7155,下载或安装影视App与排障,0.0101
新进(只在2026),7155,获取成人或限制级内容,0.0077
新进(只在2026),7155,按演职人员反查作品列表,0.0071
新进(只在2026),7155,剧情设定讨论与同人假设问答,0.0039
新进(只在2026),7155,凭情节片段反查片名,0.0031
新进(只在2026),7155,获取未删减或未遮挡版本,0.0018
新进(只在2026),7155,处理平台账号或客服问题,0.0011
