code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
BARE_NAME_IDENTITY_LOOKUP,裸名人物身份识别,用户只输入一个人名或人名变体（含错别字、同名、拉丁字母艺人名），未带任何意图标记，期待系统默认给出该实体是谁的一句话身份定位。,收到该人物消歧后的一句话身份定位（职业/因何知名/人群归属）及最相关背景卡片，用户即满足；同名或多个指向时须先给出可核验实体。,False,0.55,王楚然 / 周也 / 郑恺 / 林忆莲,陈小江 — 属于 PERSON_RECENT_EVENT_LOOKUP：当日有人事新闻 / 马兴瑞 — 属于 PERSON_RECENT_EVENT_LOOKUP：当日有人事新闻 / 毛泽东简介 — 属于 BIO_PROFILE_LOOKUP：带档案后缀,3
PERSON_RECENT_EVENT_LOOKUP,人物近期事件状态查询,用户想确认该人物刚刚发生了什么或当前处于什么状态（任免、逝世、病重、近况、舆情事件），答案强时效并须权威来源。,收到以最新权威来源为准的一两句事实性结论（何事、何时发生、来源）及事件要点，用户即满足；若该人近期无事件，则明说并回退到最新公开动态或裸名身份卡。,False,0.2,陈小江 / 马兴瑞 / 韦韬 / 蔡澜,毛泽东简介 — 属于 BIO_PROFILE_LOOKUP：档案调阅 / 赵本山去世了吗 — 属于 CLAIM_VERIFICATION：求生死裁决 / 新疆新任书记 — 属于 PERSONNEL_EVENT_LOOKUP：职务任免事件,4
PERSONNEL_EVENT_LOOKUP,人事任免事件查询,用户要查一次人事变动的结果或走向（新任、免职、另有任用、接替、任职公示），答案必须锚定组织人事官方信源并区分已公布与尚未公布。,收到该次任免事件的核心事实（新任者、卸任者、宣布时间与官方来源）即满足；对官方尚未公布的人事动向，应明确“尚无权威公告”且不做猜测性推断。,True,0.0046,新疆新任书记 / 马兴瑞另有任用 / 陈小江任新疆党委书记 马兴瑞另有任用 / 四川省公安厅新任厅长是谁,北京市市长 — 属于 OFFICE_HOLDER_LOOKUP：当前任职者名录 / 胡海峰现在在那个市任职 — 属于 OFFICE_HOLDER_LOOKUP：当前任职 / 外交部历任部长 — 属于 GROUP_ROSTER_ENUMERATION：历任名单,2
BIO_PROFILE_LOOKUP,人物档案调阅,用户用「简介/个人资料/简历/履历/百科」等后缀索取该人物的结构化档案，属依法公开信息，不是风险类。,收到与人物人群匹配的权威来源档案（官员为官方简历、艺人为公开资料、历史/虚构人物为辞书或参考作品，含生卒/籍贯/履历/代表作）即满足。,False,0.105,刘强东的个人资料及简介 / 李白的个人简历介绍 / 杨靖宇将军的生平简介 / 毛泽东简介,田栩宁百度送花影响力 — 属于 ENTERTAINER_POPULARITY_METRIC_LOOKUP：打榜数值 / 迪丽热巴微博 — 属于 NAVIGATE_TO_PERSON_PAGE：站外主页跳转 / 鹿晗多大 — 属于 PERSON_ATTRIBUTE_LOOKUP：单项属性,3
PERSON_ATTRIBUTE_LOOKUP,人物单项属性查询,用户只要求人物的一项原子事实（年龄、身高、籍贯、寿命或某项公开字段），答案是一个值而非全文档案。,收到该单项事实的准确答案及计算基准或来源即满足；年龄须给日期基准，历史人物须给生卒年。,False,0.01,鹿晗多大 / 新疆马兴瑞年龄 / 康熙活了多少岁 / 毛新宇今年多大年龄?,刘强东的个人资料及简介 — 属于 BIO_PROFILE_LOOKUP：完整档案 / 马兴瑞是副国级吗 — 属于 CLAIM_VERIFICATION：命题裁决 / 毛泽东简介 — 属于 BIO_PROFILE_LOOKUP：档案,2
CLAIM_VERIFICATION,人物相关说法核实,用户已持有候选命题（生死、级别、任职、收入、真实身高、是否担任过某职等），要求系统给“是/否/现状如何”的结论和依据。,收到明确的是/否或现状结论，并附可核验依据和时间点即满足；无权威来源时必须明说无法证实，不得编造。,False,0.005,赵本山去世了吗 / 马兴瑞是副国级吗 / 檀健次身高实际多高 / 常忠民是否是一位画家,李维康的死因是什么 — 属于 PERSON_RECENT_EVENT_LOOKUP：已确认逝世要事件细节 / 习近平年龄 — 属于 PERSON_ATTRIBUTE_LOOKUP：开放字段值 / 毛泽东简介 — 属于 BIO_PROFILE_LOOKUP：档案,2
REVERSE_PERSON_RESOLUTION,作品角色反查人物,用户给出一部作品、角色/称号或署名信息，反查对应人物，并与亲属/关系查询和公共职务现任者查询分流。,收到对应人名及可核验依据（作品署名、公开报道、辞书）即满足。,False,0.02,清明上河图的作者是谁 / 钢铁是怎样炼成的作者 / 红岩作者简介 / 女儿国国王扮演者,宋佳老公是谁 — 属于 RELATIONSHIP_AND_FAMILY_STATUS：亲属关系 / 新疆党委书记是谁 — 属于 OFFICE_HOLDER_LOOKUP：公共职务 / 张函瑞是谁? — 属于 BARE_NAME_IDENTITY_LOOKUP：裸名身份,2
OFFICE_HOLDER_LOOKUP,公共职务现任者查询,用户提供公共职务/党内职务/机构领导职务（可带地区或机构），要求知道现任者姓名；或以人名问其当前具体任职。,收到该职务现任者姓名或该人的当前任职及官方出处即满足；若正在发生任免事件，则优先给任免事件。,False,0.02,中组部长现任 / 北京市市长 / 北京市市委书记 / 云南省委书记,新疆新任书记 — 属于 PERSONNEL_EVENT_LOOKUP：任免事件 / 李红军任职公示 — 属于 PERSONNEL_EVENT_LOOKUP：任免公示 / 外交部历任部长 — 属于 GROUP_ROSTER_ENUMERATION：历任名单,3
GROUP_ROSTER_ENUMERATION,群体名单枚举,用户给出边界确定的群体（代表、领导班子、历任者、获奖者、团队成员），要求枚举全部成员或完整名单。,收到人数齐全、可逐一点名核对的完整名单即满足；如原命题含人数（十三人）须列满且可核对。,False,0.005,一大代表的十三人 / 战国四公子 / 八路军三个师领导名单 / 十九届中央常委是哪几个人,北京市市长 — 属于 OFFICE_HOLDER_LOOKUP：单个职务现任者 / 金航数码董事长现在是谁 — 属于 OFFICE_HOLDER_LOOKUP：单个职务现任者 / 胡海峰现在在那个市任职 — 属于 OFFICE_HOLDER_LOOKUP：当前单个任职,1
RELATIONSHIP_AND_FAMILY_STATUS,私人家世与感情关系查询,用户查某人的配偶/亲属/家世/感情现状，或追问两人现在是否还在一起；答案受当事人自行公开信息和合法公开信息限制。,仅就当事人已自行公开或合法公开的信息作答；对官员的亲属/家世猜测拒绝放大并限定来源；无权威公开信息时明说无法证实，即满足。,True,0.0071,张家辉的老婆叫什么名字 / 管乐老公是谁 / 冯坤的丈夫是谁 / 刘宇宁前妻,清明上河图的作者是谁 — 属于 REVERSE_PERSON_RESOLUTION：创作角色空位 / 新疆党委书记是谁 — 属于 OFFICE_HOLDER_LOOKUP：公共职务 / 马兴瑞是副国级吗 — 属于 CLAIM_VERIFICATION：级别裁决,1
