source,td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
2026search,人事任免事件查询,0,29,0,0,6,0,0,0,1,0,0,2,1
2026search,人物单项属性查询,0,3,139,46,3,0,0,2,0,0,0,1,0
2026search,人物档案调阅,3,1,7,2958,6,0,0,1,1,0,0,3,1
2026search,人物相关梗与说法解释,0,6,0,4,1,1,0,1,0,0,0,0,0
2026search,人物相关说法核实,0,0,3,2,3,0,0,0,0,0,0,0,0
2026search,人物肖像图片获取,0,0,1,155,0,0,0,0,57,0,0,2,0
2026search,人物近期事件状态查询,3,3,3,21,28,0,0,1,5,0,0,0,2
2026search,作品本体获取,0,4,0,0,0,0,0,0,9,0,0,1,0
2026search,作品角色反查人物,0,0,27,1,0,0,0,2,3,0,0,0,1
2026search,公共职务现任者查询,0,110,75,1,2,0,0,1,0,0,0,0,1
2026search,垂类外非人物查询,13,252,13,15,3,0,0,19,17,0,0,8,18
2026search,性化类目浏览或非具体人物浏览,0,37,1,0,1,0,0,2,18,0,0,24,11
2026search,私人家世与感情关系查询,0,3,45,30,4,1,0,2,1,0,0,7,4
2026search,粉丝打榜投票入口,94,0,2,0,17,3,0,0,5,0,0,0,14
2026search,群体名单枚举,5,31,18,11,2,0,0,184,2,0,0,1,0
2026search,艺人平台热度数值查询,7,0,167,37,3,1,0,6,0,0,0,0,26
2026search,裸名人物身份识别,9,4791,21,77,8,0,0,4,10,0,0,16,16
2026search,跳转人物站外主页,42,3,0,43,0,0,0,0,0,0,0,1,0
2026search,黑料绯闻炒作查询,0,0,0,0,0,0,0,0,1,0,0,1,0
assistant_random,人事任免事件查询,0,10,12,9,17,1,3,4,1,0,0,1,3
assistant_random,人物单项属性查询,0,1,47,12,2,0,2,6,1,0,0,5,3
assistant_random,人物档案调阅,1,0,4,31,6,0,0,1,2,1,1,3,1
assistant_random,人物相关梗与说法解释,0,0,0,3,0,0,0,0,0,0,0,1,3
assistant_random,人物相关说法核实,0,0,25,9,55,0,4,8,0,1,0,8,1
assistant_random,人物肖像图片获取,0,0,0,1,0,0,0,0,13,1,0,1,0
assistant_random,人物近期事件状态查询,1,4,7,17,32,0,1,11,2,0,0,3,7
assistant_random,作品本体获取,0,1,0,0,1,0,0,0,0,0,0,0,0
assistant_random,作品角色反查人物,0,1,13,4,1,0,3,4,0,2,0,1,1
assistant_random,公共职务现任者查询,0,3,22,3,2,0,0,1,0,0,0,2,1
assistant_random,垂类外非人物查询,0,19,24,20,15,0,4,25,8,2,5,6,52
assistant_random,性化类目浏览或非具体人物浏览,0,1,0,0,0,0,0,0,1,1,0,0,3
assistant_random,私人家世与感情关系查询,0,3,23,18,13,0,2,6,0,0,0,4,0
assistant_random,群体名单枚举,0,3,14,6,5,0,0,73,0,0,0,1,5
assistant_random,艺人平台热度数值查询,0,0,0,0,0,0,1,0,0,0,0,0,0
assistant_random,裸名人物身份识别,0,62,8,13,5,0,0,4,3,0,3,1,8
assistant_random,黑料绯闻炒作查询,0,0,0,0,1,0,0,0,1,1,0,1,0
assistant_top,人事任免事件查询,0,0,0,0,6,0,0,0,0,0,0,0,0
assistant_top,人物单项属性查询,0,0,6,6,1,0,0,4,0,0,0,0,11
assistant_top,人物档案调阅,0,2,0,39,3,0,0,1,0,0,0,0,3
assistant_top,人物相关梗与说法解释,0,1,0,2,6,0,0,0,2,0,0,0,1
assistant_top,人物相关说法核实,0,0,0,0,10,0,0,1,0,0,0,0,0
assistant_top,人物肖像图片获取,0,0,0,0,0,0,0,1,1,0,0,0,5
assistant_top,人物近期事件状态查询,0,0,7,11,42,0,1,0,7,0,0,3,8
assistant_top,作品本体获取,0,0,0,0,0,0,0,0,0,0,0,1,0
assistant_top,作品角色反查人物,0,0,4,1,0,0,0,2,2,0,0,0,6
assistant_top,公共职务现任者查询,0,6,2,0,3,0,0,0,0,0,0,0,1
assistant_top,垂类外非人物查询,0,31,5,4,3,0,0,0,3,0,1,1,36
assistant_top,性化类目浏览或非具体人物浏览,0,6,0,0,0,0,0,0,2,0,1,4,4
assistant_top,私人家世与感情关系查询,0,0,16,18,8,0,0,0,1,0,0,1,3
assistant_top,粉丝打榜投票入口,0,0,0,0,0,0,0,0,0,0,0,0,1
assistant_top,群体名单枚举,0,2,0,4,6,0,0,8,1,0,0,0,1
assistant_top,艺人平台热度数值查询,0,0,1,0,0,0,0,0,0,0,0,0,0
assistant_top,裸名人物身份识别,1,467,1,2,3,0,0,2,0,0,2,1,7
assistant_top,跳转人物站外主页,0,0,0,0,0,0,0,0,0,0,0,1,0
assistant_top,黑料绯闻炒作查询,0,0,1,0,7,0,0,1,0,0,0,2,0
