td_l1_name,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,index_2025search,index_2026search,index_assistant_random,index_assistant_top
人事任免事件查询,1.14,0.39,6.42,0.67,1.1318,0.3872,6.3638,0.6689
人物单项属性查询,1.55,1.94,8.32,3.15,0.7424,0.9293,3.9763,1.506
人物档案调阅,10.78,29.86,5.37,5.4,0.5655,1.5668,0.2816,0.2833
人物相关梗与说法解释,0.16,0.13,0.74,1.35,0.728,0.5916,3.3471,6.1316
人物相关说法核实,0.35,0.08,11.68,1.24,0.4633,0.1059,15.4402,1.6351
人物肖像图片获取,0.77,2.15,1.68,0.79,0.5339,1.4909,1.1658,0.545
人物近期事件状态查询,1.21,0.66,8.95,8.89,0.7529,0.4107,5.5581,5.5202
作品本体获取,0.25,0.14,0.21,0.11,1.3001,0.7281,1.0929,0.584
作品角色反查人物,0.58,0.34,3.16,1.69,0.9247,0.5421,5.0259,2.6854
公共职务现任者查询,3.06,1.9,3.58,1.35,1.2313,0.7671,1.4424,0.544
垂类外非人物查询,5.54,3.59,18.95,9.45,1.0279,0.6655,3.516,1.7534
性化类目浏览或非具体人物浏览,1.05,0.94,0.63,1.91,1.033,0.9249,0.6203,1.8782
私人家世与感情关系查询,1.68,0.97,7.26,5.29,0.9631,0.5561,4.1566,3.0256
粉丝打榜投票入口,0.11,1.35,0.0,0.11,0.1634,2.006,0.0,0.1668
群体名单枚举,2.09,2.54,11.26,2.47,0.7711,0.9372,4.1483,0.9115
艺人平台热度数值查询,0.0,2.47,0.11,0.11,0.0,2.1668,0.0922,0.0985
裸名人物身份识别,69.25,49.61,11.26,54.67,1.212,0.8683,0.1971,0.9568
跳转人物站外主页,0.31,0.89,0.0,0.11,0.5596,1.6067,0.0,0.2027
黑料绯闻炒作查询,0.11,0.02,0.42,1.24,0.858,0.156,3.2788,9.6354
