domain,source,frame,label,share
人物,2026search,统一13类,裸实体,0.5283
人物,2026search,统一13类,解释与介绍,0.3407
人物,2026search,统一13类,事实与数值,0.0523
人物,2026search,统一13类,清单与推荐,0.0225
人物,2026search,统一13类,导航直达,0.0176
人物,2026search,统一13类,获取现成内容,0.013
人物,2026search,统一13类,无法判定,0.0095
人物,2026search,统一13类,核实与动态,0.0087
人物,2026search,统一13类,违规或灰色内容,0.0067
人物,2026search,统一13类,办事与操作,0.0006
人物,2026search,本次挖掘,裸名人物身份识别,0.4961
人物,2026search,本次挖掘,人物档案调阅,0.2986
人物,2026search,本次挖掘,垂类外非人物查询,0.0359
人物,2026search,本次挖掘,群体名单枚举,0.0254
人物,2026search,本次挖掘,艺人平台热度数值查询,0.0247
人物,2026search,本次挖掘,人物肖像图片获取,0.0215
人物,2026search,本次挖掘,人物单项属性查询,0.0194
人物,2026search,本次挖掘,公共职务现任者查询,0.019
人物,2026search,本次挖掘,粉丝打榜投票入口,0.0135
人物,2026search,本次挖掘,私人家世与感情关系查询,0.0097
人物,2026search,本次挖掘,性化类目浏览或非具体人物浏览,0.0094
人物,2026search,本次挖掘,跳转人物站外主页,0.0089
人物,2026search,本次挖掘,人物近期事件状态查询,0.0066
人物,2026search,本次挖掘,人事任免事件查询,0.0039
人物,2026search,本次挖掘,作品角色反查人物,0.0034
人物,2026search,本次挖掘,作品本体获取,0.0014
人物,2026search,本次挖掘,人物相关梗与说法解释,0.0013
人物,2026search,本次挖掘,人物相关说法核实,0.0008
人物,2026search,本次挖掘,黑料绯闻炒作查询,0.0002
人物,assistant_random,统一13类,事实与数值,0.2095
人物,assistant_random,统一13类,核实与动态,0.1632
人物,assistant_random,统一13类,解释与介绍,0.1537
人物,assistant_random,统一13类,清单与推荐,0.1505
人物,assistant_random,统一13类,裸实体,0.1137
人物,assistant_random,统一13类,无法判定,0.0926
人物,assistant_random,统一13类,违规或灰色内容,0.04
人物,assistant_random,统一13类,获取现成内容,0.0337
人物,assistant_random,统一13类,个案判断与建议,0.0211
人物,assistant_random,统一13类,会话与系统指令,0.0095
人物,assistant_random,统一13类,生成与编辑,0.0095
人物,assistant_random,统一13类,导航直达,0.0021
人物,assistant_random,统一13类,办事与操作,0.0011
人物,assistant_random,本次挖掘,垂类外非人物查询,0.1895
人物,assistant_random,本次挖掘,人物相关说法核实,0.1168
人物,assistant_random,本次挖掘,裸名人物身份识别,0.1126
人物,assistant_random,本次挖掘,群体名单枚举,0.1126
人物,assistant_random,本次挖掘,人物近期事件状态查询,0.0895
人物,assistant_random,本次挖掘,人物单项属性查询,0.0832
人物,assistant_random,本次挖掘,私人家世与感情关系查询,0.0726
人物,assistant_random,本次挖掘,人事任免事件查询,0.0642
人物,assistant_random,本次挖掘,人物档案调阅,0.0537
人物,assistant_random,本次挖掘,公共职务现任者查询,0.0358
人物,assistant_random,本次挖掘,作品角色反查人物,0.0316
人物,assistant_random,本次挖掘,人物肖像图片获取,0.0168
人物,assistant_random,本次挖掘,人物相关梗与说法解释,0.0074
人物,assistant_random,本次挖掘,性化类目浏览或非具体人物浏览,0.0063
人物,assistant_random,本次挖掘,黑料绯闻炒作查询,0.0042
人物,assistant_random,本次挖掘,作品本体获取,0.0021
人物,assistant_random,本次挖掘,艺人平台热度数值查询,0.0011
人物,assistant_top,统一13类,裸实体,0.5793
人物,assistant_top,统一13类,核实与动态,0.1102
人物,assistant_top,统一13类,解释与介绍,0.0979
人物,assistant_top,统一13类,无法判定,0.0979
人物,assistant_top,统一13类,事实与数值,0.0484
人物,assistant_top,统一13类,清单与推荐,0.0225
人物,assistant_top,统一13类,获取现成内容,0.0214
人物,assistant_top,统一13类,违规或灰色内容,0.0157
人物,assistant_top,统一13类,会话与系统指令,0.0045
人物,assistant_top,统一13类,导航直达,0.0011
人物,assistant_top,统一13类,个案判断与建议,0.0011
人物,assistant_top,本次挖掘,裸名人物身份识别,0.5467
人物,assistant_top,本次挖掘,垂类外非人物查询,0.0945
人物,assistant_top,本次挖掘,人物近期事件状态查询,0.0889
人物,assistant_top,本次挖掘,人物档案调阅,0.054
人物,assistant_top,本次挖掘,私人家世与感情关系查询,0.0529
人物,assistant_top,本次挖掘,人物单项属性查询,0.0315
人物,assistant_top,本次挖掘,群体名单枚举,0.0247
人物,assistant_top,本次挖掘,性化类目浏览或非具体人物浏览,0.0191
人物,assistant_top,本次挖掘,作品角色反查人物,0.0169
人物,assistant_top,本次挖掘,公共职务现任者查询,0.0135
人物,assistant_top,本次挖掘,人物相关梗与说法解释,0.0135
人物,assistant_top,本次挖掘,黑料绯闻炒作查询,0.0124
人物,assistant_top,本次挖掘,人物相关说法核实,0.0124
人物,assistant_top,本次挖掘,人物肖像图片获取,0.0079
人物,assistant_top,本次挖掘,人事任免事件查询,0.0067
人物,assistant_top,本次挖掘,粉丝打榜投票入口,0.0011
人物,assistant_top,本次挖掘,艺人平台热度数值查询,0.0011
人物,assistant_top,本次挖掘,作品本体获取,0.0011
人物,assistant_top,本次挖掘,跳转人物站外主页,0.0011
