td_l1_name,2025search,2026search,assistant_random,assistant_top
人事任免事件查询,126.33041444585592,28.459229420725638,574.0432612312811,94.59302614780056
人物单项属性查询,65.20707223681414,139.77177632713173,723.7936772046589,290.742982208884
人物档案调阅,690.937987077732,2310.865534155572,524.126455906822,575.8485185123775
人物相关梗与说法解释,6.0567794188043464,4.857326160780194,58.23627287853577,96.20964666478751
人物相关说法核实,37.644657220341095,4.775107468823057,965.0582362728785,90.57220075939713
人物肖像图片获取,37.1996160389627,146.5342637406062,133.11148086522462,155.27847324700303
人物近期事件状态查询,121.40080479117472,39.660241532823626,865.22462562396,732.5363532357281
作品本体获取,17.941287716109937,15.462252756188947,16.638935108153078,8.870686939364296
作品角色反查人物,29.03115137578504,16.32811835586254,257.9034941763727,154.82250335759645
公共职务现任者查询,221.93892286974207,147.6262307431619,299.5008319467554,87.58767057419045
垂类外非人物查询,322.22890286298104,231.59592390557285,1630.6156405990016,987.7551358790271
性化类目浏览或非具体人物浏览,125.255484278644,101.99357203988943,49.91680532445923,229.97463149342573
私人家世与感情关系查询,91.67948797158166,47.248769867054946,607.3211314475873,438.0627082953358
粉丝打榜投票入口,10.847753220144192,119.28647535918648,0.0,16.622175059276085
群体名单枚举,137.44539329635373,385.4348045597459,973.377703826955,218.74119149077282
艺人平台热度数值查询,0.0,193.28329812060917,8.319467554076539,4.725506126577241
裸名人物身份识别,7933.039887443761,5993.448454918078,2279.5341098169715,5726.650196481571
跳转人物站外主页,20.199645674887872,72.54257964743083,0.0,5.264379632239558
黑料绯闻炒作查询,5.614752060324679,0.826040920756854,33.277870216306155,85.14201389464608
