new_class,n_total,n_assistant,assistant_share,main_old_class,main_old_share,n_old_classes_feeding
人物相关说法核实,165,122,0.7394,亲属与感情关系查询,0.2791,9
黑料绯闻炒作查询,28,15,0.5357,亲属与感情关系查询,0.2308,6
人物近期事件状态查询,351,164,0.4672,人物近况与突发状态查询,0.4332,14
人物相关梗与说法解释,48,19,0.3958,裸名身份查询,0.3103,10
作品角色反查人物,137,45,0.3285,由职务/作品/关系反查人物,0.7717,7
人事任免事件查询,220,67,0.3045,裸名身份查询,0.3856,9
私人家世与感情关系查询,381,116,0.3045,亲属与感情关系查询,0.8038,11
人物单项属性查询,456,107,0.2346,人物单一属性查询,0.8109,10
垂类外非人物查询,1175,264,0.2247,裸名身份查询,0.5609,14
群体名单枚举,592,129,0.2179,名单人数排名查询,0.7019,12
性化类目浏览或非具体人物浏览,222,23,0.1036,非人物类目浏览与拒识,0.7688,8
公共职务现任者查询,541,46,0.085,由职务/作品/关系反查人物,0.8929,8
人物肖像图片获取,315,23,0.073,人物图片查询,0.9555,4
作品本体获取,42,3,0.0714,人物图片查询,0.5128,5
裸名人物身份识别,12458,593,0.0476,裸名身份查询,0.9463,14
人物档案调阅,4156,99,0.0238,人物生平简介查询,0.982,12
跳转人物站外主页,121,1,0.0083,人物生平简介查询,0.5833,6
艺人平台热度数值查询,249,2,0.008,粉丝送花与影响力查询,1.0,1
粉丝打榜投票入口,147,1,0.0068,粉丝送花与影响力查询,0.9178,5
