sid,code
n00440,U
n00441,U
n00442,U
n00443,U
n00444,U
n00445,U
n00446,U
n00447,U
n00448,U
n00449,U
n00450,U
n00451,U
n00452,U
n00453,U
n00454,U
n00455,U
n00456,U
n00457,U
n00458,U
n00459,U
n00460,U
n00461,U
n00462,U
n00463,U
n00464,U
n00465,U
n00466,U
n00467,U
n00468,U
n00469,U
n00470,U
n00471,U
n00472,U
n00473,U
n00474,U
n00475,U
n00476,U
n00477,U
n00478,U
n00479,U
n00400,U
n00401,U
n00402,U
n00403,U
n00404,U
n00405,U
n00406,U
n00407,U
n00408,U
n00409,U
n00410,U
n00411,U
n00412,U
n00413,U
n00414,U
n00415,U
n00416,U
n00417,U
n00418,U
n00419,U
n00420,U
n00421,U
n00422,U
n00423,U
n00424,U
n00425,U
n00426,U
n00427,U
n00428,U
n00429,U
n00430,U
n00431,U
n00432,U
n00433,U
n00434,U
n00435,U
n00436,U
n00437,U
n00438,U
n00439,U
n00280,U
n00281,U
n00282,U
n00283,U
n00284,U
n00285,U
n00286,U
n00287,U
n00288,U
n00289,U
n00290,U
n00291,U
n00292,U
n00293,U
n00294,U
n00295,U
n00296,U
n00297,U
n00298,U
n00299,U
n00300,U
n00301,U
n00302,U
n00303,U
n00304,U
n00305,U
n00306,U
n00307,U
n00308,U
n00309,U
n00310,U
n00311,U
n00312,U
n00313,U
n00314,U
n00315,U
n00316,U
n00317,U
n00318,U
n00319,U
n00320,U
n00321,U
n00322,U
n00323,U
n00324,U
n00325,U
n00326,U
n00327,U
n00328,U
n00329,U
n00330,U
n00331,U
n00332,U
n00333,U
n00334,U
n00335,U
n00336,U
n00337,U
n00338,U
n00339,U
n00340,U
n00341,U
n00342,U
n00343,U
n00344,U
n00345,U
n00346,U
n00347,U
n00348,U
n00349,U
n00350,U
n00351,U
n00352,U
n00353,U
n00354,U
n00355,U
n00356,U
n00357,U
n00358,U
n00359,U
n00360,U
n00361,U
n00362,U
n00363,U
n00364,U
n00365,U
n00366,U
n00367,U
n00368,U
n00369,U
n00370,U
n00371,U
n00372,U
n00373,U
n00374,U
n00375,U
n00376,U
n00377,U
n00378,U
n00379,U
n00380,U
n00381,U
n00382,U
n00383,U
n00384,U
n00385,U
n00386,U
n00387,U
n00388,U
n00389,U
n00390,U
n00391,U
n00392,U
n00393,U
n00394,U
n00395,U
n00396,U
n00397,U
n00398,U
n00399,U
n00520,U
n00521,U
n00522,U
n00523,U
n00524,U
n00525,U
n00526,U
n00527,U
n00528,U
n00529,U
n00530,U
n00531,U
n00532,U
n00533,U
n00534,U
n00535,U
n00536,U
n00537,U
n00538,U
n00539,U
n00540,U
n00541,U
n00542,U
n00543,U
n00544,U
n00545,U
n00546,U
n00547,U
n00548,U
n00549,U
n00550,U
n00551,U
n00552,U
n00553,U
n00554,U
n00555,U
n00556,U
n00557,U
n00558,U
n00559,U
n00240,U
n00241,U
n00242,U
n00243,U
n00244,U
n00245,U
n00246,U
n00247,U
n00248,U
n00249,U
n00250,U
n00251,U
n00252,U
n00253,U
n00254,U
n00255,U
n00256,U
n00257,U
n00258,U
n00259,U
n00260,U
n00261,U
n00262,U
n00263,U
n00264,U
n00265,U
n00266,U
n00267,U
n00268,U
n00269,U
n00270,U
n00271,U
n00272,U
n00273,U
n00274,U
n00275,U
n00276,U
n00277,U
n00278,U
n00279,U
n00560,U
n00561,U
n00562,U
n00563,U
n00564,U
n00565,U
n00566,U
n00567,U
n00568,U
n00569,U
n00570,U
n00571,U
n00572,U
n00573,U
n00574,U
n00575,U
n00576,U
n00577,U
n00578,U
n00579,U
n00580,U
n00581,U
n00582,U
n00583,U
n00584,U
n00585,U
n00586,U
n00587,U
n00588,U
n00589,U
n00590,U
n00591,U
n00592,U
n00593,U
n00594,U
n00595,U
n00596,U
n00597,U
n00598,U
n00599,U
n00600,U
n00601,U
n00602,U
n00603,U
n00604,U
n00605,U
n00606,U
n00607,U
n00608,U
n00609,U
n00610,U
n00611,U
n00612,U
n00613,U
n00614,U
n00615,U
n00616,U
n00617,U
n00618,U
n00619,U
n00620,U
n00621,U
n00622,U
n00623,U
n00624,U
n00625,U
n00626,U
n00627,U
n00628,U
n00629,U
n00630,U
n00631,U
n00632,U
n00633,U
n00634,U
n00635,U
n00636,U
n00637,U
n00638,U
n00639,U
n00640,U
n00641,U
n00642,U
n00643,U
n00644,U
n00645,U
n00646,U
n00647,U
n00648,U
n00649,U
n00650,U
n00651,U
n00652,U
n00653,U
n00654,U
n00655,U
n00656,U
n00657,U
n00658,U
n00659,U
n00660,U
n00661,U
n00662,U
n00663,U
n00664,U
n00665,U
n00666,U
n00667,U
n00668,U
n00669,U
n00670,U
n00671,U
n00672,U
n00673,U
n00674,U
n00675,U
n00676,U
n00677,U
n00678,U
n00679,U
n00160,U
n00161,U
n00162,U
n00163,U
n00164,U
n00165,U
n00166,U
n00167,U
n00168,U
n00169,U
n00170,U
n00171,U
n00172,A
n00173,U
n00174,D
n00175,D
n00176,D
n00177,D
n00178,U
n00179,D
n00180,U
n00181,A
n00182,A
n00183,A
