bucket,n,label,share
助手行·在搜索里也出现,76,获取现成可直接发布文案,0.7105
助手行·在搜索里也出现,76,获取个人装饰用图（头像/壁纸）,0.0789
助手行·在搜索里也出现,76,获取说明性/参考图片,0.0526
助手行·在搜索里也出现,76,依赖前文的修改或追问,0.0526
助手行·在搜索里也出现,76,学习某类文字怎么写,0.0395
助手行·在搜索里也出现,76,现场生成或改写文字内容,0.0132
助手行·在搜索里也出现,76,进入指定网站或电子报刊页面,0.0132
助手行·在搜索里也出现,76,获取漫画免费阅读或下载入口,0.0132
助手行·在搜索里也出现,76,获取故事或典故全文/梗概,0.0132
助手行·在搜索里也出现,76,倾诉并寻求情绪支持,0.0132
助手行·搜索里没有,1727,依赖前文的修改或追问,0.3578
助手行·搜索里没有,1727,获取现成可直接发布文案,0.2032
助手行·搜索里没有,1727,倾诉并寻求情绪支持,0.1326
助手行·搜索里没有,1727,获取说明性/参考图片,0.0573
助手行·搜索里没有,1727,现场生成或改写文字内容,0.0533
助手行·搜索里没有,1727,生成或修改图片,0.0475
助手行·搜索里没有,1727,查询词语或概念的含义,0.0417
助手行·搜索里没有,1727,索取露骨或性化内容,0.0301
助手行·搜索里没有,1727,学习某类文字怎么写,0.0093
助手行·搜索里没有,1727,补全或解释给定句子,0.0093
助手行·搜索里没有,1727,获取漫画免费阅读或下载入口,0.0087
助手行·搜索里没有,1727,获取单位或组织指定写作成稿,0.0087
助手行·搜索里没有,1727,获取可套用文书模板或范文,0.0075
助手行·搜索里没有,1727,获取个人装饰用图（头像/壁纸）,0.0069
助手行·搜索里没有,1727,获取故事或典故全文/梗概,0.0069
助手行·搜索里没有,1727,查询官方政策法规或合规原文,0.0052
助手行·搜索里没有,1727,获取应景问候图片,0.0041
助手行·搜索里没有,1727,查询具体数字或年度主题,0.0035
助手行·搜索里没有,1727,进入指定网站或电子报刊页面,0.0035
助手行·搜索里没有,1727,索取受限、欺骗性或有害内容,0.0029
