td_l1_name,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,index_2025search,index_2026search,index_assistant_random,index_assistant_top
依赖前文的修改或追问,1.93,1.92,25.71,44.35,0.418,0.4156,5.5619,9.5956
倾诉并寻求情绪支持,0.19,0.25,23.5,0.71,0.1513,0.1989,18.6888,0.5613
学习某类文字怎么写,2.56,1.87,0.63,1.53,1.2086,0.8823,0.2969,0.7212
查询具体数字或年度主题,2.11,1.75,0.63,0.0,1.1741,0.9731,0.3499,0.0
查询官方政策法规或合规原文,3.12,2.29,0.94,0.0,1.2373,0.9075,0.3741,0.0
查询词语或概念的含义,14.13,11.98,4.2,3.76,1.1484,0.9735,0.3412,0.306
现场生成或改写文字内容,0.72,0.8,9.13,0.71,0.641,0.7117,8.1178,0.6277
生成或修改图片,0.03,0.05,3.67,5.53,0.0727,0.1211,8.8902,13.3849
索取受限、欺骗性或有害内容,0.52,0.54,0.52,0.0,1.0218,1.0604,1.0297,0.0
索取露骨或性化内容,0.93,0.95,2.1,3.76,0.8452,0.8628,1.905,3.4174
获取个人装饰用图（头像/壁纸）,6.31,6.68,0.52,1.53,1.0442,1.1064,0.0869,0.2532
获取单位或组织指定写作成稿,2.73,1.74,1.47,0.12,1.2889,0.8209,0.6927,0.0555
获取可套用文书模板或范文,5.72,4.41,0.84,0.59,1.2151,0.9378,0.1784,0.125
获取应景问候图片,3.34,4.69,0.52,0.24,0.8994,1.2621,0.1411,0.0633
获取故事或典故全文/梗概,3.89,4.22,1.26,0.12,1.0297,1.1163,0.3329,0.0311
获取漫画免费阅读或下载入口,11.38,16.48,1.26,0.47,0.8857,1.2821,0.098,0.0366
获取现成可直接发布文案,12.02,9.81,14.48,31.41,1.0126,0.8265,1.2195,2.6453
获取说明性/参考图片,23.2,24.48,6.4,4.94,1.0384,1.0959,0.2865,0.2212
补全或解释给定句子,1.91,1.29,1.57,0.12,1.2399,0.8368,1.0206,0.0763
进入指定网站或电子报刊页面,3.23,3.78,0.63,0.12,0.9951,1.1637,0.1937,0.0362
