td_l1_name,2025search,2026search,assistant_random,assistant_top
依赖前文的修改或追问,197.28145049625726,303.8585589617616,2464.3755238893546,5333.884656596621
倾诉并寻求情绪支持,14.337577734585164,17.43436887359209,1953.0595138306792,37.23530973627788
学习某类文字怎么写,251.30668424530603,145.91771969954038,50.29337803855826,188.1285688648583
查询具体数字或年度主题,142.7004215318944,114.85940334212286,58.6756077116513,0.0
查询官方政策法规或合规原文,202.58089324692656,148.09349285996927,75.44006705783738,0.0
查询词语或概念的含义,1114.4404967904443,1034.1010167511986,402.3470243084661,373.2976232580057
现场生成或改写文字内容,53.2852505844736,54.19140716156299,846.6051969823974,44.77052743375463
生成或修改图片,1.845110860141566,3.359483947190716,352.0536462699078,514.9345286133625
索取受限、欺骗性或有害内容,37.138107032586724,79.29171255894597,50.29337803855826,0.0
索取露骨或性化内容,94.21698309833214,68.001366340451,368.8181056160939,259.35631609713505
获取个人装饰用图（头像/壁纸）,966.3824678923244,945.5876334915748,50.29337803855826,141.1121687468975
获取单位或组织指定写作成稿,215.4417360198923,161.159405258607,125.73344509639566,6.937017963833053
获取可套用文书模板或范文,514.8376318599913,400.71428490904026,75.44006705783738,43.84699100286611
获取应景问候图片,597.5024760353706,789.2758057406592,41.911148365465216,10.358300650988237
获取故事或典故全文/梗概,328.98552832051286,354.92722433348627,100.58675607711652,7.671649215676192
获取漫画免费阅读或下载入口,1306.95568017863,1773.9315319134064,125.73344509639566,21.220348446097482
获取现成可直接发布文案,1436.843729450522,934.2409200927578,2036.8818105616094,2491.082101339233
获取说明性/参考图片,1800.0332830855682,1843.781741768419,611.9027661357921,512.2163929815429
补全或解释给定句子,102.04658662569292,74.53995925780207,150.88013411567476,5.509734388823531
进入指定网站或电子报刊页面,621.8379049105476,752.7329627379117,58.6756077116513,8.437764664026892
