source,label,rank,query,pv_raw,tier
2025search,1,top_pv,七月你好文案,58226.0,user
2025search,1,top_pv,7月最火文案短句,17334.0,user
2025search,1,top_pv,感谢老师辛苦付出的感谢话,10893.0,user
2025search,1,top_pv,毕业赠言,7094.0,user
2025search,1,top_pv,家长寄语怎么写,6907.0,user
2025search,1,top_pv,生日文案致自己,5072.0,user
2025search,1,sample,期待落空写一段话,107.0,user
2025search,1,sample,离别的文案,236.0,user
2025search,1,sample,四大民间故事,89.0,user
2025search,1,sample,林黛玉阴阳怪气经典语录,109.0,user
2025search,1,sample,成长寄语,1220.0,user
2025search,1,sample,伤感的文案,95.0,user
2025search,4,top_pv,联合早报,41296.0,user
2025search,4,top_pv,进击的巨人,6832.0,user
2025search,4,top_pv,人民日报,4467.0,user
2025search,4,top_pv,四个自信,3797.0,user
2025search,4,top_pv,背景图,3607.0,user
2025search,4,top_pv,欧美大片高清ppt,3493.0,user
2025search,4,sample,羊城晚报电子版数字报,141.0,user
2025search,4,sample,居住证明模板,257.0,user
2025search,4,sample,考勤表,354.0,user
2025search,4,sample,开业邀请函模板,150.0,user
2025search,4,sample,预算,85.0,user
2025search,4,sample,公文格式要求及字体大小,206.0,user
2025search,15,top_pv,头像,35093.0,user
2025search,15,top_pv,图片头像,4814.0,user
2025search,15,top_pv,好看的头像,3165.0,user
2025search,15,top_pv,权威头像,2039.0,user
2025search,15,top_pv,抽象头像,1674.0,user
2025search,15,top_pv,闺蜜头像,1575.0,user
2025search,15,sample,欧文头像,108.0,user
2025search,15,sample,网络图片头像,84.0,user
2025search,15,sample,动态头像,119.0,user
2025search,15,sample,纯黑头像,87.0,user
2025search,15,sample,库里头像,106.0,user
2025search,15,sample,氛围感头像,143.0,user
2025search,3,top_pv,七一精美图片,18086.0,user
2025search,3,top_pv,七一图片高清大图,11272.0,user
2025search,3,top_pv,七月你好图片,10176.0,user
2025search,3,top_pv,七月图片,7212.0,user
2025search,3,top_pv,早上好图片,7126.0,user
2025search,3,top_pv,早安图片,5998.0,user
2025search,3,sample,庆祝七一主持词开场,621.0,user
2025search,3,sample,小面包字体,118.0,user
2025search,3,sample,莲藕图片,111.0,user
