轴,科室,码,前快照,后快照,前%,后%,差_pp,n_前,n_后
界面（同一天，都是随机 1w）,就医事务,JY,传统搜索随机1w,健康管家随机1w,9.36,1.63,-7.73,10000,10316
界面（同一天，都是随机 1w）,儿科,EK,传统搜索随机1w,健康管家随机1w,3.95,6.73,2.78,10000,10316
界面（同一天，都是随机 1w）,养生保健营养,YS,传统搜索随机1w,健康管家随机1w,11.97,10.05,-1.92,10000,10316
界面（同一天，都是随机 1w）,心血管内科,NK_XX,传统搜索随机1w,健康管家随机1w,3.94,5.28,1.34,10000,10316
界面（同一天，都是随机 1w）,肿瘤科,ZL,传统搜索随机1w,健康管家随机1w,1.69,2.98,1.29,10000,10316
界面（同一天，都是随机 1w）,骨科,WK_GK,传统搜索随机1w,健康管家随机1w,4.09,5.15,1.06,10000,10316
界面（同一天，都是随机 1w）,消化内科,NK_XH,传统搜索随机1w,健康管家随机1w,5.45,6.49,1.04,10000,10316
界面（同一天，都是随机 1w）,中医科,ZY,传统搜索随机1w,健康管家随机1w,6.17,5.18,-0.99,10000,10316
界面（同一天，都是随机 1w）,药品通用问题,YP_GENERIC,传统搜索随机1w,健康管家随机1w,5.87,4.89,-0.98,10000,10316
界面（同一天，都是随机 1w）,妇科,FCK_FK,传统搜索随机1w,健康管家随机1w,5.08,5.95,0.87,10000,10316
界面（同一天，都是随机 1w）,无法判断,WFPD,传统搜索随机1w,健康管家随机1w,3.23,2.41,-0.82,10000,10316
界面（同一天，都是随机 1w）,产科,FCK_CK,传统搜索随机1w,健康管家随机1w,2.22,3.01,0.79,10000,10316
界面（同一天，都是随机 1w）,普通外科,WK_PW,传统搜索随机1w,健康管家随机1w,2.38,3.16,0.78,10000,10316
界面（同一天，都是随机 1w）,非医疗内容,FYL,传统搜索随机1w,健康管家随机1w,2.0,1.48,-0.52,10000,10316
界面（同一天，都是随机 1w）,口腔科,KQ,传统搜索随机1w,健康管家随机1w,1.34,1.71,0.37,10000,10316
界面（同一天，都是随机 1w）,检验影像病理,JC,传统搜索随机1w,健康管家随机1w,2.84,2.5,-0.34,10000,10316
界面（同一天，都是随机 1w）,感染科,GR,传统搜索随机1w,健康管家随机1w,1.07,1.38,0.31,10000,10316
界面（同一天，都是随机 1w）,呼吸内科,NK_HX,传统搜索随机1w,健康管家随机1w,2.91,3.2,0.29,10000,10316
界面（同一天，都是随机 1w）,眼科,YK,传统搜索随机1w,健康管家随机1w,1.18,1.45,0.27,10000,10316
界面（同一天，都是随机 1w）,神经内科,NK_SJ,传统搜索随机1w,健康管家随机1w,2.69,2.95,0.26,10000,10316
界面（同一天，都是随机 1w）,全科/综合,QK,传统搜索随机1w,健康管家随机1w,1.22,1.45,0.23,10000,10316
界面（同一天，都是随机 1w）,神经外科,WK_SJ,传统搜索随机1w,健康管家随机1w,0.19,0.38,0.19,10000,10316
界面（同一天，都是随机 1w）,耳鼻咽喉科,EB,传统搜索随机1w,健康管家随机1w,2.35,2.52,0.17,10000,10316
界面（同一天，都是随机 1w）,肾内科,NK_SN,传统搜索随机1w,健康管家随机1w,0.86,1.01,0.15,10000,10316
界面（同一天，都是随机 1w）,男科,NANKE,传统搜索随机1w,健康管家随机1w,1.37,1.51,0.14,10000,10316
界面（同一天，都是随机 1w）,康复医学科,KF,传统搜索随机1w,健康管家随机1w,0.3,0.43,0.13,10000,10316
界面（同一天，都是随机 1w）,血液内科,NK_XY,传统搜索随机1w,健康管家随机1w,0.6,0.72,0.12,10000,10316
界面（同一天，都是随机 1w）,泌尿外科,WK_MN,传统搜索随机1w,健康管家随机1w,1.61,1.73,0.12,10000,10316
界面（同一天，都是随机 1w）,急诊科,JZ,传统搜索随机1w,健康管家随机1w,1.02,1.14,0.12,10000,10316
界面（同一天，都是随机 1w）,医学美容科,MR,传统搜索随机1w,健康管家随机1w,0.09,0.2,0.11,10000,10316
界面（同一天，都是随机 1w）,内分泌科,NK_NF,传统搜索随机1w,健康管家随机1w,3.29,3.39,0.1,10000,10316
界面（同一天，都是随机 1w）,疼痛科,TT,传统搜索随机1w,健康管家随机1w,0.07,0.16,0.09,10000,10316
界面（同一天，都是随机 1w）,风湿免疫科,NK_FS,传统搜索随机1w,健康管家随机1w,0.59,0.68,0.09,10000,10316
界面（同一天，都是随机 1w）,心胸外科,WK_XX,传统搜索随机1w,健康管家随机1w,0.13,0.22,0.09,10000,10316
界面（同一天，都是随机 1w）,皮肤科,PF,传统搜索随机1w,健康管家随机1w,4.32,4.26,-0.06,10000,10316
界面（同一天，都是随机 1w）,性病科,PF_XB,传统搜索随机1w,健康管家随机1w,0.41,0.47,0.06,10000,10316
界面（同一天，都是随机 1w）,精神心理科,JS,传统搜索随机1w,健康管家随机1w,1.69,1.71,0.02,10000,10316
界面（同一天，都是随机 1w）,烧伤整形科,WK_SZ,传统搜索随机1w,健康管家随机1w,0.14,0.15,0.01,10000,10316
界面（同一天，都是随机 1w）,生殖医学科,FCK_SZ,传统搜索随机1w,健康管家随机1w,0.32,0.32,-0.0,10000,10316
