legacy,中医科,产科,儿科,全科/综合,养生保健营养,内分泌科,医学美容科,口腔科,呼吸内科,妇科,就医事务,康复医学科,心胸外科,心血管内科,急诊科,性病科,感染科,无法判断,普通外科,检验影像病理,泌尿外科,消化内科,烧伤整形科,生殖医学科,男科,疼痛科,皮肤科,眼科,神经内科,神经外科,精神心理科,耳鼻咽喉科,肾内科,肿瘤科,药品通用问题,血液内科,非医疗内容,风湿免疫科,骨科
(无科室),822,80,324,63,1992,204,13,49,207,300,113,21,0,323,74,9,53,292,83,106,57,316,9,6,124,9,200,60,113,4,152,119,38,71,1079,24,241,36,125
中医科,230,0,1,1,9,2,1,1,3,5,138,1,0,3,2,0,2,2,4,1,1,6,0,1,0,0,5,1,2,0,3,4,1,4,0,1,7,1,9
五官科,1,0,1,0,0,0,0,2,0,0,21,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0
体检科,1,0,0,2,3,3,0,0,2,1,71,0,0,1,0,1,0,3,4,50,2,2,0,0,0,0,0,1,0,0,0,1,0,3,0,2,2,0,2
儿科,1,0,712,1,3,3,0,3,1,1,11,0,0,1,0,1,1,10,0,1,2,1,0,0,3,0,0,0,4,0,3,2,3,0,0,0,3,0,2
内科,40,10,14,50,82,397,4,7,322,10,239,13,27,541,47,4,111,59,146,261,42,781,0,1,7,5,16,7,228,47,13,10,109,257,4,76,19,72,26
医疗服务其它,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
口腔科,11,1,1,2,5,4,1,216,2,1,0,2,1,2,0,1,1,2,0,1,0,6,0,1,0,0,9,0,6,0,1,4,0,8,0,0,2,0,1
外科,9,2,5,21,14,1,2,7,6,2,113,26,4,3,48,2,8,44,192,20,138,11,15,1,0,2,11,1,11,4,4,2,17,13,3,8,19,12,643
妇产科,7,437,17,10,18,11,1,4,4,766,103,2,2,6,2,4,2,35,86,36,14,5,1,37,14,1,14,1,2,0,3,4,3,64,0,6,21,1,8
康复科,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
戒毒科,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
无明确科室,15,0,4,114,88,49,2,12,47,15,7,5,1,55,28,2,20,76,28,38,20,73,0,1,3,3,34,2,182,0,24,28,17,29,3,9,12,1,108
生殖医学科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
男科,6,0,0,3,0,2,1,0,2,4,8,0,0,0,0,6,1,12,1,4,62,2,0,0,140,0,11,0,0,0,1,1,0,13,0,0,2,0,5
皮肤科,1,1,7,4,9,1,4,4,1,17,29,0,0,2,14,58,47,17,17,11,1,4,4,0,0,2,556,9,4,0,0,9,1,6,1,8,9,6,8
眼科,2,0,0,0,4,0,1,0,0,0,1,0,1,0,1,0,0,5,1,3,0,1,0,0,0,0,2,180,10,0,1,1,1,1,0,0,3,0,1
精神科,2,0,1,1,5,1,0,0,5,0,16,3,0,1,0,1,0,8,0,4,0,2,0,1,2,1,4,0,8,0,140,1,0,0,0,0,4,0,0
综合医院,0,0,0,0,0,0,0,0,0,0,180,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
耳鼻咽喉科,3,1,2,0,2,1,0,5,18,0,0,0,0,1,3,0,3,4,1,3,0,4,0,0,0,0,9,2,3,3,0,307,0,6,0,0,2,0,2
