科室,码,总行数,搜索_行数,搜索_中位串长,搜索_问句%,搜索_第一人称%,AI助手_行数,AI助手_中位串长,AI助手_问句%,AI助手_第一人称%,差_中位串长,差_问句%,差_第一人称%
养生保健营养,YS,5777,5212,10.0,27.6,0.3,565,8.0,30.8,1.9,-2.0,3.2,1.6
中医科,ZY,4020,3690,9.0,17.1,0.2,330,7.0,20.3,0.9,-2.0,3.2,0.7
药品通用问题,YP_GENERIC,3594,3238,10.0,20.4,0.1,356,7.0,21.6,0.8,-3.0,1.2,0.7
消化内科,NK_XH,2423,2249,11.0,47.4,0.4,174,10.5,41.4,1.7,-0.5,-6.0,1.3
就医事务,JY,2283,2119,10.0,17.6,0.6,164,12.0,18.3,1.2,2.0,0.7,0.6
皮肤科,PF,2241,2073,11.0,49.4,0.4,168,9.0,38.7,3.6,-2.0,-10.7,3.2
妇科,FCK_FK,2134,2027,12.0,56.2,0.7,107,12.0,45.8,8.4,0.0,-10.4,7.7
无法判断,WFPD,1994,1370,4.0,12.3,0.5,624,4.0,15.5,4.6,0.0,3.2,4.1
心血管内科,NK_XX,1906,1740,11.0,41.9,0.3,166,9.5,29.5,2.4,-1.5,-12.4,2.1
骨科,WK_GK,1486,1366,12.0,50.7,0.5,120,11.0,44.2,5.0,-1.0,-6.5,4.5
内分泌科,NK_NF,1418,1282,11.0,48.4,0.3,136,10.0,49.3,2.9,-1.0,0.9,2.6
儿科,EK,1162,1102,12.0,52.2,34.1,60,14.0,61.7,38.3,2.0,9.5,4.2
检验影像病理,JC,1159,1118,11.0,47.2,0.5,41,12.0,56.1,2.4,1.0,8.9,1.9
神经内科,NK_SJ,1137,1037,11.0,51.7,0.2,100,9.0,26.0,2.0,-2.0,-25.7,1.8
呼吸内科,NK_HX,1034,962,11.0,43.9,0.0,72,12.0,44.4,4.2,1.0,0.5,4.2
普通外科,WK_PW,1012,926,11.0,54.3,1.1,86,11.0,44.2,3.5,0.0,-10.1,2.4
耳鼻咽喉科,EB,774,707,11.0,55.2,0.3,67,11.0,43.3,10.4,0.0,-11.9,10.1
非医疗内容,FYL,774,666,10.0,25.4,2.1,108,12.0,25.9,4.6,2.0,0.5,2.5
产科,FCK_CK,768,737,11.0,51.8,4.1,31,9.0,29.0,16.1,-2.0,-22.8,12.0
肿瘤科,ZL,700,653,11.0,46.9,0.5,47,10.0,36.2,2.1,-1.0,-10.7,1.6
精神心理科,JS,689,634,11.0,37.4,3.2,55,8.0,27.3,7.3,-3.0,-10.1,4.1
泌尿外科,WK_MN,614,573,11.0,53.4,0.5,41,9.0,29.3,7.3,-2.0,-24.1,6.8
口腔科,KQ,568,514,11.0,58.0,1.4,54,9.0,50.0,1.9,-2.0,-8.0,0.5
感染科,GR,560,526,10.0,45.1,0.6,34,10.0,44.1,2.9,0.0,-1.0,2.3
男科,NANKE,548,491,11.0,42.6,1.0,57,10.0,36.8,1.8,-1.0,-5.8,0.8
眼科,YK,534,488,11.0,53.7,0.6,46,11.0,56.5,2.2,0.0,2.8,1.6
全科/综合,QK,517,470,10.0,47.9,0.6,47,9.0,31.9,4.3,-1.0,-16.0,3.7
肾内科,NK_SN,412,381,11.0,59.6,0.0,31,13.0,51.6,6.5,2.0,-8.0,6.5
急诊科,JZ,411,385,11.0,47.8,1.0,26,8.0,38.5,3.8,-3.0,-9.3,2.8
血液内科,NK_XY,383,373,11.0,47.2,2.4,10,11.0,50.0,0.0,0.0,2.8,-2.4
风湿免疫科,NK_FS,313,283,11.0,42.4,0.0,30,11.0,63.3,3.3,0.0,20.9,3.3
性病科,PF_XB,228,209,10.0,54.1,1.0,19,9.0,47.4,10.5,-1.0,-6.7,9.5
康复医学科,KF,114,104,10.0,30.8,0.0,10,8.5,20.0,10.0,-1.5,-10.8,10.0
生殖医学科,FCK_SZ,114,100,12.0,40.0,2.0,14,10.0,35.7,7.1,-2.0,-4.3,5.1
烧伤整形科,WK_SZ,60,56,10.0,44.6,1.8,4,4.5,25.0,0.0,-5.5,-19.6,-1.8
神经外科,WK_SJ,60,57,10.0,47.4,0.0,3,18.0,33.3,0.0,8.0,-14.1,0.0
心胸外科,WK_XX,43,37,12.0,45.9,0.0,6,15.0,50.0,33.3,3.0,4.1,33.3
医学美容科,MR,32,20,10.5,35.0,5.0,12,6.5,25.0,0.0,-4.0,-10.0,-5.0
疼痛科,TT,23,21,10.0,52.4,0.0,2,15.5,50.0,0.0,5.5,-2.4,0.0
