科室,码,快照,query,PV归一
骨科,WK_GK,传统搜索随机1w,左腿酸痛,8.13
骨科,WK_GK,传统搜索随机1w,肩膀疼痛手臂抬不起来怎么治疗最好,7.27
骨科,WK_GK,传统搜索随机1w,腕管综合征能治愈吗,7.27
骨科,WK_GK,健康管家随机1w,"腰身一挺,缓缓律动,疼是怎么回事",7.12
骨科,WK_GK,健康管家随机1w,要怎么治疗腰椎退行性变,6.41
骨科,WK_GK,健康管家随机1w,手指关节疼怎么回事,6.41
养生保健营养,YS,传统搜索随机1w,合香珠的功效,120.25
养生保健营养,YS,传统搜索随机1w,吃柿子七大禁忌,47.93
养生保健营养,YS,传统搜索随机1w,石斛的三个最佳搭配,30.38
养生保健营养,YS,健康管家随机1w,红曲米有什么副作用吗,53.39
养生保健营养,YS,健康管家随机1w,雪莲果的功效和危害,31.32
养生保健营养,YS,健康管家随机1w,麦冬功效,19.93
皮肤科,PF,传统搜索随机1w,闭口性粉刺图片,49.64
皮肤科,PF,传统搜索随机1w,荨麻疹是怕冷还是怕热,32.52
皮肤科,PF,传统搜索随机1w,女性玫瑰糠疹要警惕,11.13
皮肤科,PF,健康管家随机1w,嘴上长疱疹用什么药啊嘴上嘴上,12.81
皮肤科,PF,健康管家随机1w,湿毒的症状图片,12.1
皮肤科,PF,健康管家随机1w,头发掉得很严重是什么原因,10.68
内分泌科,NK_NF,传统搜索随机1w,非诺贝特胶囊的功效,50.5
内分泌科,NK_NF,传统搜索随机1w,糖尿病人能吃南瓜吗,36.8
内分泌科,NK_NF,传统搜索随机1w,甲状腺功能减退有什么后果,10.27
内分泌科,NK_NF,健康管家随机1w,德谷胰岛素的优点及缺点是什么,4.98
内分泌科,NK_NF,健康管家随机1w,"糖尿病早期症状有哪些,糖尿病的早期症状",4.27
内分泌科,NK_NF,健康管家随机1w,甘精胰岛素什么时候打比较好？,4.27
肿瘤科,ZL,传统搜索随机1w,胰腺癌怎么引起的,135.23
肿瘤科,ZL,传统搜索随机1w,转移是不是等于扩散了,8.56
肿瘤科,ZL,传统搜索随机1w,耳朵肿瘤能活多久,5.56
肿瘤科,ZL,健康管家随机1w,前列腺癌症能治好吗,7.12
肿瘤科,ZL,健康管家随机1w,靶向药能不能把肿瘤彻底消除了,4.98
肿瘤科,ZL,健康管家随机1w,宫颈癌变Ⅲ期和宫颈癌晚期有区别吗,4.98
口腔科,KQ,传统搜索随机1w,牙龈萎缩专用药,6.85
口腔科,KQ,传统搜索随机1w,上颚疼要警惕四种病,3.42
口腔科,KQ,传统搜索随机1w,牙痛药哪个效果最好最快,3.0
口腔科,KQ,健康管家随机1w,我想了解下颌后缩,3.56
口腔科,KQ,健康管家随机1w,根尖周炎会传染吗？,2.14
口腔科,KQ,健康管家随机1w,牙龈增生怎么治,2.14
中医科,ZY,传统搜索随机1w,印堂在什么位置,92.43
中医科,ZY,传统搜索随机1w,阴虚是什么意思,38.09
中医科,ZY,传统搜索随机1w,独活寄生丸对腰间盘突出有效吗,28.67
中医科,ZY,健康管家随机1w,金匮肾气丸功效,53.39
中医科,ZY,健康管家随机1w,脾舒宁颗粒吃多久才有效,12.81
中医科,ZY,健康管家随机1w,知母作用与功效,11.39
神经内科,NK_SJ,传统搜索随机1w,大脑缺氧怎么改善,12.84
神经内科,NK_SJ,传统搜索随机1w,健脑灵片的功能主治,5.99
神经内科,NK_SJ,传统搜索随机1w,日落综合征,4.71
神经内科,NK_SJ,健康管家随机1w,甲钴胺副作用是什么,16.37
神经内科,NK_SJ,健康管家随机1w,偏头痛吃什么药好,9.97
神经内科,NK_SJ,健康管家随机1w,神经痛吃什么药最快止痛,5.69
儿科,EK,传统搜索随机1w,查骨龄挂什么科,18.83
儿科,EK,传统搜索随机1w,孩子隔三差五说肚子疼,15.41
儿科,EK,传统搜索随机1w,儿童咳嗽喘鸣音要警惕,3.42
