key,一级归并,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名
YS,非临床,养生保健营养,非科室：养生保健与营养,2234,10.996,1197,11.97,11.348,12.621,11.888,1037,10.052,9.487,10.648,11.404,54.35,1.0886,1.0871,45.65,0.9142,0.9129,2,,,传统搜索随机1w,健康管家随机1w,1.918,1.19,1,1
NK_XH,内科,消化内科,03.02 消化内科,1214,5.976,545,5.45,5.022,5.912,6.068,669,6.485,6.026,6.977,8.507,45.66,0.912,0.9133,54.34,1.0853,1.0867,2,,,健康管家随机1w,传统搜索随机1w,1.035,1.19,5,3
ZY,其它临床,中医科,50/51/52 中医科、民族医学科、中西医结合科,1151,5.665,617,6.17,5.715,6.659,6.449,534,5.176,4.765,5.621,5.666,54.38,1.0891,1.0876,45.62,0.9137,0.9124,2,,,传统搜索随机1w,健康管家随机1w,0.994,1.19,3,6
FCK_FK,妇产科,妇科,05.01 妇科,1122,5.523,508,5.08,4.667,5.528,4.138,614,5.952,5.512,6.425,6.485,46.05,0.9198,0.921,53.95,1.0777,1.079,2,,,健康管家随机1w,传统搜索随机1w,0.872,1.17,6,4
JY,非临床,就医事务,非科室：挂号、费用、医保、医院与医生查询,1104,5.434,936,9.36,8.805,9.947,8.191,168,1.629,1.402,1.891,1.395,85.18,1.7224,1.7036,14.82,0.2997,0.2964,2,,,传统搜索随机1w,健康管家随机1w,7.731,5.75,2,22
YP_GENERIC,非临床,药品通用问题,非科室：定位不到疾病的用药问题,1091,5.37,587,5.87,5.426,6.348,5.983,504,4.886,4.486,5.319,6.186,54.58,1.0931,1.0915,45.42,0.9098,0.9085,2,,,传统搜索随机1w,健康管家随机1w,0.984,1.2,4,8
EK,儿科,儿科,07/08/09 儿科、小儿外科、儿童保健,1089,5.36,395,3.95,3.586,4.35,2.598,694,6.727,6.26,7.227,5.837,36.99,0.7369,0.7399,63.01,1.255,1.2601,2,,,健康管家随机1w,传统搜索随机1w,2.777,1.7,9,2
WK_GK,外科,骨科,04.03 骨科,940,4.627,409,4.09,3.719,4.496,2.786,531,5.147,4.737,5.591,4.463,44.28,0.884,0.8855,55.72,1.1125,1.1145,2,,,健康管家随机1w,传统搜索随机1w,1.057,1.26,8,7
NK_XX,内科,心血管内科,03.04 心血管内科,939,4.622,394,3.94,3.576,4.339,2.867,545,5.283,4.868,5.732,5.196,42.72,0.8524,0.8544,57.28,1.143,1.1456,2,,,健康管家随机1w,传统搜索随机1w,1.343,1.34,10,5
PF,皮肤,皮肤科,13.01 皮肤病,871,4.287,432,4.32,3.939,4.736,3.984,439,4.256,3.883,4.662,4.264,50.38,1.0076,1.0075,49.62,0.9926,0.9925,2,,,传统搜索随机1w,健康管家随机1w,0.064,1.02,7,9
NK_NF,内科,内分泌科,03.07 内分泌,679,3.342,329,3.29,2.958,3.658,3.09,350,3.393,3.06,3.76,3.068,49.23,0.9844,0.9846,50.77,1.0151,1.0154,2,,,健康管家随机1w,传统搜索随机1w,0.103,1.03,11,10
NK_HX,内科,呼吸内科,03.01 呼吸内科,621,3.057,291,2.91,2.598,3.258,2.426,330,3.199,2.876,3.556,2.655,47.64,0.952,0.9527,52.36,1.0465,1.0473,2,,,健康管家随机1w,传统搜索随机1w,0.289,1.1,13,11
NK_SJ,内科,神经内科,03.03 神经内科,573,2.82,269,2.69,2.391,3.026,1.917,304,2.947,2.638,3.291,2.904,47.72,0.9538,0.9544,52.28,1.0448,1.0456,2,,,健康管家随机1w,传统搜索随机1w,0.257,1.1,15,15
WFPD,非临床,无法判断,非科室：语义不足以判断,572,2.816,323,3.23,2.901,3.595,4.63,249,2.414,2.135,2.728,1.958,57.23,1.1472,1.1446,42.77,0.8573,0.8554,2,,,传统搜索随机1w,健康管家随机1w,0.816,1.34,12,18
