轴,科室,码,前快照,后快照,前%,后%,差_pp,n_前,n_后
语音内分层,无法判断,WFPD,助手语音头部1k,助手语音1k,24.65,10.8,-13.85,1067,1000
语音 vs 文字（助手头部）,无法判断,WFPD,助手语音头部1k,助手头部1k,24.65,16.18,-8.47,1067,958
语音 vs 文字（助手头部）,就医事务,JY,助手语音头部1k,助手头部1k,0.37,7.83,7.45,1067,958
语音内分层,药品通用问题,YP_GENERIC,助手语音头部1k,助手语音1k,13.4,6.4,-7.0,1067,1000
流量分层（2026 搜索）,就医事务,JY,2026搜索,2026搜索随机1w,2.22,8.83,6.61,9998,10000
助手内分层,无法判断,WFPD,助手头部1k,助手随机1k,16.18,9.82,-6.36,958,998
流量分层（2026 搜索）,中医科,ZY,2026搜索,2026搜索随机1w,12.72,6.37,-6.35,9998,10000
语音 vs 文字（助手头部）,药品通用问题,YP_GENERIC,助手语音头部1k,助手头部1k,13.4,7.72,-5.68,1067,958
语音内分层,养生保健营养,YS,助手语音头部1k,助手语音1k,12.56,17.5,4.94,1067,1000
流量分层（2026 搜索）,药品通用问题,YP_GENERIC,2026搜索,2026搜索随机1w,10.49,5.81,-4.68,9998,10000
语音 vs 文字（助手头部）,皮肤科,PF,助手语音头部1k,助手头部1k,1.97,6.47,4.5,1067,958
语音 vs 文字（助手头部）,中医科,ZY,助手语音头部1k,助手头部1k,11.53,7.1,-4.43,1067,958
助手内分层,骨科,WK_GK,助手头部1k,助手随机1k,1.04,5.11,4.07,958,998
语音内分层,中医科,ZY,助手语音头部1k,助手语音1k,11.53,8.0,-3.53,1067,1000
流量分层（2026 搜索）,儿科,EK,2026搜索,2026搜索随机1w,0.98,4.13,3.15,9998,10000
语音内分层,就医事务,JY,助手语音头部1k,助手语音1k,0.37,3.3,2.93,1067,1000
语音内分层,皮肤科,PF,助手语音头部1k,助手语音1k,1.97,4.8,2.83,1067,1000
助手内分层,养生保健营养,YS,助手头部1k,助手随机1k,14.51,11.72,-2.79,958,998
助手内分层,皮肤科,PF,助手头部1k,助手随机1k,6.47,3.71,-2.76,958,998
流量分层（2026 搜索）,养生保健营养,YS,2026搜索,2026搜索随机1w,14.6,11.87,-2.73,9998,10000
助手内分层,儿科,EK,助手头部1k,助手随机1k,0.31,3.01,2.69,958,998
助手内分层,就医事务,JY,助手头部1k,助手随机1k,7.83,5.21,-2.62,958,998
助手内分层,非医疗内容,FYL,助手头部1k,助手随机1k,2.09,4.51,2.42,958,998
语音内分层,内分泌科,NK_NF,助手语音头部1k,助手语音1k,2.16,4.5,2.34,1067,1000
语音内分层,儿科,EK,助手语音头部1k,助手语音1k,0.28,2.4,2.12,1067,1000
