科室,码,总行数,搜索_行数,搜索_中位串长,搜索_问句%,搜索_第一人称%,AI助手_行数,AI助手_中位串长,AI助手_问句%,AI助手_第一人称%,差_中位串长,差_问句%,差_第一人称%
养生保健营养,YS,2234,1197,10.0,45.9,0.4,1037,11.0,51.6,2.1,1.0,5.7,1.7
消化内科,NK_XH,1214,545,11.0,58.2,0.7,669,12.0,57.0,2.8,1.0,-1.2,2.1
中医科,ZY,1151,617,9.0,30.6,0.6,534,11.0,41.4,1.5,2.0,10.8,0.9
妇科,FCK_FK,1122,508,12.0,56.9,1.2,614,13.0,60.9,2.9,1.0,4.0,1.7
就医事务,JY,1104,936,11.0,20.8,0.3,168,12.0,36.9,5.4,1.0,16.1,5.1
药品通用问题,YP_GENERIC,1091,587,11.0,42.4,0.5,504,12.0,47.6,2.0,1.0,5.2,1.5
儿科,EK,1089,395,13.0,58.7,31.1,694,13.0,55.8,40.1,0.0,-2.9,9.0
骨科,WK_GK,940,409,11.0,47.7,0.2,531,13.0,57.8,2.6,2.0,10.1,2.4
心血管内科,NK_XX,939,394,12.0,54.6,1.5,545,13.0,56.0,3.5,1.0,1.4,2.0
皮肤科,PF,871,432,10.0,53.9,0.2,439,12.0,58.3,3.2,2.0,4.4,3.0
内分泌科,NK_NF,679,329,11.0,57.1,2.1,350,12.0,66.9,2.9,1.0,9.8,0.8
呼吸内科,NK_HX,621,291,11.0,56.0,0.7,330,12.0,52.7,1.2,1.0,-3.3,0.5
神经内科,NK_SJ,573,269,11.0,47.6,0.7,304,12.0,55.6,1.3,1.0,8.0,0.6
无法判断,WFPD,572,323,7.0,22.6,2.2,249,11.0,41.8,13.3,4.0,19.2,11.1
普通外科,WK_PW,564,238,11.0,63.0,2.5,326,12.5,57.7,4.3,1.5,-5.3,1.8
检验影像病理,JC,542,284,11.0,49.3,0.4,258,12.0,51.9,1.2,1.0,2.6,0.8
产科,FCK_CK,533,222,11.0,55.4,5.0,311,13.0,67.5,9.0,2.0,12.1,4.0
耳鼻咽喉科,EB,495,235,11.0,53.6,2.1,260,12.0,58.8,3.8,1.0,5.2,1.7
肿瘤科,ZL,476,169,11.0,48.5,0.0,307,13.0,59.0,2.6,2.0,10.5,2.6
非医疗内容,FYL,353,200,10.0,28.0,2.0,153,12.0,50.3,7.8,2.0,22.3,5.8
精神心理科,JS,345,169,11.0,42.6,3.6,176,12.5,57.4,8.0,1.5,14.8,4.4
泌尿外科,WK_MN,339,161,11.0,52.8,0.0,178,13.0,60.1,3.9,2.0,7.3,3.9
口腔科,KQ,310,134,10.0,48.5,1.5,176,12.0,59.1,3.4,2.0,10.6,1.9
男科,NANKE,293,137,11.0,52.6,0.7,156,12.0,63.5,3.8,1.0,10.9,3.1
全科/综合,QK,272,122,10.0,50.0,1.6,150,12.0,59.3,3.3,2.0,9.3,1.7
眼科,YK,268,118,11.0,49.2,0.8,150,12.0,54.0,2.7,1.0,4.8,1.9
感染科,GR,249,107,11.0,58.9,1.9,142,12.0,54.2,3.5,1.0,-4.7,1.6
急诊科,JZ,220,102,12.0,50.0,1.0,118,12.0,61.0,3.4,0.0,11.0,2.4
肾内科,NK_SN,190,86,11.0,70.9,0.0,104,11.0,62.5,1.9,0.0,-8.4,1.9
血液内科,NK_XY,134,60,11.0,50.0,1.7,74,11.0,56.8,9.5,0.0,6.8,7.8
风湿免疫科,NK_FS,129,59,11.0,61.0,1.7,70,12.0,65.7,1.4,1.0,4.7,-0.3
性病科,PF_XB,89,41,12.0,65.9,7.3,48,13.5,56.2,8.3,1.5,-9.7,1.0
康复医学科,KF,74,30,10.5,50.0,0.0,44,13.5,54.5,4.5,3.0,4.5,4.5
生殖医学科,FCK_SZ,65,32,11.5,56.2,0.0,33,12.0,63.6,3.0,0.5,7.4,3.0
神经外科,WK_SJ,58,19,11.0,57.9,0.0,39,12.0,74.4,0.0,1.0,16.5,0.0
心胸外科,WK_XX,36,13,12.0,38.5,0.0,23,14.0,47.8,0.0,2.0,9.3,0.0
医学美容科,MR,30,9,12.0,77.8,0.0,21,11.0,66.7,9.5,-1.0,-11.1,9.5
烧伤整形科,WK_SZ,29,14,11.0,57.1,0.0,15,10.0,53.3,6.7,-1.0,-3.8,6.7
疼痛科,TT,23,7,8.0,14.3,0.0,16,11.0,50.0,0.0,3.0,35.7,0.0
