rule_code,词表判此科室的串数,与模型一致,一致率%,科室
EK,1953,1651,84.5,儿科
NK_NF,1269,1031,81.2,内分泌科
ZY,1109,586,52.8,中医科
FCK_CK,964,642,66.6,产科
NK_XH,870,669,76.9,消化内科
NK_XX,698,581,83.2,心血管内科
ZL,643,534,83.0,肿瘤科
YS,617,354,57.4,养生保健营养
GR,499,321,64.3,感染科
EB,474,411,86.7,耳鼻咽喉科
PF,437,413,94.5,皮肤科
WK_GK,427,380,89.0,骨科
FCK_FK,408,362,88.7,妇科
WK_PW,350,272,77.7,普通外科
NK_SJ,275,237,86.2,神经内科
NK_HX,273,219,80.2,呼吸内科
WK_MN,243,180,74.1,泌尿外科
NK_SN,219,175,79.9,肾内科
NK_XY,216,150,69.4,血液内科
JC,203,110,54.2,检验影像病理
JS,182,167,91.8,精神心理科
JY,160,152,95.0,就医事务
YK,152,137,90.1,眼科
KQ,134,122,91.0,口腔科
JZ,115,73,63.5,急诊科
PF_XB,104,102,98.1,性病科
NANKE,100,82,82.0,男科
WK_SJ,73,32,43.8,神经外科
NK_FS,60,56,93.3,风湿免疫科
WK_SZ,57,46,80.7,烧伤整形科
FCK_SZ,34,12,35.3,生殖医学科
WK_XX,20,6,30.0,心胸外科
KF,20,7,35.0,康复医学科
TT,12,5,41.7,疼痛科
