key,一级归并,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名
YS,非临床,养生保健营养,非科室：养生保健与营养,5777,13.124,1411,14.113,13.444,14.809,15.676,1154,11.54,10.928,12.181,11.283,1460,14.603,13.924,15.309,16.118,1187,11.87,11.251,12.519,11.689,139,14.509,12.421,16.881,14.536,117,11.723,9.873,13.868,10.76,134,12.559,10.704,14.682,13.25,175,17.5,15.271,19.978,17.5,13.02,1.0754,1.0414,10.64,0.8793,0.8515,13.47,1.1127,1.0775,10.95,0.9045,0.8759,13.38,1.1056,1.0706,10.81,0.8933,0.8651,11.58,0.9569,0.9267,16.14,1.3334,1.2913,8,,,助手语音1k,2025搜索随机1w,5.96,1.52,1,1,1,1,2,1,3,1
ZY,其它临床,中医科,50/51/52 中医科、民族医学科、中西医结合科,4020,9.132,1177,11.772,11.155,12.419,12.609,604,6.04,5.59,6.524,7.937,1272,12.723,12.084,13.39,14.549,637,6.37,5.908,6.866,6.056,68,7.098,5.638,8.901,7.143,59,5.912,4.611,7.551,7.857,123,11.528,9.748,13.583,10.227,80,8.0,6.475,9.847,8.0,16.95,1.2891,1.3562,8.7,0.6614,0.6958,18.32,1.3931,1.4657,9.17,0.6975,0.7338,10.22,0.7772,0.8177,8.51,0.6473,0.6811,16.6,1.2623,1.328,11.52,0.876,0.9216,8,,,2026搜索,助手随机1k,6.811,2.15,2,3,2,3,5,4,4,3
YP_GENERIC,非临床,药品通用问题,非科室：定位不到疾病的用药问题,3594,8.165,1056,10.562,9.975,11.18,11.021,552,5.52,5.089,5.985,8.262,1049,10.492,9.907,11.108,11.902,581,5.81,5.368,6.286,5.249,74,7.724,6.198,9.589,5.696,75,7.515,6.037,9.319,11.187,143,13.402,11.489,15.578,11.671,64,6.4,5.044,8.09,6.4,15.66,1.2936,1.2532,8.19,0.6761,0.6549,15.56,1.2851,1.2449,8.62,0.7116,0.6894,11.46,0.9461,0.9165,11.15,0.9204,0.8917,19.88,1.6415,1.5901,9.49,0.7839,0.7594,8,,,助手语音头部1k,2025搜索随机1w,7.882,2.43,3,5,3,4,4,3,2,4
NK_XH,内科,消化内科,03.02 消化内科,2423,5.504,627,6.271,5.813,6.763,5.979,519,5.19,4.772,5.642,9.918,594,5.941,5.495,6.422,5.628,509,5.09,4.676,5.538,4.342,36,3.758,2.727,5.158,3.298,56,5.611,4.346,7.217,5.38,32,2.999,2.132,4.203,2.639,50,5.0,3.813,6.531,5.0,15.73,1.1393,1.2586,13.02,0.9429,1.0416,14.9,1.0793,1.1924,12.77,0.9247,1.0216,9.43,0.6827,0.7542,14.08,1.0194,1.1262,7.52,0.5448,0.6019,12.54,0.9084,1.0035,8,,,2025搜索,助手语音头部1k,3.272,2.09,4,6,4,5,7,5,7,6
JY,非临床,就医事务,非科室：挂号、费用、医保、医院与医生查询,2283,5.186,217,2.17,1.903,2.475,1.386,797,7.97,7.455,8.517,4.088,222,2.22,1.949,2.528,1.327,883,8.83,8.29,9.402,7.331,75,7.829,6.291,9.703,12.313,52,5.21,3.995,6.769,4.611,4,0.375,0.146,0.96,0.265,33,3.3,2.359,4.598,3.3,5.73,0.4185,0.4581,21.03,1.5367,1.6821,5.86,0.4281,0.4686,23.3,1.7025,1.8636,20.65,1.5095,1.6523,13.75,1.0046,1.0997,0.99,0.0723,0.0791,8.71,0.6363,0.6965,8,,,2026搜索随机1w,助手语音头部1k,8.455,23.55,14,2,14,2,3,6,28,10
PF,皮肤,皮肤科,13.01 皮肤病,2241,5.091,559,5.591,5.158,6.059,5.314,506,5.06,4.647,5.507,2.408,506,5.061,4.648,5.508,4.399,502,5.02,4.609,5.466,4.887,62,6.472,5.081,8.21,6.219,37,3.707,2.702,5.068,3.672,21,1.968,1.291,2.99,1.95,48,4.8,3.639,6.307,4.8,14.84,1.0982,1.1871,13.43,0.9939,1.0743,13.43,0.9941,1.0745,13.32,0.9861,1.0658,17.18,1.2712,1.3741,9.84,0.7282,0.7871,5.22,0.3866,0.4179,12.74,0.9428,1.0191,8,,,助手头部1k,助手语音头部1k,4.504,3.29,5,7,6,7,6,10,11,7
FCK_FK,妇产科,妇科,05.01 妇科,2134,4.848,508,5.081,4.668,5.529,4.955,564,5.64,5.205,6.109,4.651,448,4.481,4.093,4.904,3.864,507,5.07,4.657,5.518,6.624,29,3.027,2.116,4.314,2.619,28,2.806,1.948,4.025,2.477,25,2.343,1.592,3.436,3.545,25,2.5,1.699,3.665,2.5,16.42,1.0481,1.3134,18.22,1.1634,1.4579,14.48,0.9243,1.1583,16.38,1.0458,1.3106,9.78,0.6244,0.7825,9.07,0.5787,0.7253,7.57,0.4833,0.6057,8.08,0.5157,0.6463,8,,,2025搜索随机1w,助手语音头部1k,3.297,2.41,6,4,7,6,10,13,8,12
WFPD,非临床,无法判断,非科室：语义不足以判断,1994,4.53,392,3.921,3.558,4.319,3.742,319,3.19,2.863,3.553,1.822,344,3.441,3.101,3.816,3.139,315,3.15,2.825,3.511,2.104,155,16.18,13.983,18.646,13.569,98,9.82,8.125,11.823,9.137,263,24.649,22.157,27.322,25.886,108,10.8,9.024,12.876,10.8,5.22,0.8655,0.4174,4.24,0.7042,0.3396,4.58,0.7596,0.3663,4.19,0.6954,0.3353,21.53,3.5718,1.7224,13.07,2.1678,1.0453,32.8,5.4413,2.624,14.37,2.3842,1.1497,8,,,助手语音头部1k,2026搜索随机1w,21.499,7.82,8,11,9,12,1,2,1,2
NK_XX,内科,心血管内科,03.04 心血管内科,1906,4.33,476,4.761,4.361,5.196,5.096,341,3.41,3.072,3.784,5.127,521,5.211,4.792,5.664,5.615,402,4.02,3.652,4.423,11.36,31,3.236,2.289,4.556,2.841,38,3.808,2.786,5.183,3.33,42,3.936,2.925,5.278,3.094,55,5.5,4.25,7.091,5.5,14.05,1.0995,1.1241,10.06,0.7875,0.8052,15.38,1.2035,1.2304,11.86,0.9284,0.9492,9.55,0.7473,0.764,11.24,0.8794,0.899,11.62,0.9091,0.9294,16.23,1.2702,1.2986,8,,,助手语音1k,助手头部1k,2.264,1.7,7,10,5,10,9,9,5,5
WK_GK,外科,骨科,04.03 骨科,1486,3.376,277,2.771,2.467,3.111,2.417,396,3.96,3.595,4.36,2.658,279,2.791,2.485,3.132,2.492,414,4.14,3.767,4.548,3.34,10,1.044,0.568,1.911,0.638,51,5.11,3.908,6.657,4.697,23,2.156,1.441,3.214,1.776,36,3.6,2.612,4.944,3.6,10.83,0.8207,0.8668,15.49,1.1731,1.2389,10.91,0.8266,0.873,16.19,1.2264,1.2952,4.08,0.3092,0.3266,19.98,1.5138,1.5988,8.43,0.6385,0.6744,14.08,1.0664,1.1263,8,,,助手随机1k,助手头部1k,4.066,4.9,11,9,11,8,22,7,9,9
