domain,label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
书籍文档,获取现成可直接发布文案,2025search,2026search,1201,981,9988,9995,0.1202442931517821,0.0981490745372686,-2.2095218614513508,-3.074559053383775,-1.345194898154583,stable,True,时间（搜索内部，2025→2026）
书籍文档,查询词语或概念的含义,2025search,2026search,1411,1197,9988,9995,0.1412695234281137,0.1197598799399699,-2.1509643488143757,-3.0850153255877424,-1.2171735459453374,stable,True,时间（搜索内部，2025→2026）
书籍文档,获取可套用文书模板或范文,2025search,2026search,571,441,9988,9995,0.0571686023227873,0.0441220610305152,-1.3046541292272082,-1.9144485782683975,-0.697155805578377,stable,True,时间（搜索内部，2025→2026）
书籍文档,获取单位或组织指定写作成稿,2025search,2026search,273,174,9988,9995,0.027332799359231,0.017408704352176,-0.9924095007054988,-1.4063960738020904,-0.5835450038582904,stable,True,时间（搜索内部，2025→2026）
书籍文档,查询官方政策法规或合规原文,2025search,2026search,312,229,9988,9995,0.0312374849819783,0.0229114557278639,-0.832602925411444,-1.2856063235906885,-0.3830112224427047,stable,True,时间（搜索内部，2025→2026）
书籍文档,学习某类文字怎么写,2025search,2026search,256,187,9988,9995,0.0256307569082899,0.0187093546773386,-0.6921402230951279,-1.1036913888235345,-0.2841921465913271,stable,True,时间（搜索内部，2025→2026）
书籍文档,补全或解释给定句子,2025search,2026search,191,129,9988,9995,0.0191229475370444,0.0129064532266133,-0.6216494310431145,-0.9739086526307262,-0.2740859662653681,stable,True,时间（搜索内部，2025→2026）
书籍文档,查询具体数字或年度主题,2025search,2026search,211,175,9988,9995,0.0211253504205046,0.0175087543771885,-0.361659604331601,-0.7461148229945438,0.0205813901234133,stable,False,时间（搜索内部，2025→2026）
书籍文档,依赖前文的修改或追问,2025search,2026search,193,192,9988,9995,0.0193231878253904,0.0192096048024012,-0.011358302298927,-0.3942947786849059,0.3714819572109084,stable,False,时间（搜索内部，2025→2026）
书籍文档,索取露骨或性化内容,2025search,2026search,93,95,9988,9995,0.0093111734080897,0.009504752376188,0.0193578968098387,-0.2508155458101397,0.2897605432076132,stable,False,时间（搜索内部，2025→2026）
书籍文档,索取受限、欺骗性或有害内容,2025search,2026search,52,54,9988,9995,0.0052062474969963,0.0054027013506753,0.0196453853678941,-0.1850769304690453,0.2248111531556287,stable,False,时间（搜索内部，2025→2026）
书籍文档,生成或修改图片,2025search,2026search,3,5,9988,9995,0.000300360432519,0.0005002501250625,0.0199889692543508,-0.0449219945652015,0.0898938444654601,stable,False,时间（搜索内部，2025→2026）
书籍文档,倾诉并寻求情绪支持,2025search,2026search,19,25,9988,9995,0.0019022827392871,0.0025012506253126,0.0598967886025511,-0.0738542766020242,0.1970429100359434,stable,False,时间（搜索内部，2025→2026）
书籍文档,现场生成或改写文字内容,2025search,2026search,72,80,9988,9995,0.0072086503804565,0.0080040020010005,0.0795351620543951,-0.1636446567288059,0.3240072074234196,stable,False,时间（搜索内部，2025→2026）
书籍文档,获取故事或典故全文/梗概,2025search,2026search,389,422,9988,9995,0.0389467360832999,0.0422211105552776,0.3274374471977676,-0.2203720863877723,0.8760045932828319,stable,False,时间（搜索内部，2025→2026）
书籍文档,获取个人装饰用图（头像/壁纸）,2025search,2026search,630,668,9988,9995,0.0630756908289948,0.0668334167083541,0.375772587935938,-0.3080782042363222,1.0600296136124974,stable,False,时间（搜索内部，2025→2026）
书籍文档,进入指定网站或电子报刊页面,2025search,2026search,323,378,9988,9995,0.0323388065678814,0.0378189094547273,0.548010288684591,0.0375361279016396,1.0600567937515692,stable,True,时间（搜索内部，2025→2026）
书籍文档,获取说明性/参考图片,2025search,2026search,2317,2447,9988,9995,0.2319783740488586,0.2448224112056028,1.2844037156744177,0.1027885933199232,2.465568922880889,stable,True,时间（搜索内部，2025→2026）
书籍文档,获取应景问候图片,2025search,2026search,334,469,9988,9995,0.0334401281537845,0.0469234617308654,1.348333357708089,0.8046884540556031,1.8952437002853544,stable,True,时间（搜索内部，2025→2026）
书籍文档,获取漫画免费阅读或下载入口,2025search,2026search,1137,1647,9988,9995,0.1138366039247096,0.1647823911955978,5.094578727088813,4.136910096530138,6.052493555315121,stable,True,时间（搜索内部，2025→2026）
书籍文档,获取说明性/参考图片,2026search,assistant_top,2447,42,9995,850,0.2448224112056028,0.0494117647058823,-19.541064649972046,-21.06662505790487,-17.674393673454006,stable,True,界面（同为头部流量）
书籍文档,获取漫画免费阅读或下载入口,2026search,assistant_top,1647,4,9995,850,0.1647823911955978,0.0047058823529411,-16.00765088426566,-16.801655311427787,-14.984028632830451,stable,True,界面（同为头部流量）
书籍文档,查询词语或概念的含义,2026search,assistant_top,1197,32,9995,850,0.1197598799399699,0.0376470588235294,-8.211282111644058,-9.477143798872174,-6.5860097111394875,stable,True,界面（同为头部流量）
书籍文档,获取个人装饰用图（头像/壁纸）,2026search,assistant_top,668,13,9995,850,0.0668334167083541,0.0152941176470588,-5.153929906129535,-5.964944237856827,-3.98434735192061,stable,True,界面（同为头部流量）
书籍文档,获取应景问候图片,2026search,assistant_top,469,2,9995,850,0.0469234617308654,0.0023529411764705,-4.457052055439484,-4.9218305595948735,-3.721825143559322,stable,True,界面（同为头部流量）
书籍文档,获取故事或典故全文/梗概,2026search,assistant_top,422,1,9995,850,0.0422211105552776,0.0011764705882352,-4.104463996704235,-4.527834668251211,-3.4412050096602456,stable,True,界面（同为头部流量）
书籍文档,获取可套用文书模板或范文,2026search,assistant_top,441,5,9995,850,0.0441220610305152,0.0058823529411764,-3.823970808933879,-4.362619615417414,-2.952756853397726,stable,True,界面（同为头部流量）
书籍文档,进入指定网站或电子报刊页面,2026search,assistant_top,378,1,9995,850,0.0378189094547273,0.0011764705882352,-3.6642438866492073,-4.068113459955393,-3.012361821308435,stable,True,界面（同为头部流量）
