domain,label,share_search10k,share_search_top1000,share_assistant_top,diff_vs_top1000_pp,lo_pp,hi_pp,sig
书籍文档,依赖前文的修改或追问,0.0192,0.027,0.4435,41.65,38.14,45.11,True
书籍文档,倾诉并寻求情绪支持,0.0025,0.003,0.0071,0.41,-0.29,1.25,False
书籍文档,学习某类文字怎么写,0.0187,0.011,0.0153,0.43,-0.64,1.6,False
书籍文档,查询具体数字或年度主题,0.0175,0.009,0.0,-0.9,-1.7,-0.28,True
书籍文档,查询官方政策法规或合规原文,0.0229,0.015,0.0,-1.5,-2.46,-0.76,True
书籍文档,查询词语或概念的含义,0.1198,0.106,0.0376,-6.84,-9.16,-4.52,True
书籍文档,现场生成或改写文字内容,0.008,0.005,0.0071,0.21,-0.56,1.08,False
书籍文档,生成或修改图片,0.0005,0.0,0.0553,5.53,4.13,7.28,True
书籍文档,索取受限、欺骗性或有害内容,0.0054,0.01,0.0,-1.0,-1.83,-0.36,True
书籍文档,索取露骨或性化内容,0.0095,0.007,0.0376,3.06,1.75,4.61,True
书籍文档,获取个人装饰用图（头像/壁纸）,0.0668,0.085,0.0153,-6.97,-8.97,-5.07,True
书籍文档,获取单位或组织指定写作成稿,0.0174,0.015,0.0012,-1.38,-2.35,-0.58,True
书籍文档,获取可套用文书模板或范文,0.0441,0.051,0.0059,-4.51,-6.09,-3.08,True
书籍文档,获取应景问候图片,0.0469,0.077,0.0024,-7.46,-9.29,-5.85,True
书籍文档,获取故事或典故全文/梗概,0.0422,0.03,0.0012,-2.88,-4.14,-1.84,True
书籍文档,获取漫画免费阅读或下载入口,0.1648,0.22,0.0047,-21.53,-24.22,-18.96,True
书籍文档,获取现成可直接发布文案,0.0981,0.108,0.3141,20.61,16.94,24.27,True
书籍文档,获取说明性/参考图片,0.2448,0.157,0.0494,-10.76,-13.46,-8.06,True
书籍文档,补全或解释给定句子,0.0129,0.006,0.0012,-0.48,-1.19,0.15,False
书籍文档,进入指定网站或电子报刊页面,0.0378,0.058,0.0012,-5.68,-7.31,-4.28,True
软件,下载并安装指定软件,0.1995,0.162,0.017,-14.5,-17.0,-12.1,True
软件,仅产品名消歧,0.2917,0.417,0.2117,-20.53,-24.49,-16.46,True
软件,从图片或文档提取内容,0.0015,0.001,0.0309,2.99,1.95,4.3,True
软件,判断社交关系状态与可见性,0.0043,0.003,0.0064,0.34,-0.34,1.11,False
软件,取消持续扣费或授权,0.0055,0.003,0.0,-0.3,-0.88,0.15,False
软件,完成设置或操作步骤,0.0876,0.055,0.0426,-1.24,-3.19,0.7,False
软件,平台规则与能力裁决,0.0177,0.011,0.017,0.6,-0.48,1.75,False
软件,恢复误删或丢失的数据与关系,0.0156,0.014,0.0106,-0.34,-1.39,0.71,False
软件,打开官方网页或网页版入口,0.0444,0.048,0.0319,-1.61,-3.39,0.16,False
软件,按功能求推荐软件,0.0346,0.012,0.0457,3.37,1.91,4.99,True
软件,查询汉字输入编码,0.0679,0.013,0.0011,-1.19,-2.11,-0.46,True
软件,生成露骨性图像编辑,0.0,0.0,0.0351,3.51,2.44,4.89,True
软件,直接编辑或生成图像,0.0054,0.006,0.4617,45.57,42.33,48.78,True
软件,直达指定页面或账号主页,0.0628,0.043,0.0128,-3.02,-4.56,-1.58,True
软件,获取位置伪造工具,0.0007,0.001,0.0,-0.1,-0.56,0.32,False
软件,获取成人内容或成人应用,0.0089,0.009,0.0021,-0.69,-1.5,0.02,False
软件,获取灰色辅助或作弊工具,0.0041,0.006,0.0011,-0.49,-1.2,0.1,False
软件,获取社交文案与发布素材,0.0503,0.033,0.0383,0.53,-1.14,2.24,False
软件,获取翻墙工具或访问被限制的境外服务,0.0556,0.106,0.0032,-10.28,-12.35,-8.42,True
软件,获取蹭网或WiFi破解工具,0.0035,0.011,0.0043,-0.67,-1.57,0.15,False
软件,获取非官方软件库或第三方分发渠道,0.0101,0.024,0.0043,-1.97,-3.15,-0.95,True
软件,解释术语或比较概念,0.0188,0.022,0.0223,0.03,-1.31,1.41,False
