领域,类目,运行当时有没有,行数,占比%,policy,其中运行自带筛查已覆盖,运行自带筛查漏掉的,2025搜索_条数,2026搜索_条数,助手头部1k_条数,助手随机1k_条数
书籍文档,adult_manga_platform,有,110,0.505,drop,110,0,62,48,0,0
书籍文档,unlicensed_manga_aggregator,有,992,4.553,isolate_and_flag,992,0,414,578,0,0
书籍文档,sexualized_image_generation,有,15,0.069,isolate_and_flag,15,0,9,2,1,3
书籍文档,minor_adjacent_sexualization,有,2,0.009,drop,2,0,0,0,0,2
书籍文档,self_harm_and_emotional_crisis,**补在运行之后**,16,0.073,isolate_and_flag,0,16,8,5,0,3
书籍文档,lottery_riddle_probe,**补在运行之后**,8,0.037,isolate_and_flag,0,8,4,3,0,1
书籍文档,forgeable_credential_template,**补在运行之后**,46,0.211,isolate_and_flag,0,46,23,23,0,0
书籍文档,adult_content_in_image_surface,**补在运行之后**,44,0.202,isolate_and_flag,0,44,21,22,0,1
书籍文档,abuse_and_violence_material,**补在运行之后**,32,0.147,isolate_and_flag,0,32,19,8,3,2
软件,circumvention_tooling,有,779,3.554,isolate_and_flag,779,0,349,418,6,6
软件,cracked_and_unlocked_software,有,131,0.598,isolate_and_flag,131,0,91,36,0,4
软件,credential_and_intrusion_tooling,有,122,0.557,isolate_and_flag,122,0,64,49,5,4
软件,unregistered_distribution_channel,有,80,0.365,isolate_and_flag,80,0,31,48,1,0
软件,porn_app_distribution,有,72,0.328,drop,72,0,48,24,0,0
软件,grey_automation_and_multiboxing,**补在运行之后**,77,0.351,isolate_and_flag,2,75,39,35,1,2
软件,ncii_and_undressing_edit,**补在运行之后**,26,0.119,drop,0,26,2,0,18,6
软件,deepfake_and_face_swap,**补在运行之后**,14,0.064,isolate_and_flag,0,14,6,4,2,2
软件,evidence_fabrication_tooling,**补在运行之后**,25,0.114,isolate_and_flag,1,24,17,7,0,1
软件,access_card_cloning,**补在运行之后**,2,0.009,isolate_and_flag,0,2,1,1,0,0
软件,injected_link_or_html_payload,**补在运行之后**,20,0.091,isolate_and_flag,0,20,6,14,0,0
