domain,label,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,index_2025search,index_2026search,index_assistant_random,index_assistant_top
书籍文档,依赖前文的修改或追问,1.93,1.92,25.71,44.35,0.418,0.4156,5.5619,9.5956
书籍文档,倾诉并寻求情绪支持,0.19,0.25,23.5,0.71,0.1513,0.1989,18.6888,0.5613
书籍文档,学习某类文字怎么写,2.56,1.87,0.63,1.53,1.2086,0.8823,0.2969,0.7212
书籍文档,查询具体数字或年度主题,2.11,1.75,0.63,0.0,1.1741,0.9731,0.3499,0.0
书籍文档,查询官方政策法规或合规原文,3.12,2.29,0.94,0.0,1.2373,0.9075,0.3741,0.0
书籍文档,查询词语或概念的含义,14.13,11.98,4.2,3.76,1.1484,0.9735,0.3412,0.306
书籍文档,现场生成或改写文字内容,0.72,0.8,9.13,0.71,0.641,0.7117,8.1178,0.6277
书籍文档,生成或修改图片,0.03,0.05,3.67,5.53,0.0727,0.1211,8.8902,13.3849
书籍文档,索取受限、欺骗性或有害内容,0.52,0.54,0.52,0.0,1.0218,1.0604,1.0297,0.0
书籍文档,索取露骨或性化内容,0.93,0.95,2.1,3.76,0.8452,0.8628,1.905,3.4174
书籍文档,获取个人装饰用图（头像/壁纸）,6.31,6.68,0.52,1.53,1.0442,1.1064,0.0869,0.2532
书籍文档,获取单位或组织指定写作成稿,2.73,1.74,1.47,0.12,1.2889,0.8209,0.6927,0.0555
书籍文档,获取可套用文书模板或范文,5.72,4.41,0.84,0.59,1.2151,0.9378,0.1784,0.125
书籍文档,获取应景问候图片,3.34,4.69,0.52,0.24,0.8994,1.2621,0.1411,0.0633
书籍文档,获取故事或典故全文/梗概,3.89,4.22,1.26,0.12,1.0297,1.1163,0.3329,0.0311
书籍文档,获取漫画免费阅读或下载入口,11.38,16.48,1.26,0.47,0.8857,1.2821,0.098,0.0366
书籍文档,获取现成可直接发布文案,12.02,9.81,14.48,31.41,1.0126,0.8265,1.2195,2.6453
书籍文档,获取说明性/参考图片,23.2,24.48,6.4,4.94,1.0384,1.0959,0.2865,0.2212
书籍文档,补全或解释给定句子,1.91,1.29,1.57,0.12,1.2399,0.8368,1.0206,0.0763
书籍文档,进入指定网站或电子报刊页面,3.23,3.78,0.63,0.12,0.9951,1.1637,0.1937,0.0362
软件,下载并安装指定软件,18.01,19.95,3.25,1.7,1.027,1.138,0.1855,0.0971
软件,仅产品名消歧,26.84,29.17,6.1,21.17,1.0041,1.0914,0.2281,0.792
软件,从图片或文档提取内容,0.16,0.15,2.03,3.09,0.4385,0.411,5.5691,8.4532
软件,判断社交关系状态与可见性,0.58,0.43,2.03,0.64,1.0014,0.7422,3.5081,1.1017
软件,取消持续扣费或授权,0.77,0.55,0.51,0.0,1.2324,0.8801,0.813,0.0
软件,完成设置或操作步骤,13.34,8.76,24.29,4.26,1.1752,0.7715,2.139,0.3748
软件,平台规则与能力裁决,3.08,1.77,17.89,1.7,0.9975,0.5732,5.7912,0.5511
软件,恢复误删或丢失的数据与关系,1.85,1.56,1.93,1.06,1.0963,0.9243,1.1439,0.6302
软件,打开官方网页或网页版入口,3.21,4.44,0.2,3.19,0.8831,1.2213,0.0559,0.8778
软件,按功能求推荐软件,3.8,3.46,4.98,4.57,1.0186,0.9273,1.3344,1.2258
软件,排查并修复故障,1.33,0.76,2.95,0.0,1.2253,0.7,2.7144,0.0
软件,查询汉字输入编码,5.58,6.79,0.1,0.11,0.9875,1.2014,0.018,0.0188
软件,生成露骨性图像编辑,0.0,0.0,1.83,3.51,0.0,0.0,7.8623,15.0889
软件,直接编辑或生成图像,0.6,0.54,23.88,46.17,0.168,0.1512,6.6858,12.9253
软件,直达指定页面或账号主页,5.12,6.28,1.83,1.28,0.9595,1.1767,0.3427,0.2392
软件,获取位置伪造工具,0.09,0.07,0.0,0.0,1.2334,0.9591,0.0,0.0
软件,获取成人内容或成人应用,1.23,0.89,0.3,0.21,1.2428,0.8991,0.308,0.2149
软件,获取灰色辅助或作弊工具,0.39,0.41,0.0,0.11,1.0557,1.1096,0.0,0.2879
软件,获取破解或解锁版软件,0.38,0.18,0.51,0.0,1.3659,0.6469,1.8259,0.0
软件,获取社交文案与发布素材,6.03,5.03,2.74,3.83,1.131,0.9433,0.5145,0.7181
软件,获取翻墙工具或访问被限制的境外服务,4.61,5.56,0.71,0.32,0.9842,1.1868,0.1518,0.0681
软件,获取蹭网或WiFi破解工具,0.39,0.35,0.1,0.43,1.0825,0.9712,0.282,1.1807
软件,获取非官方软件库或第三方分发渠道,0.84,1.01,0.41,0.43,0.9543,1.1472,0.4617,0.4833
软件,解释术语或比较概念,1.76,1.88,1.42,2.23,0.9672,1.0329,0.7816,1.2273
