key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
ACCIDENTAL_INGESTION_FIRST_AID,误食或过量的紧急处置,6,1,0.5563,0.0,0.0,3,0.3884,0.0,0.0,1,0.5563,0.0,0.0,1,0.3737,0.0,0.0,0,,,,0,,,,0,,,,0,,,,,,0.4419
NON_HEALTH_OTHER,非健康或无法判定的其他查询,1550,176,0.5462,5.68,22.16,417,0.5038,5.04,33.57,149,0.5483,6.71,20.81,426,0.5046,4.46,34.98,114,0.6294,2.63,24.56,99,0.5783,7.07,38.38,108,0.6593,2.78,20.37,61,0.5367,4.92,29.51,2025搜索随机1w,0.1555,0.5392
PROGNOSIS_CONTAGION_VERDICT,疾病结局、严重度或传播风险裁决,467,78,0.6135,2.56,5.13,140,0.5434,5.71,10.0,94,0.6121,3.19,5.32,116,0.5435,1.72,16.38,7,0.4202,0.0,14.29,23,0.5129,0.0,13.04,4,0.5077,0.0,0.0,5,0.429,0.0,20.0,助手随机1k,0.1006,0.5641
RECOVERY_TIMING,恢复、停药与时间窗咨询,541,68,0.6233,2.94,14.71,176,0.5755,2.84,18.18,70,0.609,4.29,12.86,181,0.5654,4.97,19.34,6,0.7539,0.0,0.0,28,0.5381,10.71,17.86,0,,,,12,0.6262,0.0,8.33,助手随机1k,0.0852,0.5836
EFFICACY_AUTHENTICITY_CHECK,核验产品、偏方或传言的功效真伪,602,48,0.677,2.08,22.92,207,0.56,4.83,30.92,89,0.6526,2.25,20.22,210,0.5771,3.33,25.71,3,0.4997,0.0,33.33,21,0.5356,4.76,47.62,5,0.5632,20.0,20.0,19,0.5674,0.0,47.37,助手随机1k,0.1414,0.5881
PHARMA_COMPANY_LOOKUP,查询医药上市企业,131,46,0.6042,0.0,4.35,3,0.6225,0.0,0.0,73,0.5966,1.37,2.74,3,0.4191,0.0,0.0,1,0.445,0.0,0.0,0,,,,4,0.6448,0.0,0.0,1,0.5493,0.0,0.0,2026搜索,0.0076,0.5958
RESULT_INTERPRETATION,解读自身检查读数或事件是否正常严重,1788,263,0.7261,0.38,9.89,571,0.6442,3.5,28.37,247,0.7278,0.0,12.96,597,0.6338,2.85,27.14,5,0.6343,0.0,0.0,61,0.5635,0.0,37.7,4,0.464,0.0,25.0,40,0.5846,5.0,35.0,助手随机1k,0.1643,0.6598
COMPARISON_DIFFERENCE_VERDICT,多项比较、选择或差异核验,640,65,0.6954,0.0,23.08,225,0.6929,4.0,31.11,66,0.6759,0.0,22.73,228,0.6588,4.82,26.75,4,0.4815,25.0,50.0,25,0.6484,4.0,56.0,1,0.2692,0.0,100.0,26,0.7301,3.85,15.38,助手随机1k,0.0817,0.6771
DOSAGE_ADMINISTRATION,询问用药剂量与服用时机,792,146,0.7804,0.0,16.44,187,0.6291,4.28,21.39,200,0.7776,1.5,19.5,198,0.596,5.56,28.79,8,0.6432,0.0,12.5,30,0.5605,10.0,33.33,0,,,,23,0.6851,0.0,4.35,助手随机1k,0.2199,0.6854
REPRODUCTIVE_HEALTH,孕产与生殖健康疑问,983,160,0.7455,1.88,6.88,369,0.6704,2.98,15.18,114,0.7369,0.88,7.02,282,0.6753,2.13,17.02,25,0.772,0.0,8.0,18,0.5894,5.56,11.11,11,0.7473,0.0,9.09,4,0.6157,0.0,0.0,2025搜索随机1w,0.1016,0.6935
REFERENCE_VALUE_CALCULATOR,查询正常参考值、计算工具或食物热量,1016,221,0.8264,0.0,6.79,258,0.6584,3.1,15.89,235,0.8283,0.43,4.68,222,0.6477,2.25,17.57,26,0.8172,0.0,15.38,28,0.5796,3.57,21.43,7,0.8229,0.0,14.29,19,0.6945,0.0,21.05,助手随机1k,0.2487,0.7356
PERMISSION_CHECK,判断特定情境下能否吃、用或做,3215,132,0.7479,0.76,21.97,1241,0.7765,1.45,24.66,148,0.7497,0.68,26.35,1381,0.7736,1.38,23.03,13,0.7602,0.0,15.38,114,0.7681,4.39,32.46,30,0.7981,3.33,46.67,156,0.8039,0.0,17.31,2025搜索,0.056,0.774
DISEASE_CONCEPT_INFO,查询疾病或医学术语的定义、病因与症状,7228,2228,0.8289,0.76,11.89,1233,0.6899,2.92,24.98,2013,0.8333,0.89,9.94,1100,0.6795,2.36,25.91,177,0.8226,0.0,11.86,92,0.6488,2.17,29.35,281,0.7763,0.71,11.39,104,0.6719,2.88,34.62,助手随机1k,0.1845,0.7769
TREATMENT_SEEKING,求治疗方案与用药推荐,3955,963,0.8721,0.93,11.63,869,0.6958,2.3,19.45,949,0.8711,0.84,12.12,873,0.6869,2.18,20.05,104,0.8509,0.0,14.42,91,0.6847,3.3,31.87,26,0.8235,3.85,23.08,80,0.7272,1.25,21.25,助手随机1k,0.1874,0.7841
SYMPTOM_ATTRIBUTION_DIFFERENTIATION,描述自身症状求归因或鉴别,5880,1008,0.8726,0.99,21.73,1766,0.8137,1.02,25.31,913,0.867,0.88,20.7,1731,0.7949,1.85,27.79,80,0.7157,2.5,26.25,153,0.7392,1.96,31.37,66,0.6671,3.03,31.82,163,0.7717,1.23,26.38,助手语音头部1k,0.2055,0.8205
CARE_NAVIGATION_COST,就医导航、费用与渠道,2623,266,0.8688,0.75,6.02,886,0.8659,1.02,11.85,261,0.8866,0.0,5.75,992,0.8701,0.6,10.89,93,0.8861,0.0,11.83,75,0.77,1.33,29.33,10,0.7329,0.0,20.0,40,0.8241,0.0,5.0,助手随机1k,0.1166,0.8667
SUBSTANCE_EFFICACY_LOOKUP,查询物品或活动的功效与作用,12602,4129,0.9225,0.39,23.15,1449,0.7375,1.38,30.78,4376,0.9283,0.46,24.54,1459,0.7214,2.33,28.92,292,0.9014,0.34,21.92,140,0.6817,2.86,31.43,510,0.8801,0.59,16.47,247,0.7429,1.21,21.86,助手随机1k,0.2466,0.8716
