key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
26,查询疾病严重性、传染性与治疗风险,1793,155,0.6007,2.58,21.29,668,0.5292,4.94,31.14,178,0.5898,4.49,21.35,622,0.5414,3.54,31.03,23,0.5748,0.0,21.74,84,0.5104,4.76,34.52,13,0.4682,0.0,15.38,50,0.557,4.0,30.0,助手随机1k,0.0903,0.5457
43,药品与药企信息查询,708,114,0.5801,3.51,12.28,165,0.5934,4.85,23.03,152,0.59,2.63,11.18,205,0.5755,2.44,22.44,16,0.6302,0.0,37.5,25,0.5447,12.0,28.0,19,0.6041,10.53,5.26,12,0.579,0.0,41.67,助手随机1k,0.0487,0.5845
7,检查项目及指标查询,685,121,0.641,0.83,2.48,219,0.5856,3.65,13.24,113,0.6465,1.77,0.88,197,0.5931,3.55,10.15,2,0.539,50.0,50.0,19,0.5381,10.53,10.53,4,0.5675,0.0,0.0,10,0.6071,0.0,20.0,2025搜索随机1w,0.0609,0.6064
21,查询医疗健康恢复时间与费用,1151,194,0.6344,1.55,11.34,334,0.6026,2.69,21.56,190,0.6418,2.11,10.0,335,0.5937,4.18,25.97,21,0.8092,0.0,4.76,55,0.6112,5.45,20.0,2,0.5679,0.0,0.0,20,0.5973,0.0,20.0,2026搜索随机1w,0.2155,0.6159
33,健康问题对应食物建议查询,903,209,0.7069,2.39,9.09,198,0.5792,1.01,15.15,199,0.6658,3.52,14.57,195,0.6016,5.13,18.97,29,0.7368,0.0,17.24,34,0.6237,0.0,17.65,9,0.6738,0.0,11.11,30,0.6329,0.0,16.67,2025搜索随机1w,0.1576,0.6422
12,药品用法用量查询,858,118,0.7705,0.85,13.56,250,0.587,4.0,26.8,152,0.7774,1.32,15.13,262,0.5759,5.34,27.48,8,0.5433,0.0,12.5,37,0.5605,2.7,37.84,0,,,,31,0.6393,3.23,22.58,助手随机1k,0.2169,0.6429
30,药品用法药效与联用查询,1544,58,0.6265,1.72,27.59,567,0.6586,2.65,33.33,111,0.6349,1.8,19.82,661,0.6433,3.33,30.26,8,0.6184,0.0,37.5,70,0.587,5.71,50.0,4,0.7133,0.0,0.0,65,0.6197,4.62,33.85,助手随机1k,0.0716,0.6442
0,食物热量与健康影响查询,1821,267,0.7741,1.87,18.73,518,0.6076,4.05,30.31,289,0.7845,1.38,17.99,551,0.5982,3.27,31.58,20,0.6514,5.0,50.0,53,0.6051,1.89,39.62,41,0.7231,2.44,46.34,82,0.6162,1.22,30.49,2026搜索随机1w,0.1863,0.6606
16,身体不适快速缓解方法查询,1150,188,0.767,1.06,20.74,372,0.6275,2.42,17.74,173,0.7861,1.16,19.65,339,0.6125,3.24,17.4,27,0.7749,0.0,14.81,22,0.6909,9.09,36.36,6,0.6131,0.0,0.0,23,0.6601,4.35,26.09,2026搜索随机1w,0.1736,0.675
45,中药方剂配方剂量查询,816,140,0.7785,0.71,22.86,179,0.6122,4.47,27.93,180,0.7398,1.67,22.22,247,0.6395,2.43,32.79,14,0.6459,7.14,21.43,27,0.6259,0.0,48.15,6,0.7191,0.0,50.0,23,0.6648,0.0,21.74,2025搜索随机1w,0.1663,0.6804
42,早孕检测与月经变化查询,1073,135,0.7677,1.48,6.67,429,0.6716,2.33,17.02,95,0.7534,1.05,8.42,349,0.6809,3.44,18.05,27,0.7545,0.0,7.41,21,0.5926,9.52,9.52,11,0.6828,0.0,18.18,6,0.7114,0.0,16.67,助手随机1k,0.1751,0.6948
37,查询皮肤疙瘩红疹原因与处理,1022,112,0.8019,2.68,28.57,364,0.688,2.75,29.12,75,0.7799,2.67,29.33,348,0.6739,3.45,34.2,20,0.6693,0.0,25.0,42,0.5796,7.14,57.14,20,0.7024,0.0,40.0,41,0.627,4.88,39.02,助手随机1k,0.2223,0.6955
23,化验指标异常原因与临床意义查询,885,300,0.7145,1.67,8.33,150,0.6995,3.33,18.67,244,0.7235,0.82,9.43,145,0.6706,1.38,19.31,8,0.6765,0.0,12.5,15,0.7507,0.0,26.67,8,0.7027,0.0,0.0,15,0.6272,0.0,20.0,2026搜索随机1w,0.0529,0.7059
36,查询身体不适症状及可能病因,1641,94,0.797,0.0,38.3,562,0.7048,2.14,30.78,86,0.8065,1.16,32.56,637,0.6981,2.2,29.67,49,0.6755,2.04,20.41,108,0.6842,2.78,25.93,37,0.683,5.41,27.03,68,0.6827,1.47,25.0,助手头部1k,0.131,0.7091
41,医学健康知识查询,1247,212,0.7772,0.47,16.04,392,0.6825,2.81,34.18,201,0.7953,0.5,11.44,349,0.6833,3.15,30.66,14,0.7507,7.14,21.43,28,0.6209,0.0,28.57,13,0.7403,0.0,15.38,38,0.6382,0.0,23.68,助手随机1k,0.1744,0.7156
35,医学词条查询,2027,658,0.7905,0.91,15.96,251,0.6588,5.18,35.86,440,0.7942,0.91,15.23,201,0.6203,2.49,43.78,119,0.7027,0.0,20.17,16,0.6487,12.5,68.75,319,0.7529,1.57,14.11,23,0.5979,4.35,34.78,助手语音1k,0.1963,0.7437
34,查询健康指标正常范围,1219,242,0.812,2.07,10.33,302,0.7264,1.66,16.56,250,0.8282,0.4,9.2,314,0.7162,0.96,20.06,30,0.8194,0.0,13.33,38,0.637,2.63,23.68,14,0.7284,0.0,35.71,29,0.6154,3.45,17.24,助手语音1k,0.2128,0.7586
44,药品及药物成分信息查询,1620,645,0.8159,0.78,21.86,150,0.7282,1.33,36.0,405,0.7974,0.74,17.04,157,0.7212,2.55,25.48,43,0.8319,2.33,16.28,10,0.7067,0.0,30.0,191,0.8275,0.52,17.8,19,0.7853,0.0,47.37,2026搜索随机1w,0.1107,0.7947
40,查询身体排泄与分泌物异常原因,399,83,0.8543,1.2,4.82,102,0.7973,2.94,8.82,80,0.8658,1.25,5.0,103,0.7476,1.94,6.8,5,0.6759,0.0,20.0,10,0.7836,0.0,20.0,7,0.6127,0.0,0.0,9,0.8497,0.0,11.11,2026搜索随机1w,0.1182,0.8061
29,药品信息查询,904,308,0.8933,0.65,12.99,138,0.6687,4.35,28.26,191,0.8686,0.52,34.55,149,0.6683,4.03,30.2,21,0.8943,0.0,9.52,16,0.6494,6.25,56.25,62,0.9145,0.0,3.23,19,0.6084,5.26,21.05,2026搜索随机1w,0.2462,0.8079
50,口腔不适原因与解决方法查询,328,65,0.8953,0.0,6.15,86,0.7951,3.49,10.47,72,0.8871,1.39,6.94,79,0.7725,1.27,5.06,7,0.8187,0.0,0.0,8,0.7782,0.0,12.5,3,0.3899,33.33,0.0,8,0.8205,0.0,0.0,2026搜索随机1w,0.1228,0.8267
25,医学术语及检查结果含义查询,659,199,0.8657,0.5,3.52,136,0.793,2.21,2.94,194,0.8826,0.52,4.64,120,0.7749,1.67,4.17,1,0.4594,0.0,0.0,2,0.9621,0.0,0.0,1,0.9932,0.0,0.0,6,0.7496,0.0,0.0,2026搜索随机1w,0.1077,0.8379
5,疾病症状与健康影响查询,1745,643,0.8996,0.16,4.04,193,0.7197,1.04,9.84,661,0.8977,0.61,3.18,173,0.6962,3.47,9.83,44,0.9043,0.0,4.55,13,0.7088,0.0,7.69,4,0.7043,0.0,0.0,14,0.5873,0.0,14.29,2026搜索随机1w,0.2081,0.8545
3,医疗机构与身体部位信息查询,2607,313,0.8329,1.28,3.51,823,0.8724,0.49,10.33,361,0.8147,1.39,3.05,919,0.8722,0.65,9.79,82,0.8909,0.0,10.98,52,0.7829,1.92,28.85,16,0.6965,6.25,31.25,41,0.8354,2.44,4.88,助手随机1k,0.108,0.8567
17,症状原因查询,2845,728,0.8536,0.96,29.95,711,0.8867,0.56,35.16,667,0.8374,1.05,28.94,625,0.8914,0.32,37.6,26,0.8454,3.85,30.77,32,0.8127,0.0,40.62,8,0.8488,0.0,25.0,48,0.8912,0.0,41.67,助手随机1k,0.0787,0.8665
22,皮肤瘙痒起疹原因查询,295,73,0.9213,0.0,5.48,67,0.8642,0.0,17.91,61,0.922,0.0,9.84,63,0.8206,1.59,23.81,17,0.7488,0.0,17.65,6,0.8801,0.0,33.33,3,0.5732,0.0,0.0,5,0.7868,0.0,20.0,2026搜索随机1w,0.1014,0.8704
32,特定情况下饮食用药可否查询,1605,53,0.9111,1.89,15.09,613,0.8943,0.33,14.03,65,0.8929,1.54,20.0,709,0.8879,0.28,13.12,1,0.9975,0.0,0.0,57,0.8737,1.75,19.3,9,0.8803,0.0,22.22,98,0.8943,0.0,11.22,助手随机1k,0.0374,0.8912
39,身体部位疼痛原因查询,363,97,0.9044,0.0,5.15,78,0.8834,0.0,15.38,104,0.8959,0.0,7.69,76,0.8995,1.32,11.84,2,0.7302,0.0,0.0,4,0.8239,0.0,25.0,2,0.5379,0.0,50.0,0,,,,2025搜索随机1w,0.021,0.8926
18,疾病治疗方法查询,1004,344,0.9349,0.29,12.21,140,0.8337,0.71,20.71,327,0.9317,0.92,11.93,112,0.8132,0.89,22.32,35,0.8683,0.0,17.14,22,0.6909,0.0,18.18,9,0.8242,0.0,55.56,15,0.8312,0.0,26.67,助手随机1k,0.244,0.8959
49,中成药丸剂功效与作用查询,663,212,0.9593,0.0,0.94,67,0.7767,1.49,14.93,236,0.9554,0.42,3.39,53,0.6907,0.0,16.98,13,0.9067,0.0,0.0,8,0.6856,0.0,25.0,58,0.9452,0.0,0.0,16,0.856,0.0,12.5,2026搜索随机1w,0.2686,0.9099
14,病症用药查询,984,254,0.9684,0.39,2.36,188,0.8883,0.0,8.51,267,0.9664,0.0,3.37,197,0.8697,0.51,7.61,28,0.9049,0.0,3.57,15,0.8933,0.0,20.0,11,0.9854,0.0,0.0,24,0.8825,0.0,8.33,2026搜索随机1w,0.0987,0.9279
38,疾病症状表现查询,449,144,0.9567,0.0,2.78,67,0.8808,0.0,16.42,147,0.94,0.68,4.08,53,0.8739,0.0,24.53,20,0.9383,0.0,10.0,3,0.9315,0.0,33.33,5,0.9753,0.0,0.0,10,0.9789,0.0,20.0,2026搜索随机1w,0.0828,0.9298
46,功效作用查询,1200,274,0.9641,0.0,12.77,157,0.9141,0.64,21.66,322,0.9686,0.0,14.29,174,0.9176,0.0,21.84,96,0.9738,0.0,9.38,13,0.8376,0.0,30.77,104,0.9671,0.0,18.27,60,0.8721,0.0,5.0,助手语音1k,0.1017,0.9471
47,查询物品作用与功效,645,210,0.9747,0.0,15.71,71,0.9278,0.0,35.21,229,0.9758,0.0,17.03,65,0.8902,0.0,43.08,13,0.941,0.0,15.38,10,0.8782,0.0,50.0,32,0.9847,0.0,28.12,15,0.8853,0.0,33.33,2026搜索随机1w,0.0945,0.9577
31,药物功效与主治查询,3303,1271,0.9825,0.0,26.2,191,0.8731,0.0,46.6,1590,0.9806,0.0,26.1,146,0.8644,0.0,40.41,55,0.9609,0.0,47.27,22,0.8512,4.55,36.36,8,0.9686,0.0,25.0,20,0.8492,0.0,20.0,助手语音1k,0.1333,0.968
48,功效与作用查询,824,349,0.9821,0.29,42.69,35,0.9698,0.0,51.43,392,0.9835,0.0,41.33,27,0.9736,0.0,74.07,11,0.9863,0.0,45.45,1,0.9685,0.0,100.0,3,0.9902,0.0,66.67,6,0.9851,0.0,66.67,2025搜索随机1w,0.0137,0.9821
51,查询物品功效与作用,1034,416,0.9848,0.0,41.35,67,0.9734,0.0,43.28,499,0.9839,0.0,40.88,43,0.9781,0.0,46.51,3,0.9887,0.0,66.67,0,,,,5,0.9965,0.0,100.0,1,0.995,0.0,0.0,2025搜索随机1w,0.0114,0.9834
